year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,16,4,5,0.007089859851607584,43,0.007089859851607584,0.007461391636300538,43,0.007461391636300538,0.0,0,0.0,0.0,0,0.0,0.006963788300835654,25,0.006963788300835654,0.006430868167202572,16,0.006430868167202572,0.00546448087431694,4,0.00546448087431694,0.013513513513513514,5,0.013513513513513514,0.007089859851607584,0.0,0.0,0.004456824512534819,0.0011142061281337048,0.001392757660167131,0.007089859851607584,0.0,0.0,0.004456824512534819,0.0011142061281337048,0.001392757660167131
2007,20,16,0,4,20,0,20,0,0.0032976092333058533,63,0.010387469084913437,0.0027763317716467117,59,0.01023772340794725,0.0,0,0.0,0.0625,4,0.0625,0.005571030640668524,45,0.012534818941504178,0.0,16,0.006430868167202572,0.0273224043715847,24,0.03278688524590164,0.0,5,0.013513513513513514,0.0026380873866446827,0.0,0.0006595218466611707,0.0,0.005571030640668524,0.0,0.009727947238252268,0.0,0.0006595218466611707,0.004456824512534819,0.006685236768802228,0.001392757660167131
2011,15,15,0,0,7,2,0,5,0.00247320692497939,78,0.012860676009892828,0.0026028110359187923,74,0.012840534443866042,0.0,0,0.0,0.0,4,0.0625,0.0019498607242339832,52,0.014484679665738161,0.0008038585209003215,18,0.007234726688102894,0.0,24,0.03278688524590164,0.013513513513513514,10,0.02702702702702703,0.00247320692497939,0.0,0.0,0.0005571030640668524,0.0,0.001392757660167131,0.012201154163231658,0.0,0.0006595218466611707,0.005013927576601671,0.006685236768802228,0.002785515320334262
2012,116,116,0,0,60,27,28,5,0.019126133553173948,194,0.03198680956306678,0.02012840534443866,190,0.0329689397883047,0.0,0,0.0,0.0,4,0.0625,0.016713091922005572,112,0.03119777158774373,0.010852090032154342,45,0.018086816720257234,0.03825136612021858,52,0.07103825136612021,0.013513513513513514,15,0.04054054054054054,0.019126133553173948,0.0,0.0,0.007520891364902507,0.007799442896935933,0.001392757660167131,0.031327287716405604,0.0,0.0006595218466611707,0.012534818941504178,0.014484679665738161,0.004178272980501393
2013,55,55,0,0,33,30,0,3,0.009068425391591096,249,0.04105523495465787,0.009543640465035572,245,0.042512580253340274,0.0,0,0.0,0.0,4,0.0625,0.009192200557103064,145,0.0403899721448468,0.012057877813504822,75,0.03014469453376206,0.0,52,0.07103825136612021,0.008108108108108109,18,0.04864864864864865,0.009068425391591096,0.0,0.0,0.008356545961002786,0.0,0.0008356545961002785,0.0403957131079967,0.0,0.0006595218466611707,0.020891364902506964,0.014484679665738161,0.005013927576601671
2014,17,17,0,0,23,13,10,0,0.002802967848309975,266,0.04385820280296785,0.0029498525073746312,262,0.045462432760714905,0.0,0,0.0,0.0,4,0.0625,0.006406685236768802,168,0.0467966573816156,0.00522508038585209,88,0.03536977491961415,0.01366120218579235,62,0.08469945355191257,0.0,18,0.04864864864864865,0.002802967848309975,0.0,0.0,0.0036211699164345403,0.002785515320334262,0.0,0.043198680956306676,0.0,0.0006595218466611707,0.024512534818941504,0.017270194986072424,0.005013927576601671
2015,4925,4752,158,15,2628,2187,145,296,0.8120362737015664,5191,0.8558944765045342,0.8245705361790734,5014,0.8700329689397883,0.6638655462184874,158,0.6638655462184874,0.234375,19,0.296875,0.732033426183844,2796,0.7788300835654596,0.8790192926045016,2275,0.9143890675241158,0.19808743169398907,207,0.2827868852459016,0.8,314,0.8486486486486486,0.7835119538334707,0.02605111294311624,0.00247320692497939,0.6091922005571031,0.0403899721448468,0.08245125348189415,0.8267106347897775,0.02605111294311624,0.0031327287716405605,0.6337047353760445,0.05766016713091922,0.08746518105849582
2016,204,196,0,8,143,77,32,34,0.033635614179719706,5395,0.8895300906842539,0.03401006420267222,5210,0.9040430331424605,0.0,158,0.6638655462184874,0.125,27,0.421875,0.039832869080779945,2939,0.8186629526462396,0.03094855305466238,2352,0.9453376205787781,0.04371584699453552,239,0.32650273224043713,0.0918918918918919,348,0.9405405405405406,0.03231657048639736,0.0,0.0013190436933223414,0.021448467966573816,0.008913649025069638,0.00947075208913649,0.8590272052761748,0.02605111294311624,0.004451772464962902,0.6551532033426184,0.06657381615598885,0.09693593314763231
2017,400,312,63,25,375,40,315,20,0.06595218466611706,5795,0.955482275350371,0.05413846954711088,5522,0.9581815026895714,0.2647058823529412,221,0.9285714285714286,0.390625,52,0.8125,0.10445682451253482,3314,0.9231197771587744,0.01607717041800643,2392,0.9614147909967846,0.430327868852459,554,0.7568306010928961,0.05405405405405406,368,0.9945945945945946,0.05144270403957131,0.010387469084913437,0.004122011541632316,0.011142061281337047,0.08774373259052924,0.005571030640668524,0.9104699093157461,0.03643858202802968,0.008573784006595218,0.6662952646239554,0.1543175487465181,0.10250696378830083
2018,270,241,17,12,276,96,178,2,0.04451772464962902,6065,1.0,0.041818497310428596,5763,1.0,0.07142857142857142,238,1.0,0.1875,64,1.0,0.07688022284122563,3590,1.0,0.03858520900321544,2488,1.0,0.24316939890710382,732,1.0,0.005405405405405406,370,1.0,0.039736191261335534,0.002802967848309975,0.001978565539983512,0.026740947075208913,0.04958217270194986,0.0005571030640668524,0.9502061005770817,0.039241549876339654,0.010552349546578731,0.6930362116991643,0.20389972144846796,0.10306406685236769
