Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,characterization,componentOf,derivation,material,mediation,memberOf
category,1.0,0.09759000729485331,-0.09759000729485333,0.11500161355436699,0.034815531191139566,0.15555555555555556,0.42470599286468796,0.3721042037676254,0.09759000729485333,-0.01698823971458752,0.06666666666666667,0.3778624445357772,-0.022222222222222223,0.5266354311522131,0.38297084310253526,-0.034815531191139566,0.041344911529736156,0.2,0.33954987505086615,0.041344911529736156
collective,0.09759000729485331,1.0,0.2571428571428571,-0.28378178144389027,0.030578831486257535,0.18867401410338308,0.41281272698065485,0.13315005718713654,0.02857142857142857,0.06465741506925919,0.09759000729485331,-0.1298662389658481,-0.2277100170213244,0.06465741506925919,0.13250826977378266,0.13250826977378266,0.13315005718713654,0.05855400437691199,0.1088776457161647,0.7141684885491869
datatype,-0.09759000729485333,0.2571428571428571,1.0,0.07214791053658227,0.2548235957188128,0.3578300267477955,0.12434118282549846,0.060522753266880246,0.14285714285714285,-0.32328707534629597,-0.09759000729485333,-0.12024651756097046,0.09759000729485331,0.07460470969529907,0.15289415743128767,0.15289415743128767,0.060522753266880246,-0.09759000729485333,-0.1656833739159028,0.30261376633440124
event,0.11500161355436699,-0.28378178144389027,0.07214791053658227,1.0,-0.4032441137045824,-0.005476267312112713,0.20513587275572404,-0.07132097307273312,0.07214791053658227,-0.33910215700436014,-0.2792896329177484,0.3522267206477733,0.5202453946507077,0.06279669574154817,0.1286949299057178,-0.28312884579257913,-0.23434034009612312,-0.11500161355436699,-0.13945994111797608,-0.07132097307273312
kind,0.034815531191139566,0.030578831486257535,0.2548235957188128,-0.4032441137045824,1.0,-0.08123623944599233,-0.07984636960487998,0.15114173098063566,-0.3567530340063379,-0.06210273191490665,0.4526019054848144,-0.2659695218051501,-0.26691907246540336,0.22179547112466663,-0.12727272727272726,0.3090909090909091,0.32387513781564786,0.5222329678670935,-0.04222003309207491,-0.021591675854376522
mixin,0.15555555555555556,0.18867401410338308,0.3578300267477955,-0.005476267312112713,-0.08123623944599233,1.0,0.2321726094326961,0.4547940268270977,0.6180700462007377,-0.050964719143762556,0.3333333333333333,0.16976428667549412,0.05185185185185185,-0.050964719143762556,0.26691907246540336,-0.1044465935734187,0.013781637176578718,0.022222222222222223,-0.0592864861199925,0.013781637176578718
mode,0.42470599286468796,0.41281272698065485,0.12434118282549846,0.20513587275572404,-0.07984636960487998,0.2321726094326961,1.0,0.32660542964119055,-0.07460470969529907,0.10822510822510822,0.01698823971458752,0.47306844125299624,-0.13024317114517098,0.3852813852813853,0.36374457264445326,-0.06210273191490665,-0.010535659020683567,-0.01698823971458752,0.24309494690922778,0.1580348853102535
phase,0.3721042037676254,0.13315005718713654,0.060522753266880246,-0.07132097307273312,0.15114173098063566,0.4547940268270977,0.32660542964119055,1.0,0.060522753266880246,0.010535659020683567,0.20672455764868078,0.25471776097404686,0.013781637176578718,0.3476767476825577,0.021591675854376522,0.021591675854376522,0.1794871794871795,0.12403473458920847,0.03008284187980934,-0.02564102564102564
quality,0.09759000729485333,0.02857142857142857,0.14285714285714285,0.07214791053658227,-0.3567530340063379,0.6180700462007377,-0.07460470969529907,0.060522753266880246,1.0,0.07460470969529907,0.09759000729485333,0.264542338634135,0.3578300267477955,-0.12434118282549846,0.3567530340063379,-0.2548235957188128,-0.18156825980064073,-0.29277002188455997,0.023669053416557544,-0.18156825980064073
relator,-0.01698823971458752,0.06465741506925919,-0.32328707534629597,-0.33910215700436014,-0.06210273191490665,-0.050964719143762556,0.10822510822510822,0.010535659020683567,0.07460470969529907,1.0,0.11891767800211263,0.19676297999018427,-0.050964719143762556,-0.10822510822510822,0.3460009349544799,-0.07984636960487998,0.3476767476825577,0.01698823971458752,0.6798418006783489,0.010535659020683567
