stereotype,total_correlation,rank
category,3.585104326913683,7
collective,2.2472897412508033,17
event,3.473176068044471,8
kind,4.661984878949676,1
mode,2.88611619083278,15
phase,2.1703494613060608,18
quality,3.247507171042061,10
relator,2.995427363404632,14
role,2.5690670772828206,16
roleMixin,4.445435662612697,2
situation,3.119326122317567,11
subkind,3.0318573521327936,12
characterization,4.146380361171545,3
componentOf,3.0078756734105703,13
derivation,3.381377303339524,9
material,3.8583424694530635,5
mediation,3.641552949486682,6
participation,4.042313911828001,4
