Stereotype,category,event,kind,mode,phase,relator,role,roleMixin,subkind,none_c,other_c,characterization,componentOf,derivation,material,mediation,none_r,other_r
category,1.0,0.07688905660876631,0.2723563872636615,0.3041150358351907,0.4107981475226449,-0.014543917754698401,-0.0011699395401689719,0.2647186950258505,0.5716697747086742,-0.23127895323443495,-0.030003064052973098,0.3520687019053423,0.045066302673059215,0.018504019774061665,0.2616411501364417,0.3584001135156788,0.15005449825089218,0.12800336382412195
event,0.07688905660876631,1.0,-0.3928644582117605,0.1351496344457591,-0.008171992558862995,-0.4473158784668012,-0.016450423484138974,0.3565544523474991,0.07023722575263718,0.4392882832324401,0.265895373643946,0.12469981243217727,-0.2991194366732607,-0.19810042090684757,0.06918396239828496,-0.12616225522121322,0.40914339674437256,0.026918499233312757
kind,0.2723563872636615,-0.3928644582117605,1.0,-0.019055590930184253,0.02477976589073647,0.1569782911135296,0.4181363897286609,-0.44324405556508784,0.46609229270702757,-0.24900547269521514,-0.15251641200636207,-0.14912800311820187,0.4123710822212352,0.2516930549463375,0.4933899261045578,0.01846429502098608,0.08963619012470385,-0.016087769933028177
mode,0.3041150358351907,0.1351496344457591,-0.019055590930184253,1.0,0.24286163099512437,-0.005210178118524003,0.03031905345570988,0.4377658168096019,0.1517515556397332,0.041787193597952854,-0.005266412251884642,0.3917199364847449,0.0740586939963128,-0.0019087992282052686,-0.05430915611921601,0.31565528537102333,0.06348009630190832,0.019956506522749252
phase,0.4107981475226449,-0.008171992558862995,0.02477976589073647,0.24286163099512437,1.0,-0.010195974450841975,0.3007799371681503,0.28069242096290903,0.2025401635560019,0.004257215950171626,-0.08544813048192361,-0.05207750776118024,0.016870162440744737,0.13760383899595394,0.13081383516148337,0.10306073534060219,0.014701123124815252,0.16154589773054756
relator,-0.014543917754698401,-0.4473158784668012,0.1569782911135296,-0.005210178118524003,-0.010195974450841975,1.0,0.3250604914176292,0.17758985200845667,-0.17318976901956046,-0.42816395227350323,-0.1627493975694246,0.2029689755804436,-0.010623904249503565,0.4658006772739009,0.2239266350716472,0.5210330901397486,-0.03508746629036246,0.24696852207304676
role,-0.0011699395401689719,-0.016450423484138974,0.4181363897286609,0.03031905345570988,0.3007799371681503,0.3250604914176292,1.0,-0.03582042930098548,-0.034616532972262276,0.08329924508203465,-0.13399554875283268,-0.0597224475359995,-0.06455494818636022,0.24416974430442995,0.35466770594411556,0.08757512996570702,0.3405161381728993,0.14841967055648944
roleMixin,0.2647186950258505,0.3565544523474991,-0.44324405556508784,0.4377658168096019,0.28069242096290903,0.17758985200845667,-0.03582042930098548,1.0,0.08293106985145417,-0.07479507599008006,-0.16531587783435567,0.3912492565859603,-0.3063568431862222,-0.19339415330865778,-0.2028651932229558,0.3181844834024101,0.12861955136410883,0.04452530831267547
subkind,0.5716697747086742,0.07023722575263718,0.46609229270702757,0.1517515556397332,0.2025401635560019,-0.17318976901956046,-0.034616532972262276,0.08293106985145417,1.0,-0.01366768665691982,-0.2628709516023079,-0.07452159977509859,0.290239316023643,-0.06540503070031205,0.3115856635408185,0.1319041079958297,0.1444920318440422,-0.2663329927564142
none_c,-0.23127895323443495,0.4392882832324401,-0.24900547269521514,0.041787193597952854,0.004257215950171626,-0.42816395227350323,0.08329924508203465,-0.07479507599008006,-0.01366768665691982,1.0,0.1566913700230622,-0.28233250455973663,-0.12989058709682652,-0.2045080320620124,-0.0030096530583493294,-0.26058442011961647,0.3080900719856349,-0.17817771750138164
