Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
bringsAbout,3,0.09375,0.0,0,0.5303300858899106,0.28125,5.656854249492381,32.0,0.0,0.0,0.0,0,3,3,3.0,0.0
characterization,46,1.4375,0.0,0,2.8048057836276237,7.866935483870968,2.1570212323429665,4.123840519131345,0.0,1.25,1.25,0,11,11,1.0,10.0
comparative,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
componentOf,41,1.28125,0.0,0,2.6546900068102235,7.047379032258065,2.6005259795737614,6.77288304260056,0.0,1.25,1.25,0,11,11,1.0,10.0
creation,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
derivation,21,0.65625,0.0,0,1.5576942223435832,2.4264112903225805,2.4750291427299014,5.405304035028939,0.0,0.0,0.0,0,6,6,2.0,4.0
externalDependence,8,0.25,0.0,0,1.1071614388213236,1.2258064516129032,4.943889859778319,25.418282548476455,0.0,0.0,0.0,0,6,6,2.0,4.0
historicalDependence,5,0.15625,0.0,0,0.8838834764831844,0.78125,5.65685424949238,32.0,0.0,0.0,0.0,0,5,5,5.0,0.0
instantiation,2,0.0625,0.0,0,0.3535533905932738,0.125,5.65685424949238,32.0,0.0,0.0,0.0,0,2,2,2.0,0.0
manifestation,3,0.09375,0.0,0,0.5303300858899106,0.28125,5.656854249492381,32.0,0.0,0.0,0.0,0,3,3,3.0,0.0
material,49,1.53125,0.0,0,2.639457116713159,6.966733870967742,2.0620802502814772,4.37184585054548,0.0,2.0,2.0,0,11,11,1.0,10.0
mediation,86,2.6875,0.0,0,3.8641236539354207,14.931451612903226,1.4592647319495364,1.2132381607942384,0.0,4.5,4.5,0,13,13,2.0,11.0
memberOf,10,0.3125,0.0,0,0.7378040652569471,0.5443548387096774,2.501918887208984,5.843607776358734,0.0,0.0,0.0,0,3,3,1.0,2.0
participation,15,0.46875,0.0,0,2.047569369418444,4.192540322580645,4.845675249700787,24.435653672967444,0.0,0.0,0.0,0,11,11,4.0,7.0
participational,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
subCollectionOf,7,0.21875,0.0,0,0.9413228509270448,0.8860887096774194,4.729142182659354,23.25285870151856,0.0,0.0,0.0,0,5,5,2.0,3.0
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
triggers,2,0.0625,0.0,0,0.3535533905932738,0.125,5.65685424949238,32.0,0.0,0.0,0.0,0,2,2,2.0,0.0
