Stereotype,Shannon Entropy,Gini Coefficient,Simpson Index
bringsAbout,0.0,0.96875,1.0
characterization,2.9860666749329456,0.8057065217391305,0.14650283553875237
comparative,0.0,0.0,0.0
componentOf,2.9257839829532104,0.8147865853658537,0.16121356335514575
creation,0.0,0.0,0.0
derivation,2.4342500103719353,0.8586309523809523,0.2018140589569161
externalDependence,0.8112781215737428,0.953125,0.625
historicalDependence,0.0,0.96875,1.0
instantiation,0.0,0.96875,1.0
manifestation,0.0,0.96875,1.0
material,3.2842462902227063,0.7557397959183674,0.12119950020824657
mediation,3.6214029404243924,0.6940406976744186,0.09383450513791239
memberOf,2.446439336014845,0.85625,0.2
participation,0.8366407390557772,0.9520833333333333,0.6088888888888888
participational,0.0,0.0,0.0
subCollectionOf,0.863120565681241,0.9508928571428571,0.5918367346938775
subQuantityOf,0.0,0.0,0.0
termination,0.0,0.0,0.0
triggers,0.0,0.96875,1.0
