Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.6718576195773082,2,0.3888888888888889
20.0,4,0.8186874304783093,4,0.6018518518518519
30.0,6,0.9154616240266963,6,0.7870370370370371
40.0,8,0.9555061179087876,8,0.8981481481481481
50.0,10,0.9755283648498332,10,0.9351851851851852
60.0,12,0.9888765294771968,12,0.9629629629629629
70.0,14,0.9955506117908788,14,0.9814814814814815
80.0,16,1.0,16,1.0
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
