Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR
abstract,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,2.4516129032258065,2.0,0,2.953401538084737,8.72258064516129,1.6329874959071395,2.801050616233547,0.0,3.5,3.5
collective,0.5161290322580645,0.0,0,1.2075034228229053,1.458064516129032,2.7525981952722236,7.460920787606378,0.0,0.0,0.0
datatype,0.22580645161290322,0.0,0,0.6688137468361346,0.4473118279569891,3.2816227837583156,10.906802911942178,0.0,0.0,0.0
enumeration,0.3225806451612903,0.0,0,1.0766335425511493,1.1591397849462375,3.5777826853761963,12.988868749353852,0.0,0.0,0.0
event,4.451612903225806,0.0,0,7.159323569897832,51.25591397849463,1.5757495016161736,1.2202851985449508,0.0,6.0,6.0
historicalRole,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,5.290322580645161,4.0,0,5.745685618427661,33.012903225806454,1.8322463331026166,5.48517652653101,0.0,9.0,9.0
mixin,0.1935483870967742,0.0,0,0.47744841527364174,0.22795698924731186,2.5550590900351464,6.374487704019623,0.0,0.0,0.0
mode,2.096774193548387,0.0,0,4.474779984980099,20.023655913978494,3.370118492421913,13.19544982228857,0.0,2.5,2.5
phase,0.5161290322580645,0.0,0,1.3873468141729013,1.9247311827956988,2.966792373715675,8.728128446265664,0.0,0.0,0.0
phaseMixin,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,0.41935483870967744,0.0,0,1.3850197001820854,1.9182795698924735,4.081284660409944,17.998448140646442,0.0,0.0,0.0
quantity,0.3225806451612903,0.0,0,1.1940713762639585,1.4258064516129043,4.218584759026203,18.526714765505766,0.0,0.0,0.0
relator,2.7096774193548385,2.0,0,2.9347748168822854,8.612903225806452,1.236008084013037,1.3631192729904589,0.0,4.0,4.0
role,3.096774193548387,2.0,0,3.1554697348115743,9.956989247311828,0.728373809145965,-0.5067163390081926,0.0,5.5,5.5
roleMixin,1.7741935483870968,0.0,0,3.169749489779435,10.04731182795699,2.181226226328147,4.624893196107462,0.0,2.0,2.0
situation,0.4838709677419355,0.0,0,1.2348000578213862,1.5247311827956989,2.4809439035858603,4.825723730441121,0.0,0.0,0.0
subkind,4.774193548387097,2.0,0,8.069323298432382,65.11397849462365,2.357321786455609,5.070367043094414,0.0,3.5,3.5
type,0.7741935483870968,0.0,0,3.422568990484145,11.713978494623658,5.372939380596482,29.426174764125264,0.0,0.0,0.0
