Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.33085896076352067,2,0.23497267759562843
20.0,4,0.5790031813361611,4,0.45901639344262296
30.0,6,0.7486744432661718,6,0.644808743169399
40.0,8,0.8759278897136797,8,0.7814207650273224
50.0,10,0.9183457051961824,10,0.8469945355191257
60.0,12,0.9512195121951219,12,0.9016393442622951
70.0,14,0.975609756097561,14,0.9453551912568307
80.0,16,0.9936373276776246,16,0.9836065573770492
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
