Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'category')",0.0,0.0
"('abstract', 'collective')",0.0,0.0
"('abstract', 'datatype')",0.0,0.0
"('abstract', 'enumeration')",0.0,0.0
"('abstract', 'event')",0.0,0.0
"('abstract', 'historicalRole')",0.0,0.0
"('abstract', 'historicalRoleMixin')",0.0,0.0
"('abstract', 'kind')",0.0,0.0
"('abstract', 'mixin')",0.0,0.0
"('abstract', 'mode')",0.0,0.0
"('abstract', 'phase')",0.0,0.0
"('abstract', 'phaseMixin')",0.0,0.0
"('abstract', 'quality')",0.0,0.0
"('abstract', 'quantity')",0.0,0.0
"('abstract', 'relator')",0.0,0.0
"('abstract', 'role')",0.0,0.0
"('abstract', 'roleMixin')",0.0,0.0
"('abstract', 'situation')",0.0,0.0
"('abstract', 'subkind')",0.0,0.0
"('abstract', 'type')",0.0,0.0
"('category', 'collective')",0.21739130434782608,0.35714285714285715
"('category', 'datatype')",0.08695652173913043,0.16
"('category', 'enumeration')",0.043478260869565216,0.08333333333333333
"('category', 'event')",0.4,0.5714285714285714
"('category', 'historicalRole')",0.0,0.0
"('category', 'historicalRoleMixin')",0.0,0.0
"('category', 'kind')",0.5172413793103449,0.6818181818181818
"('category', 'mixin')",0.18181818181818182,0.3076923076923077
"('category', 'mode')",0.5,0.6666666666666666
"('category', 'phase')",0.2857142857142857,0.4444444444444444
"('category', 'phaseMixin')",0.0,0.0
"('category', 'quality')",0.13636363636363635,0.24
"('category', 'quantity')",0.09090909090909091,0.16666666666666666
"('category', 'relator')",0.4827586206896552,0.6511627906976745
"('category', 'role')",0.5,0.6666666666666666
"('category', 'roleMixin')",0.5217391304347826,0.6857142857142857
"('category', 'situation')",0.13043478260869565,0.23076923076923078
"('category', 'subkind')",0.72,0.8372093023255814
"('category', 'type')",0.19047619047619047,0.32
"('collective', 'datatype')",0.2222222222222222,0.36363636363636365
"('collective', 'enumeration')",0.0,0.0
"('collective', 'event')",0.05,0.09523809523809523
"('collective', 'historicalRole')",0.0,0.0
"('collective', 'historicalRoleMixin')",0.0,0.0
"('collective', 'kind')",0.2,0.3333333333333333
"('collective', 'mixin')",0.2,0.3333333333333333
"('collective', 'mode')",0.35714285714285715,0.5263157894736842
"('collective', 'phase')",0.18181818181818182,0.3076923076923077
"('collective', 'phaseMixin')",0.0,0.0
"('collective', 'quality')",0.1,0.18181818181818182
"('collective', 'quantity')",0.1111111111111111,0.2
"('collective', 'relator')",0.20833333333333334,0.3448275862068966
"('collective', 'role')",0.21739130434782608,0.35714285714285715
"('collective', 'roleMixin')",0.10526315789473684,0.19047619047619047
"('collective', 'situation')",0.0,0.0
"('collective', 'subkind')",0.20833333333333334,0.3448275862068966
"('collective', 'type')",0.1,0.18181818181818182
"('datatype', 'enumeration')",0.16666666666666666,0.2857142857142857
"('datatype', 'event')",0.125,0.2222222222222222
"('datatype', 'historicalRole')",0.0,0.0
"('datatype', 'historicalRoleMixin')",0.0,0.0
"('datatype', 'kind')",0.17391304347826086,0.2962962962962963
"('datatype', 'mixin')",0.2857142857142857,0.4444444444444444
"('datatype', 'mode')",0.14285714285714285,0.25
"('datatype', 'phase')",0.1111111111111111,0.2
"('datatype', 'phaseMixin')",0.0,0.0
"('datatype', 'quality')",0.14285714285714285,0.25
"('datatype', 'quantity')",0.4,0.5714285714285714
"('datatype', 'relator')",0.04,0.07692307692307693
"('datatype', 'role')",0.08695652173913043,0.16
"('datatype', 'roleMixin')",0.058823529411764705,0.1111111111111111
"('datatype', 'situation')",0.125,0.2222222222222222
"('datatype', 'subkind')",0.13043478260869565,0.23076923076923078
"('datatype', 'type')",0.0,0.0
"('enumeration', 'event')",0.0625,0.11764705882352941
"('enumeration', 'historicalRole')",0.0,0.0
"('enumeration', 'historicalRoleMixin')",0.0,0.0
"('enumeration', 'kind')",0.13043478260869565,0.23076923076923078
"('enumeration', 'mixin')",0.14285714285714285,0.25
"('enumeration', 'mode')",0.07142857142857142,0.13333333333333333
"('enumeration', 'phase')",0.0,0.0
"('enumeration', 'phaseMixin')",0.0,0.0
"('enumeration', 'quality')",0.16666666666666666,0.2857142857142857
"('enumeration', 'quantity')",0.2,0.3333333333333333
"('enumeration', 'relator')",0.08695652173913043,0.16
"('enumeration', 'role')",0.09090909090909091,0.16666666666666666
"('enumeration', 'roleMixin')",0.0625,0.11764705882352941
"('enumeration', 'situation')",0.14285714285714285,0.25
"('enumeration', 'subkind')",0.08695652173913043,0.16
"('enumeration', 'type')",0.0,0.0
"('event', 'historicalRole')",0.0,0.0
"('event', 'historicalRoleMixin')",0.0,0.0
"('event', 'kind')",0.23333333333333334,0.3783783783783784
"('event', 'mixin')",0.11764705882352941,0.21052631578947367
"('event', 'mode')",0.3684210526315789,0.5384615384615384
"('event', 'phase')",0.1111111111111111,0.2
"('event', 'phaseMixin')",0.0,0.0
"('event', 'quality')",0.125,0.2222222222222222
"('event', 'quantity')",0.13333333333333333,0.23529411764705882
"('event', 'relator')",0.2413793103448276,0.3888888888888889
"('event', 'role')",0.25,0.4
"('event', 'roleMixin')",0.47368421052631576,0.6428571428571429
"('event', 'situation')",0.35714285714285715,0.5263157894736842
"('event', 'subkind')",0.38461538461538464,0.5555555555555556
"('event', 'type')",0.2,0.3333333333333333
"('historicalRole', 'historicalRoleMixin')",0.0,0.0
"('historicalRole', 'kind')",0.0,0.0
"('historicalRole', 'mixin')",0.0,0.0
"('historicalRole', 'mode')",0.0,0.0
"('historicalRole', 'phase')",0.0,0.0
"('historicalRole', 'phaseMixin')",0.0,0.0
"('historicalRole', 'quality')",0.0,0.0
"('historicalRole', 'quantity')",0.0,0.0
"('historicalRole', 'relator')",0.0,0.0
"('historicalRole', 'role')",0.0,0.0
"('historicalRole', 'roleMixin')",0.0,0.0
"('historicalRole', 'situation')",0.0,0.0
