Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,0,0.0,0,0.0,0.0,0.0
category,79,2.393939393939394,21,0.6363636363636364,0.07117117117117117,0.10294117647058823
collective,16,0.48484848484848486,7,0.21212121212121213,0.014414414414414415,0.03431372549019608
datatype,7,0.21212121212121213,4,0.12121212121212122,0.006306306306306306,0.0196078431372549
enumeration,10,0.30303030303030304,3,0.09090909090909091,0.009009009009009009,0.014705882352941176
event,138,4.181818181818182,14,0.42424242424242425,0.12432432432432433,0.06862745098039216
historicalRole,0,0.0,0,0.0,0.0,0.0
historicalRoleMixin,0,0.0,0,0.0,0.0,0.0
kind,168,5.090909090909091,23,0.696969696969697,0.15135135135135136,0.11274509803921569
mixin,6,0.18181818181818182,5,0.15151515151515152,0.005405405405405406,0.024509803921568627
mode,65,1.9696969696969697,12,0.36363636363636365,0.05855855855855856,0.058823529411764705
phase,24,0.7272727272727273,6,0.18181818181818182,0.021621621621621623,0.029411764705882353
phaseMixin,0,0.0,0,0.0,0.0,0.0
quality,13,0.3939393939393939,4,0.12121212121212122,0.011711711711711712,0.0196078431372549
quantity,10,0.30303030303030304,3,0.09090909090909091,0.009009009009009009,0.014705882352941176
relator,86,2.606060606060606,22,0.6666666666666666,0.07747747747747748,0.10784313725490197
role,100,3.0303030303030303,21,0.6363636363636364,0.09009009009009009,0.10294117647058823
roleMixin,57,1.7272727272727273,14,0.42424242424242425,0.051351351351351354,0.06862745098039216
situation,15,0.45454545454545453,5,0.15151515151515152,0.013513513513513514,0.024509803921568627
subkind,150,4.545454545454546,22,0.6666666666666666,0.13513513513513514,0.10784313725490197
type,24,0.7272727272727273,4,0.12121212121212122,0.021621621621621623,0.0196078431372549
none,87,2.6363636363636362,6,0.18181818181818182,0.07837837837837838,0.029411764705882353
other,55,1.6666666666666667,8,0.24242424242424243,0.04954954954954955,0.0392156862745098
