stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.841899611427457,4
collective,1.9468035640543664,14
event,3.4741246684396687,1
kind,3.1878805210380996,2
mode,2.4761238270488946,8
phase,1.6027349385806313,15
quality,2.413143407728906,10
relator,2.1363422405721737,12
role,1.9581045258360579,13
roleMixin,3.076049003882381,3
situation,2.7021787028102837,5
subkind,2.5056508439303493,7
type,2.420084021943547,9
none,2.5337230804219635,6
other,2.188467549581527,11
