year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004901960784313725,0.0,0.0,0.0
2007,0.0,0.004901960784313725,0.0,0.004901960784313725,0.0,0.004901960784313725,0.0,0.0,0.004901960784313725,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.004901960784313725,0.0,0.0,0.004901960784313725
2011,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0
2012,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0,0.0,0.0
2013,0.0,0.0,0.00980392156862745,0.004901960784313725,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004901960784313725,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725
2015,0.0,0.00980392156862745,0.0,0.004901960784313725,0.00980392156862745,0.004901960784313725,0.0,0.0,0.014705882352941176,0.004901960784313725,0.004901960784313725,0.004901960784313725,0.0,0.004901960784313725,0.004901960784313725,0.00980392156862745,0.014705882352941176,0.00980392156862745,0.004901960784313725,0.00980392156862745,0.0,0.0,0.0
2016,0.0,0.00980392156862745,0.004901960784313725,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.004901960784313725,0.004901960784313725,0.0,0.0,0.004901960784313725,0.0,0.014705882352941176,0.004901960784313725,0.00980392156862745,0.004901960784313725,0.0,0.0,0.0,0.004901960784313725
2017,0.0,0.024509803921568627,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.03431372549019608,0.004901960784313725,0.014705882352941176,0.00980392156862745,0.0,0.0,0.004901960784313725,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.004901960784313725,0.029411764705882353,0.00980392156862745,0.0196078431372549,0.00980392156862745
2018,0.0,0.03431372549019608,0.014705882352941176,0.0,0.004901960784313725,0.0196078431372549,0.0,0.0,0.024509803921568627,0.004901960784313725,0.024509803921568627,0.004901960784313725,0.0,0.00980392156862745,0.0,0.0392156862745098,0.0196078431372549,0.024509803921568627,0.00980392156862745,0.0392156862745098,0.00980392156862745,0.004901960784313725,0.014705882352941176
