Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,material,mediation,participation
category,1.0,0.1080849921254302,0.14509055051458614,0.32569829920883336,0.3525488312669209,0.36853235832580133,0.13237970826002513,-0.02446608718327483,0.04217153953047407,0.30152792387310445,-0.04266395305449301,0.562274160459184,0.2920095874258828,0.30959607350874785,0.011432683978604703,-0.0038417170906062835,0.28945767062377475,0.30626737791287895,0.29965393306729016
collective,0.1080849921254302,1.0,-0.30363709767624036,0.10801839525338089,0.31345676234753095,0.10779605007350522,0.01980177799483615,-0.08645418872078049,-0.12204579034463567,-0.06836851422450387,-0.2166769017494549,0.09232298644837328,0.019806925993881872,0.08844488240030668,0.2393347635556078,0.10335192958177133,-0.04568185756392533,0.06600148395649608,0.13175631090201406
event,0.14509055051458614,-0.30363709767624036,1.0,-0.28655142997410527,0.20150493461570915,-0.024857110223893225,0.050460394982251036,-0.4522765894692823,0.03558810826065272,0.38787794080880905,0.39366827852477126,0.07798952834801867,0.3874006036514303,0.07870164138127764,-0.3107336896760438,-0.2139292042486834,0.12567041550081975,-0.16856747389156326,0.30541572441188003
kind,0.32569829920883336,0.10801839525338089,-0.28655142997410527,1.0,0.06989094946553404,-0.0020191287227131352,-0.34913578650378857,0.12836563769631845,0.43847374930306227,-0.3676878728021839,-0.3547081984960854,0.4629024663872307,-0.0170719670304665,-0.17431988485217867,0.3547388089674336,0.21797455609445004,0.5124367943306237,-0.019627355677648166,-0.3115230221587397
mode,0.3525488312669209,0.31345676234753095,0.20150493461570915,0.06989094946553404,1.0,0.19932421777028472,-0.13243866129977294,-0.02122767272027669,0.08529895846407931,0.472407934466511,-0.13383507647907986,0.15237779806032026,0.1263115530789251,0.33594726588421453,0.037226132968403,-0.030021773681742168,-0.0005524086965505681,0.2505802978297929,0.09944712532077093
phase,0.36853235832580133,0.10779605007350522,-0.024857110223893225,-0.0020191287227131352,0.19932421777028472,1.0,0.02365739362469855,-0.0010158928783214987,0.2852404295311773,0.25308016833182595,-0.001992236163005431,0.20168278778929075,0.023663543993611685,-0.04001373307580825,0.02627187663372514,0.14486330638146272,0.11795758495288639,0.11241822008166637,-0.11890247150060108
quality,0.13237970826002513,0.01980177799483615,0.050460394982251036,-0.34913578650378857,-0.13243866129977294,0.02365739362469855,1.0,0.048209175421977016,-0.11865256780537187,0.3009041326369817,0.3899837935127285,-0.07875133994297498,0.38835457511697197,0.46021767300390276,-0.239198458509413,-0.17361582502372216,-0.28793794535116257,0.1162548151884811,0.3177476494594511
relator,-0.02446608718327483,-0.08645418872078049,-0.4522765894692823,0.12836563769631845,-0.02122767272027669,-0.0010158928783214987,0.048209175421977016,1.0,0.30900479500838673,0.17110975630315198,-0.0654945707677099,-0.17998968120765485,-0.07459295561407382,0.21427649375545071,-0.00567274149714007,0.4674020793218885,0.20408067874369498,0.5305460476656775,0.05988668566624251
role,0.04217153953047407,-0.12204579034463567,0.03558810826065272,0.43847374930306227,0.08529895846407931,0.2852404295311773,-0.11865256780537187,0.30900479500838673,1.0,-0.006019570602691629,-0.105986239332524,-0.026972547496473175,0.1030910783276311,-0.07101347773801504,-0.07672113132334338,0.22800361010294293,0.372503752302628,0.061120648337303,-0.28752582914577446
roleMixin,0.30152792387310445,-0.06836851422450387,0.38787794080880905,-0.3676878728021839,0.472407934466511,0.25308016833182595,0.3009041326369817,0.17110975630315198,-0.006019570602691629,1.0,0.09923117754779888,0.07972174411368303,0.36432979318016917,0.3556429320208082,-0.32548471644481763,-0.20012267724512606,-0.1576334691399919,0.27095509055328737,0.4533899658748498
