stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,3.917697447409912,6
collective,2.241041610912675,18
event,3.949920716160017,5
kind,4.501144302924777,2
mode,3.014398354416419,15
phase,2.053288510054279,19
quality,3.6277016736385104,9
relator,3.044071729641302,14
role,2.7754338229571665,17
roleMixin,4.635495380170296,1
situation,3.2181366846380985,11
subkind,3.1372972266545744,13
type,2.9329194986884795,16
characterization,4.071309568549498,4
componentOf,3.156608088954708,12
derivation,3.558515427075905,10
material,3.853033259597833,7
mediation,3.6670551982971133,8
participation,4.270688633359236,3
