Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,28,1,28,8.9171974522293
kind,23,2,51,16.24203821656051
relator,22,3,73,23.248407643312103
subkind,22,4,95,30.254777070063692
role,21,5,116,36.94267515923567
category,21,6,137,43.63057324840764
mediation,15,7,152,48.40764331210191
roleMixin,14,8,166,52.86624203821656
event,14,9,180,57.324840764331206
material,13,10,193,61.46496815286624
mode,12,11,205,65.28662420382165
other_r,11,12,216,68.78980891719745
characterization,10,13,226,71.97452229299363
componentOf,10,14,236,75.15923566878982
other_c,8,15,244,77.70700636942675
collective,7,16,251,79.93630573248409
memberOf,6,17,257,81.84713375796179
none_c,6,18,263,83.7579617834395
phase,6,19,269,85.6687898089172
derivation,6,20,275,87.57961783439491
situation,5,21,280,89.171974522293
mixin,5,22,285,90.76433121019109
quality,4,23,289,92.03821656050955
type,4,24,293,93.31210191082803
datatype,4,25,297,94.5859872611465
quantity,3,26,300,95.54140127388536
enumeration,3,27,303,96.4968152866242
externalDependence,2,28,305,97.13375796178345
subCollectionOf,2,29,307,97.77070063694268
participation,2,30,309,98.40764331210191
historicalDependence,1,31,310,98.72611464968153
instantiation,1,32,311,99.04458598726114
triggers,1,33,312,99.36305732484077
manifestation,1,34,313,99.68152866242038
bringsAbout,1,35,314,100.0
abstract,0,36,314,100.0
historicalRole,0,37,314,100.0
historicalRoleMixin,0,38,314,100.0
phaseMixin,0,39,314,100.0
comparative,0,40,314,100.0
creation,0,41,314,100.0
participational,0,42,314,100.0
subQuantityOf,0,43,314,100.0
termination,0,44,314,100.0
