Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.14509055051458614,positive,very_weak
kind,category,0.32569829920883336,positive,weak
mode,category,0.3525488312669209,positive,weak
phase,category,0.36853235832580133,positive,weak
relator,category,0.02446608718327483,negative,very_weak
role,category,0.04217153953047407,positive,very_weak
roleMixin,category,0.30152792387310445,positive,weak
subkind,category,0.562274160459184,positive,moderate
type,category,0.2920095874258828,positive,weak
none_c,category,0.08675865935586573,negative,very_weak
other_c,category,0.057692960843581186,negative,very_weak
characterization,category,0.30959607350874785,positive,weak
componentOf,category,0.011432683978604703,positive,very_weak
derivation,category,0.0038417170906062835,negative,very_weak
material,category,0.28945767062377475,positive,weak
mediation,category,0.30626737791287895,positive,weak
none_r,category,0.2145522159513023,positive,weak
other_r,category,0.0863718278907556,positive,very_weak
category,event,0.14509055051458614,positive,very_weak
kind,event,0.28655142997410527,negative,weak
mode,event,0.20150493461570915,positive,weak
phase,event,0.024857110223893225,negative,very_weak
relator,event,0.4522765894692823,negative,moderate
role,event,0.03558810826065272,positive,very_weak
roleMixin,event,0.38787794080880905,positive,weak
subkind,event,0.07798952834801867,positive,very_weak
type,event,0.3874006036514303,positive,weak
none_c,event,0.5023898166362419,positive,moderate
other_c,event,0.22483228475367803,positive,weak
characterization,event,0.07870164138127764,positive,very_weak
componentOf,event,0.3107336896760438,negative,weak
derivation,event,0.2139292042486834,negative,weak
material,event,0.12567041550081975,positive,very_weak
mediation,event,0.16856747389156326,negative,very_weak
none_r,event,0.4647579102347511,positive,moderate
other_r,event,0.010750851018557531,negative,very_weak
category,kind,0.32569829920883336,positive,weak
event,kind,0.28655142997410527,negative,weak
mode,kind,0.06989094946553404,positive,very_weak
phase,kind,0.0020191287227131352,negative,very_weak
relator,kind,0.12836563769631845,positive,very_weak
role,kind,0.43847374930306227,positive,moderate
roleMixin,kind,0.3676878728021839,negative,weak
subkind,kind,0.4629024663872307,positive,moderate
type,kind,0.0170719670304665,negative,very_weak
none_c,kind,0.10373273812938733,negative,very_weak
other_c,kind,0.17362390206500972,negative,very_weak
characterization,kind,0.17431988485217867,negative,very_weak
componentOf,kind,0.3547388089674336,positive,weak
derivation,kind,0.21797455609445004,positive,weak
material,kind,0.5124367943306237,positive,moderate
mediation,kind,0.019627355677648166,negative,very_weak
none_r,kind,0.1617335880962616,positive,very_weak
other_r,kind,0.046894076922241824,negative,very_weak
category,mode,0.3525488312669209,positive,weak
event,mode,0.20150493461570915,positive,weak
kind,mode,0.06989094946553404,positive,very_weak
phase,mode,0.19932421777028472,positive,very_weak
relator,mode,0.02122767272027669,negative,very_weak
role,mode,0.08529895846407931,positive,very_weak
roleMixin,mode,0.472407934466511,positive,moderate
subkind,mode,0.15237779806032026,positive,very_weak
type,mode,0.1263115530789251,positive,very_weak
none_c,mode,0.17653606552158357,positive,very_weak
other_c,mode,0.03896441149236679,negative,very_weak
characterization,mode,0.33594726588421453,positive,weak
componentOf,mode,0.037226132968403,positive,very_weak
derivation,mode,0.030021773681742168,negative,very_weak
material,mode,0.0005524086965505681,negative,very_weak
mediation,mode,0.2505802978297929,positive,weak
none_r,mode,0.15081269603082928,positive,very_weak
other_r,mode,0.025697920199828764,negative,very_weak
category,phase,0.36853235832580133,positive,weak
event,phase,0.024857110223893225,negative,very_weak
kind,phase,0.0020191287227131352,negative,very_weak
mode,phase,0.19932421777028472,positive,very_weak
relator,phase,0.0010158928783214987,negative,very_weak
role,phase,0.2852404295311773,positive,weak
roleMixin,phase,0.25308016833182595,positive,weak
subkind,phase,0.20168278778929075,positive,weak
type,phase,0.023663543993611685,positive,very_weak
none_c,phase,0.03323485967503693,negative,very_weak
other_c,phase,0.07663876147746518,negative,very_weak
characterization,phase,0.04001373307580825,negative,very_weak
componentOf,phase,0.02627187663372514,positive,very_weak
derivation,phase,0.14486330638146272,positive,very_weak
material,phase,0.11795758495288639,positive,very_weak
mediation,phase,0.11241822008166637,positive,very_weak
none_r,phase,0.010207262349936158,negative,very_weak
other_r,phase,0.17012032695424278,positive,very_weak
category,relator,0.02446608718327483,negative,very_weak
event,relator,0.4522765894692823,negative,moderate
kind,relator,0.12836563769631845,positive,very_weak
mode,relator,0.02122767272027669,negative,very_weak
phase,relator,0.0010158928783214987,negative,very_weak
role,relator,0.30900479500838673,positive,weak
roleMixin,relator,0.17110975630315198,positive,very_weak
subkind,relator,0.17998968120765485,negative,very_weak
type,relator,0.07459295561407382,negative,very_weak
none_c,relator,0.4160081336726537,negative,moderate
other_c,relator,0.15812710390831222,negative,very_weak
characterization,relator,0.21427649375545071,positive,weak
componentOf,relator,0.00567274149714007,negative,very_weak
derivation,relator,0.4674020793218885,positive,moderate
material,relator,0.20408067874369498,positive,weak
mediation,relator,0.5305460476656775,positive,moderate
none_r,relator,0.06052731698049555,negative,very_weak
other_r,relator,0.2516355492464197,positive,weak
category,role,0.04217153953047407,positive,very_weak
event,role,0.03558810826065272,positive,very_weak
kind,role,0.43847374930306227,positive,moderate
mode,role,0.08529895846407931,positive,very_weak
phase,role,0.2852404295311773,positive,weak
relator,role,0.30900479500838673,positive,weak
roleMixin,role,0.006019570602691629,negative,very_weak
subkind,role,0.026972547496473175,negative,very_weak
type,role,0.1030910783276311,positive,very_weak
none_c,role,0.13828292737557968,positive,very_weak
other_c,role,0.14127622445331794,negative,very_weak
characterization,role,0.07101347773801504,negative,very_weak
componentOf,role,0.07672113132334338,negative,very_weak
derivation,role,0.22800361010294293,positive,weak
material,role,0.372503752302628,positive,weak
mediation,role,0.061120648337303,positive,very_weak
none_r,role,0.3658565617807038,positive,weak
other_r,role,0.12398707140589221,positive,very_weak
category,roleMixin,0.30152792387310445,positive,weak
event,roleMixin,0.38787794080880905,positive,weak
kind,roleMixin,0.3676878728021839,negative,weak
mode,roleMixin,0.472407934466511,positive,moderate
phase,roleMixin,0.25308016833182595,positive,weak
relator,roleMixin,0.17110975630315198,positive,very_weak
role,roleMixin,0.006019570602691629,negative,very_weak
subkind,roleMixin,0.07972174411368303,positive,very_weak
type,roleMixin,0.36432979318016917,positive,weak
none_c,roleMixin,0.02489313131132714,positive,very_weak
other_c,roleMixin,0.17888934367963896,negative,very_weak
characterization,roleMixin,0.3556429320208082,positive,weak
componentOf,roleMixin,0.32548471644481763,negative,weak
derivation,roleMixin,0.20012267724512606,negative,weak
material,roleMixin,0.1576334691399919,negative,very_weak
mediation,roleMixin,0.27095509055328737,positive,weak
none_r,roleMixin,0.18218208364855307,positive,very_weak
other_r,roleMixin,0.023863737390265514,positive,very_weak
category,subkind,0.562274160459184,positive,moderate
event,subkind,0.07798952834801867,positive,very_weak
kind,subkind,0.4629024663872307,positive,moderate
mode,subkind,0.15237779806032026,positive,very_weak
phase,subkind,0.20168278778929075,positive,weak
relator,subkind,0.17998968120765485,negative,very_weak
role,subkind,0.026972547496473175,negative,very_weak
roleMixin,subkind,0.07972174411368303,positive,very_weak
type,subkind,0.12449568217528674,positive,very_weak
none_c,subkind,0.0012716443114078862,negative,very_weak
other_c,subkind,0.2693745138386045,negative,weak
