Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,0.14250586739273777,0.14250586739273777,0.0,0.012817940905251735,0.0,0.007067038574856618,0.14250586739273774,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.01792313212901861,0.08090772207388522,0.007067038574856646,0.14250586739273774,0.0,0.002188035628155699,0.0,0.0,0.14250586739273777
characterization,0.14250586739273777,1.2821304330518668,0.0,0.5300588789983594,0.0,0.3029450625854639,0.28393626675586403,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.36751072677616614,0.838261421433347,0.3029450625854639,0.28393626675586403,0.0,0.026173989722653723,0.0,0.0,0.14250586739273777
comparative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
componentOf,0.012817940905251735,0.5300588789983594,0.0,1.2374112601125153,0.0,0.34766423552481523,0.02617398972265378,0.012817940905251735,0.012817940905251735,0.012817940905251735,0.48595126807337796,0.41386640861848883,0.30294506258546383,0.02617398972265378,0.0,0.15424834026837805,0.0,0.0,0.012817940905251735
creation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
derivation,0.007067038574856618,0.3029450625854639,0.0,0.34766423552481523,0.0,0.7318022855267804,0.014403084325716575,0.007067038574856618,0.007067038574856618,0.007067038574856618,0.5470078495702216,0.4220907927263141,0.09203579212299129,0.014403084325716575,0.0,0.08689929261912994,0.0,0.0,0.007067038574856618
externalDependence,0.14250586739273774,0.28393626675586403,0.0,0.02617398972265378,0.0,0.014403084325716575,0.28393626675586403,0.14250586739273774,0.14250586739273774,0.14250586739273774,0.03666942526249406,0.17761894849766016,0.08689929261913,0.28393626675586403,0.0,0.0044529219980941614,0.0,0.0,0.14250586739273774
historicalDependence,0.14250586739273777,0.14250586739273777,0.0,0.012817940905251735,0.0,0.007067038574856618,0.14250586739273774,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.01792313212901861,0.08090772207388522,0.007067038574856646,0.14250586739273774,0.0,0.002188035628155699,0.0,0.0,0.14250586739273777
instantiation,0.14250586739273777,0.14250586739273777,0.0,0.012817940905251735,0.0,0.007067038574856618,0.14250586739273774,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.01792313212901861,0.08090772207388522,0.007067038574856646,0.14250586739273774,0.0,0.002188035628155699,0.0,0.0,0.14250586739273777
manifestation,0.14250586739273777,0.14250586739273777,0.0,0.012817940905251735,0.0,0.007067038574856618,0.14250586739273774,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.01792313212901861,0.08090772207388522,0.007067038574856646,0.14250586739273774,0.0,0.002188035628155699,0.0,0.0,0.14250586739273777
material,0.01792313212901861,0.36751072677616614,0.0,0.48595126807337796,0.0,0.5470078495702216,0.03666942526249406,0.01792313212901861,0.01792313212901861,0.01792313212901861,1.3025973553398682,0.5359346836592235,0.0774387888040024,0.03666942526249406,0.0,0.07214813622769878,0.0,0.0,0.01792313212901861
mediation,0.08090772207388522,0.838261421433347,0.0,0.41386640861848883,0.0,0.4220907927263141,0.17761894849766016,0.08090772207388522,0.08090772207388522,0.08090772207388522,0.5359346836592235,1.4696663129286818,0.25670495722879033,0.17761894849766016,0.0,0.11653298758686219,0.0,0.0,0.08090772207388522
memberOf,0.007067038574856646,0.3029450625854639,0.0,0.30294506258546383,0.0,0.09203579212299129,0.08689929261913,0.007067038574856646,0.007067038574856646,0.007067038574856646,0.0774387888040024,0.25670495722879033,0.687083112587429,0.08689929261913,0.0,0.2392170938165127,0.0,0.0,0.007067038574856646
participation,0.14250586739273774,0.28393626675586403,0.0,0.02617398972265378,0.0,0.014403084325716575,0.28393626675586403,0.14250586739273774,0.14250586739273774,0.14250586739273774,0.03666942526249406,0.17761894849766016,0.08689929261913,0.28393626675586403,0.0,0.0044529219980941614,0.0,0.0,0.14250586739273774
participational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subCollectionOf,0.002188035628155699,0.026173989722653723,0.0,0.15424834026837805,0.0,0.08689929261912994,0.0044529219980941614,0.002188035628155699,0.002188035628155699,0.002188035628155699,0.07214813622769878,0.11653298758686219,0.2392170938165127,0.0044529219980941614,0.0,0.28393626675586403,0.0,0.0,0.002188035628155699
subQuantityOf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triggers,0.14250586739273777,0.14250586739273777,0.0,0.012817940905251735,0.0,0.007067038574856618,0.14250586739273774,0.14250586739273777,0.14250586739273777,0.14250586739273777,0.01792313212901861,0.08090772207388522,0.007067038574856646,0.14250586739273774,0.0,0.002188035628155699,0.0,0.0,0.14250586739273777
