Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,1.0,0.36524061579730416,,-0.11415211377633688,,-0.08285426894045234,0.6731909351411752,1.0,1.0,1.0,-0.1374119436349007,0.21359803882763354,-0.08286959387703775,0.7180703308172536,,-0.04487939567607835,,,1.0
characterization,0.36524061579730416,1.0,,0.1562855350439348,,0.11829590918159903,0.47387140364024255,0.36524061579730416,0.36524061579730416,0.36524061579730416,-0.16144527649729487,0.6126347538155213,0.13299286416017142,0.4768517269335774,,-0.16391778113341723,,,0.36524061579730416
comparative,,,,,,,,,,,,,,,,,,,
componentOf,-0.11415211377633688,0.1562855350439348,,1.0,,0.2357045734090718,-0.163938492205726,-0.11415211377633688,-0.11415211377633688,-0.11415211377633688,0.12379035096192466,0.05021492531380956,0.2614327954445941,-0.163938492205726,,0.19076479093029935,,,-0.11415211377633688
creation,,,,,,,,,,,,,,,,,,,
derivation,-0.08285426894045234,0.11829590918159903,,0.2357045734090718,,1.0,-0.11899038461538461,-0.08285426894045234,-0.08285426894045234,-0.08285426894045234,0.6465571269381242,0.3753676635314237,0.1409284285245118,-0.11899038461538461,,0.16947115384615385,,,-0.08285426894045234
externalDependence,0.6731909351411752,0.47387140364024255,,-0.163938492205726,,-0.11899038461538461,1.0,0.6731909351411752,0.6731909351411752,0.6731909351411752,-0.1973428796483099,0.3067568288057507,0.18753468047749997,0.998046875,,-0.064453125,,,0.6731909351411752
historicalDependence,1.0,0.36524061579730416,,-0.11415211377633688,,-0.08285426894045234,0.6731909351411752,1.0,1.0,1.0,-0.1374119436349007,0.21359803882763354,-0.08286959387703775,0.7180703308172536,,-0.04487939567607835,,,1.0
instantiation,1.0,0.36524061579730416,,-0.11415211377633688,,-0.08285426894045234,0.6731909351411752,1.0,1.0,1.0,-0.1374119436349007,0.21359803882763354,-0.08286959387703775,0.7180703308172536,,-0.04487939567607835,,,1.0
manifestation,1.0,0.36524061579730416,,-0.11415211377633688,,-0.08285426894045234,0.6731909351411752,1.0,1.0,1.0,-0.1374119436349007,0.21359803882763354,-0.08286959387703775,0.7180703308172536,,-0.04487939567607835,,,1.0
material,-0.1374119436349007,-0.16144527649729487,,0.12379035096192466,,0.6465571269381242,-0.1973428796483099,-0.1374119436349007,-0.1374119436349007,-0.1374119436349007,1.0,0.12541825737393433,-0.1067412967833471,-0.1973428796483099,,0.008740127536871534,,,-0.1374119436349007
mediation,0.21359803882763354,0.6126347538155213,,0.05021492531380956,,0.3753676635314237,0.3067568288057507,0.21359803882763354,0.21359803882763354,0.21359803882763354,0.12541825737393433,1.0,0.1266895849114943,0.3067568288057507,,-0.006639758199258674,,,0.21359803882763354
memberOf,-0.08286959387703775,0.13299286416017142,,0.2614327954445941,,0.1409284285245118,0.18753468047749997,-0.08286959387703775,-0.08286959387703775,-0.08286959387703775,-0.1067412967833471,0.1266895849114943,1.0,0.16950249966235573,,0.5752265680031008,,,-0.08286959387703775
participation,0.7180703308172536,0.4768517269335774,,-0.163938492205726,,-0.11899038461538461,0.998046875,0.7180703308172536,0.7180703308172536,0.7180703308172536,-0.1973428796483099,0.3067568288057507,0.16950249966235573,1.0,,-0.064453125,,,0.7180703308172536
participational,,,,,,,,,,,,,,,,,,,
subCollectionOf,-0.04487939567607835,-0.16391778113341723,,0.19076479093029935,,0.16947115384615385,-0.064453125,-0.04487939567607835,-0.04487939567607835,-0.04487939567607835,0.008740127536871534,-0.006639758199258674,0.5752265680031008,-0.064453125,,1.0,,,-0.04487939567607835
subQuantityOf,,,,,,,,,,,,,,,,,,,
termination,,,,,,,,,,,,,,,,,,,
triggers,1.0,0.36524061579730416,,-0.11415211377633688,,-0.08285426894045234,0.6731909351411752,1.0,1.0,1.0,-0.1374119436349007,0.21359803882763354,-0.08286959387703775,0.7180703308172536,,-0.04487939567607835,,,1.0
