Stereotype,Stereotype2,Absolute Value,Sign,Classification
characterization,bringsAbout,0.36884206708367184,positive,weak
comparative,bringsAbout,,negative,very_strong
componentOf,bringsAbout,0.12296534491927782,negative,very_weak
creation,bringsAbout,,negative,very_strong
derivation,bringsAbout,0.08885233166386386,negative,very_weak
externalDependence,bringsAbout,0.6708756025330433,positive,strong
historicalDependence,bringsAbout,1.0,positive,very_strong
instantiation,bringsAbout,1.0,positive,very_strong
manifestation,bringsAbout,1.0,positive,very_strong
material,bringsAbout,0.14864150916084656,negative,very_weak
mediation,bringsAbout,0.22399551435409742,positive,weak
memberOf,bringsAbout,0.08887119427561735,negative,very_weak
participation,bringsAbout,0.7187952884282608,positive,strong
participational,bringsAbout,,negative,very_strong
subCollectionOf,bringsAbout,0.04791968589521738,negative,very_weak
subQuantityOf,bringsAbout,,negative,very_strong
termination,bringsAbout,,negative,very_strong
triggers,bringsAbout,1.0,positive,very_strong
none,bringsAbout,0.04092810477185748,negative,very_weak
other,bringsAbout,0.13139645382185353,negative,very_weak
bringsAbout,characterization,0.36884206708367184,positive,weak
comparative,characterization,,negative,very_strong
componentOf,characterization,0.13386978928938725,positive,very_weak
creation,characterization,,negative,very_strong
derivation,characterization,0.09514590293062317,positive,very_weak
externalDependence,characterization,0.47550902785999805,positive,moderate
historicalDependence,characterization,0.36884206708367184,positive,weak
instantiation,characterization,0.36884206708367184,positive,weak
manifestation,characterization,0.36884206708367184,positive,weak
material,characterization,0.20215957533270043,negative,weak
mediation,characterization,0.6470930825654735,positive,strong
memberOf,characterization,0.11137958559416129,positive,very_weak
participation,characterization,0.47892995611798367,positive,moderate
participational,characterization,,negative,very_strong
subCollectionOf,characterization,0.17674795999592255,negative,very_weak
subQuantityOf,characterization,,negative,very_strong
termination,characterization,,negative,very_strong
triggers,characterization,0.36884206708367184,positive,weak
none,characterization,0.3168944000932018,negative,weak
other,characterization,0.39354343181712054,positive,weak
bringsAbout,comparative,,negative,very_strong
characterization,comparative,,negative,very_strong
componentOf,comparative,,negative,very_strong
creation,comparative,,negative,very_strong
derivation,comparative,,negative,very_strong
externalDependence,comparative,,negative,very_strong
historicalDependence,comparative,,negative,very_strong
instantiation,comparative,,negative,very_strong
manifestation,comparative,,negative,very_strong
material,comparative,,negative,very_strong
mediation,comparative,,negative,very_strong
memberOf,comparative,,negative,very_strong
participation,comparative,,negative,very_strong
participational,comparative,,negative,very_strong
subCollectionOf,comparative,,negative,very_strong
subQuantityOf,comparative,,negative,very_strong
termination,comparative,,negative,very_strong
triggers,comparative,,negative,very_strong
none,comparative,,negative,very_strong
other,comparative,,negative,very_strong
bringsAbout,componentOf,0.12296534491927782,negative,very_weak
characterization,componentOf,0.13386978928938725,positive,very_weak
comparative,componentOf,,negative,very_strong
creation,componentOf,,negative,very_strong
derivation,componentOf,0.2223920339311373,positive,weak
externalDependence,componentOf,0.17677382113586576,negative,very_weak
historicalDependence,componentOf,0.12296534491927782,negative,very_weak
instantiation,componentOf,0.12296534491927782,negative,very_weak
manifestation,componentOf,0.12296534491927782,negative,very_weak
material,componentOf,0.09279475332744942,positive,very_weak
mediation,componentOf,0.06397243126356225,positive,very_weak
memberOf,componentOf,0.2502882164779839,positive,weak
participation,componentOf,0.17677382113586576,negative,very_weak
participational,componentOf,,negative,very_strong
subCollectionOf,componentOf,0.18817858378979258,positive,very_weak
subQuantityOf,componentOf,,negative,very_strong
termination,componentOf,,negative,very_strong
triggers,componentOf,0.12296534491927782,negative,very_weak
none,componentOf,0.3365440952354693,negative,weak
other,componentOf,0.11456930915447144,negative,very_weak
bringsAbout,creation,,negative,very_strong
characterization,creation,,negative,very_strong
comparative,creation,,negative,very_strong
componentOf,creation,,negative,very_strong
derivation,creation,,negative,very_strong
externalDependence,creation,,negative,very_strong
historicalDependence,creation,,negative,very_strong
instantiation,creation,,negative,very_strong
manifestation,creation,,negative,very_strong
material,creation,,negative,very_strong
mediation,creation,,negative,very_strong
memberOf,creation,,negative,very_strong
