Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4968421052631579,4,0.30132450331125826
20.0,8,0.6805263157894736,8,0.5264900662251656
30.0,13,0.8326315789473684,13,0.7152317880794702
40.0,17,0.9168421052631579,17,0.8178807947019867
50.0,22,0.9589473684210527,22,0.9072847682119205
60.0,26,0.9789473684210527,26,0.9536423841059603
70.0,30,0.9921052631578947,30,0.9834437086092715
80.0,35,1.0,35,1.0
90.0,39,1.0,39,1.0
100.0,44,1.0,44,1.0
