Stereotype,Stereotype2,Absolute Value,Sign,Classification
event,category,0.09403385334378886,positive,very_weak
kind,category,0.0973767543918162,positive,very_weak
mode,category,0.359387643415108,positive,weak
phase,category,0.39097278369872407,positive,weak
relator,category,0.015718637383884834,positive,very_weak
role,category,0.008831532672452621,positive,very_weak
roleMixin,category,0.3162708542006183,positive,weak
subkind,category,0.5486907674459186,positive,moderate
none_c,category,0.2150715942352383,positive,weak
other_c,category,0.0668774455033126,positive,very_weak
characterization,category,0.36719483601856945,positive,weak
componentOf,category,0.039610696363270734,positive,very_weak
derivation,category,0.027659484096834993,positive,very_weak
material,category,0.2287536448393519,positive,weak
mediation,category,0.3488476942197912,positive,weak
none_r,category,0.1732365424792888,positive,very_weak
other_r,category,0.13989627035864713,positive,very_weak
category,event,0.09403385334378886,positive,very_weak
kind,event,0.3980204520594794,positive,weak
mode,event,0.16650536992736256,positive,very_weak
phase,event,0.024141964734487605,positive,very_weak
relator,event,0.38946858570415216,positive,weak
role,event,0.06778224499252501,positive,very_weak
roleMixin,event,0.35438398028511725,positive,weak
subkind,event,0.06641284284924708,positive,very_weak
none_c,event,0.389302689641075,positive,weak
other_c,event,0.26148685310682496,positive,weak
characterization,event,0.12668162305644498,positive,very_weak
componentOf,event,0.29101433102070207,positive,weak
derivation,event,0.21545978745115246,positive,weak
material,event,0.08919791089418756,positive,very_weak
mediation,event,0.13264456522775994,positive,very_weak
none_r,event,0.27191743988831063,positive,weak
other_r,event,0.04111438685148349,positive,very_weak
category,kind,0.0973767543918162,positive,very_weak
event,kind,0.3980204520594794,positive,weak
mode,kind,0.039006662975072486,positive,very_weak
phase,kind,0.06119850251452909,positive,very_weak
relator,kind,0.09873591408137011,positive,very_weak
role,kind,0.4350279608757728,positive,moderate
roleMixin,kind,0.34335027231913157,positive,weak
subkind,kind,0.3215231867976728,positive,weak
none_c,kind,0.2578067295681324,positive,weak
other_c,kind,0.10896507041903689,positive,very_weak
characterization,kind,0.13776765828593202,positive,very_weak
componentOf,kind,0.3570156196674924,positive,weak
derivation,kind,0.28551203627515687,positive,weak
material,kind,0.5076066246861926,positive,moderate
mediation,kind,0.02792065806545158,positive,very_weak
none_r,kind,0.09675843487481921,positive,very_weak
other_r,kind,0.05729519134019828,positive,very_weak
category,mode,0.359387643415108,positive,weak
event,mode,0.16650536992736256,positive,very_weak
kind,mode,0.039006662975072486,positive,very_weak
phase,mode,0.2816379366039363,positive,weak
relator,mode,0.023745991045845002,positive,very_weak
role,mode,0.02269509524159334,positive,very_weak
roleMixin,mode,0.45507493074433697,positive,moderate
subkind,mode,0.2417996062351666,positive,weak
none_c,mode,0.046148375762595374,positive,very_weak
other_c,mode,0.01414406089846988,positive,very_weak
characterization,mode,0.3774731790378701,positive,weak
componentOf,mode,0.06781775003066028,positive,very_weak
derivation,mode,0.004484468508899875,positive,very_weak
material,mode,0.03037461049709443,positive,very_weak
mediation,mode,0.2770093948567197,positive,weak
none_r,mode,0.09092771330546799,positive,very_weak
other_r,mode,0.04647359549485725,positive,very_weak
category,phase,0.39097278369872407,positive,weak
event,phase,0.024141964734487605,positive,very_weak
kind,phase,0.06119850251452909,positive,very_weak
mode,phase,0.2816379366039363,positive,weak
relator,phase,0.010364425222735337,positive,very_weak
role,phase,0.24935637040325212,positive,weak
roleMixin,phase,0.2673898745092207,positive,weak
subkind,phase,0.26536485324971737,positive,weak
none_c,phase,0.007659726209702875,positive,very_weak
other_c,phase,0.0888801578394582,positive,very_weak
characterization,phase,0.03353268058004283,positive,very_weak
componentOf,phase,0.019085467744628052,positive,very_weak
derivation,phase,0.1571563710066879,positive,very_weak
material,phase,0.12737919502356362,positive,very_weak
mediation,phase,0.05568087468124233,positive,very_weak
none_r,phase,0.014233957460749099,positive,very_weak
other_r,phase,0.15978074796479402,positive,very_weak
category,relator,0.015718637383884834,positive,very_weak
event,relator,0.38946858570415216,positive,weak
kind,relator,0.09873591408137011,positive,very_weak
mode,relator,0.023745991045845002,positive,very_weak
phase,relator,0.010364425222735337,positive,very_weak
role,relator,0.1966098645785865,positive,very_weak
roleMixin,relator,0.1869307585636985,positive,very_weak
subkind,relator,0.13690683509461252,positive,very_weak
none_c,relator,0.42070729557925274,positive,moderate
other_c,relator,0.17581721173551443,positive,very_weak
characterization,relator,0.2650046326341985,positive,weak
componentOf,relator,0.029125249962064132,positive,very_weak
derivation,relator,0.40242771343798195,positive,moderate
material,relator,0.06167754336124375,positive,very_weak
mediation,relator,0.595163905335002,positive,moderate
none_r,relator,0.042287384229277636,positive,very_weak
other_r,relator,0.16348759900845847,positive,very_weak
category,role,0.008831532672452621,positive,very_weak
event,role,0.06778224499252501,positive,very_weak
kind,role,0.4350279608757728,positive,moderate
mode,role,0.02269509524159334,positive,very_weak
phase,role,0.24935637040325212,positive,weak
relator,role,0.1966098645785865,positive,very_weak
roleMixin,role,0.024258745603606417,positive,very_weak
subkind,role,0.024250236292059392,positive,very_weak
none_c,role,0.04302434584228243,positive,very_weak
other_c,role,0.1998743457587695,positive,very_weak
characterization,role,0.04559899927630854,positive,very_weak
componentOf,role,0.04740796148459268,positive,very_weak
derivation,role,0.22466838313951693,positive,weak
material,role,0.34383508932050333,positive,weak
mediation,role,0.06517681932078435,positive,very_weak
none_r,role,0.35866339369446193,positive,weak
other_r,role,0.15064030163261008,positive,very_weak
category,roleMixin,0.3162708542006183,positive,weak
event,roleMixin,0.35438398028511725,positive,weak
kind,roleMixin,0.34335027231913157,positive,weak
mode,roleMixin,0.45507493074433697,positive,moderate
phase,roleMixin,0.2673898745092207,positive,weak
relator,roleMixin,0.1869307585636985,positive,very_weak
role,roleMixin,0.024258745603606417,positive,very_weak
subkind,roleMixin,0.12774100531053548,positive,very_weak
none_c,roleMixin,0.02023852340837794,positive,very_weak
other_c,roleMixin,0.17425599729640576,positive,very_weak
characterization,roleMixin,0.3225839079693659,positive,weak
componentOf,roleMixin,0.2945139375513038,positive,weak
derivation,roleMixin,0.21288506678241345,positive,weak
material,roleMixin,0.22358998454437445,positive,weak
mediation,roleMixin,0.27809624996275656,positive,weak
none_r,roleMixin,0.1524589009520853,positive,very_weak
other_r,roleMixin,0.05287761566967356,positive,very_weak
category,subkind,0.5486907674459186,positive,moderate
event,subkind,0.06641284284924708,positive,very_weak
kind,subkind,0.3215231867976728,positive,weak
mode,subkind,0.2417996062351666,positive,weak
phase,subkind,0.26536485324971737,positive,weak
relator,subkind,0.13690683509461252,positive,very_weak
role,subkind,0.024250236292059392,positive,very_weak
roleMixin,subkind,0.12774100531053548,positive,very_weak
none_c,subkind,0.042191502135095614,positive,very_weak
other_c,subkind,0.099928182843301,positive,very_weak
characterization,subkind,0.06802936816333749,positive,very_weak
componentOf,subkind,0.3168959998244365,positive,weak
derivation,subkind,0.026250430504961786,positive,very_weak
material,subkind,0.2999766041637648,positive,weak
mediation,subkind,0.19364918162047545,positive,very_weak
none_r,subkind,0.08581372746503443,positive,very_weak
other_r,subkind,0.21205025457510923,positive,weak
category,none_c,0.2150715942352383,positive,weak
event,none_c,0.389302689641075,positive,weak
kind,none_c,0.2578067295681324,positive,weak
mode,none_c,0.046148375762595374,positive,very_weak
phase,none_c,0.007659726209702875,positive,very_weak
relator,none_c,0.42070729557925274,positive,moderate
role,none_c,0.04302434584228243,positive,very_weak
roleMixin,none_c,0.02023852340837794,positive,very_weak
subkind,none_c,0.042191502135095614,positive,very_weak
other_c,none_c,0.15283379967776323,positive,very_weak
characterization,none_c,0.2862044158576766,positive,weak
componentOf,none_c,0.11647587458145564,positive,very_weak
derivation,none_c,0.20561330808977746,positive,weak
material,none_c,0.008178091407805952,positive,very_weak
mediation,none_c,0.2457479840072385,positive,weak
none_r,none_c,0.23885919918306858,positive,weak
other_r,none_c,0.1523365712978613,positive,very_weak
category,other_c,0.0668774455033126,positive,very_weak
event,other_c,0.26148685310682496,positive,weak
kind,other_c,0.10896507041903689,positive,very_weak
mode,other_c,0.01414406089846988,positive,very_weak
phase,other_c,0.0888801578394582,positive,very_weak
relator,other_c,0.17581721173551443,positive,very_weak
role,other_c,0.1998743457587695,positive,very_weak
roleMixin,other_c,0.17425599729640576,positive,very_weak
subkind,other_c,0.099928182843301,positive,very_weak
none_c,other_c,0.15283379967776323,positive,very_weak
characterization,other_c,0.033957837414617,positive,very_weak
componentOf,other_c,0.093218293835456,positive,very_weak
derivation,other_c,0.10519045304741935,positive,very_weak
material,other_c,0.0,negative,very_weak
mediation,other_c,0.12265554285200413,positive,very_weak
none_r,other_c,0.23007600772555117,positive,weak
other_r,other_c,0.035424243503868726,positive,very_weak
category,characterization,0.36719483601856945,positive,weak
event,characterization,0.12668162305644498,positive,very_weak
kind,characterization,0.13776765828593202,positive,very_weak
mode,characterization,0.3774731790378701,positive,weak
phase,characterization,0.03353268058004283,positive,very_weak
relator,characterization,0.2650046326341985,positive,weak
role,characterization,0.04559899927630854,positive,very_weak
roleMixin,characterization,0.3225839079693659,positive,weak
subkind,characterization,0.06802936816333749,positive,very_weak
none_c,characterization,0.2862044158576766,positive,weak
other_c,characterization,0.033957837414617,positive,very_weak
componentOf,characterization,0.13610644614970624,positive,very_weak
derivation,characterization,0.14432333859111413,positive,very_weak
material,characterization,0.12537926787487616,positive,very_weak
mediation,characterization,0.5943509184543871,positive,moderate
none_r,characterization,0.14745910498927514,positive,very_weak
other_r,characterization,0.3822154232000358,positive,weak
category,componentOf,0.039610696363270734,positive,very_weak
event,componentOf,0.29101433102070207,positive,weak
kind,componentOf,0.3570156196674924,positive,weak
mode,componentOf,0.06781775003066028,positive,very_weak
phase,componentOf,0.019085467744628052,positive,very_weak
relator,componentOf,0.029125249962064132,positive,very_weak
role,componentOf,0.04740796148459268,positive,very_weak
roleMixin,componentOf,0.2945139375513038,positive,weak
subkind,componentOf,0.3168959998244365,positive,weak
none_c,componentOf,0.11647587458145564,positive,very_weak
other_c,componentOf,0.093218293835456,positive,very_weak
characterization,componentOf,0.13610644614970624,positive,very_weak
derivation,componentOf,0.21109893072060257,positive,weak
material,componentOf,0.15873142618979322,positive,very_weak
mediation,componentOf,0.03753945910385266,positive,very_weak
none_r,componentOf,0.25995137173392374,positive,weak
other_r,componentOf,0.07762425823379492,positive,very_weak
category,derivation,0.027659484096834993,positive,very_weak
event,derivation,0.21545978745115246,positive,weak
kind,derivation,0.28551203627515687,positive,weak
mode,derivation,0.004484468508899875,positive,very_weak
phase,derivation,0.1571563710066879,positive,very_weak
relator,derivation,0.40242771343798195,positive,moderate
role,derivation,0.22466838313951693,positive,weak
roleMixin,derivation,0.21288506678241345,positive,weak
subkind,derivation,0.026250430504961786,positive,very_weak
none_c,derivation,0.20561330808977746,positive,weak
other_c,derivation,0.10519045304741935,positive,very_weak
characterization,derivation,0.14432333859111413,positive,very_weak
componentOf,derivation,0.21109893072060257,positive,weak
material,derivation,0.6433905033165364,positive,strong
mediation,derivation,0.3592540730923385,positive,weak
none_r,derivation,0.04245667984916338,positive,very_weak
other_r,derivation,0.4666826340761234,positive,moderate
category,material,0.2287536448393519,positive,weak
event,material,0.08919791089418756,positive,very_weak
kind,material,0.5076066246861926,positive,moderate
mode,material,0.03037461049709443,positive,very_weak
phase,material,0.12737919502356362,positive,very_weak
relator,material,0.06167754336124375,positive,very_weak
role,material,0.34383508932050333,positive,weak
roleMixin,material,0.22358998454437445,positive,weak
subkind,material,0.2999766041637648,positive,weak
none_c,material,0.008178091407805952,positive,very_weak
other_c,material,0.0,negative,very_weak
characterization,material,0.12537926787487616,positive,very_weak
componentOf,material,0.15873142618979322,positive,very_weak
derivation,material,0.6433905033165364,positive,strong
mediation,material,0.16548673301351713,positive,very_weak
none_r,material,0.07670311507814641,positive,very_weak
other_r,material,0.22874202513119993,positive,weak
category,mediation,0.3488476942197912,positive,weak
event,mediation,0.13264456522775994,positive,very_weak
kind,mediation,0.02792065806545158,positive,very_weak
mode,mediation,0.2770093948567197,positive,weak
phase,mediation,0.05568087468124233,positive,very_weak
relator,mediation,0.595163905335002,positive,moderate
role,mediation,0.06517681932078435,positive,very_weak
roleMixin,mediation,0.27809624996275656,positive,weak
subkind,mediation,0.19364918162047545,positive,very_weak
none_c,mediation,0.2457479840072385,positive,weak
other_c,mediation,0.12265554285200413,positive,very_weak
characterization,mediation,0.5943509184543871,positive,moderate
componentOf,mediation,0.03753945910385266,positive,very_weak
derivation,mediation,0.3592540730923385,positive,weak
material,mediation,0.16548673301351713,positive,very_weak
none_r,mediation,0.20912475863427316,positive,weak
other_r,mediation,0.3066053484317403,positive,weak
category,none_r,0.1732365424792888,positive,very_weak
event,none_r,0.27191743988831063,positive,weak
kind,none_r,0.09675843487481921,positive,very_weak
mode,none_r,0.09092771330546799,positive,very_weak
phase,none_r,0.014233957460749099,positive,very_weak
relator,none_r,0.042287384229277636,positive,very_weak
role,none_r,0.35866339369446193,positive,weak
roleMixin,none_r,0.1524589009520853,positive,very_weak
subkind,none_r,0.08581372746503443,positive,very_weak
none_c,none_r,0.23885919918306858,positive,weak
other_c,none_r,0.23007600772555117,positive,weak
characterization,none_r,0.14745910498927514,positive,very_weak
componentOf,none_r,0.25995137173392374,positive,weak
derivation,none_r,0.04245667984916338,positive,very_weak
material,none_r,0.07670311507814641,positive,very_weak
mediation,none_r,0.20912475863427316,positive,weak
other_r,none_r,0.2584845245890011,positive,weak
category,other_r,0.13989627035864713,positive,very_weak
event,other_r,0.04111438685148349,positive,very_weak
kind,other_r,0.05729519134019828,positive,very_weak
mode,other_r,0.04647359549485725,positive,very_weak
phase,other_r,0.15978074796479402,positive,very_weak
relator,other_r,0.16348759900845847,positive,very_weak
role,other_r,0.15064030163261008,positive,very_weak
roleMixin,other_r,0.05287761566967356,positive,very_weak
subkind,other_r,0.21205025457510923,positive,weak
none_c,other_r,0.1523365712978613,positive,very_weak
other_c,other_r,0.035424243503868726,positive,very_weak
characterization,other_r,0.3822154232000358,positive,weak
componentOf,other_r,0.07762425823379492,positive,very_weak
derivation,other_r,0.4666826340761234,positive,moderate
material,other_r,0.22874202513119993,positive,weak
mediation,other_r,0.3066053484317403,positive,weak
none_r,other_r,0.2584845245890011,positive,weak
