Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,0.0,1.3862943611198906,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,1.3862943611198906,0.5623351446188083,0.5623351446188083,0.0,0.0,1.0397207708399179,0.5623351446188083,1.0397207708399179,1.0397207708399179,0.0,0.5623351446188083,1.3862943611198906,0.0
collective,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.08494951839769854,0.08494951839769854,0.0,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.0,0.0,0.2157615543388356,0.08494951839769854,0.2157615543388356,0.5623351446188083,0.0,0.08494951839769854,0.5623351446188083,0.0
datatype,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.0,0.0,0.5623351446188083,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.0,0.5623351446188083,0.5623351446188083,0.0
enumeration,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.0,0.0,0.5623351446188083,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.0,0.5623351446188083,0.5623351446188083,0.0
event,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.0,0.0,0.5623351446188083,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.0,0.5623351446188083,0.5623351446188083,0.0
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.0,1.3862943611198906,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,1.3862943611198906,0.5623351446188083,0.5623351446188083,0.0,0.0,1.0397207708399179,0.5623351446188083,1.0397207708399179,1.0397207708399179,0.0,0.5623351446188083,1.3862943611198906,0.0
mixin,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.0,0.0,0.5623351446188083,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.0,0.5623351446188083,0.5623351446188083,0.0
mode,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.08494951839769854,0.08494951839769854,0.0,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.0,0.0,0.2157615543388356,0.08494951839769854,0.2157615543388356,0.5623351446188083,0.0,0.08494951839769854,0.5623351446188083,0.0
phase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phaseMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,0.0,1.0397207708399179,0.2157615543388356,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,1.0397207708399179,0.5623351446188083,0.2157615543388356,0.0,0.0,1.0397207708399179,0.5623351446188083,0.6931471805599452,0.6931471805599452,0.0,0.5623351446188083,1.0397207708399179,0.0
quantity,0.0,0.5623351446188083,0.08494951839769854,0.5623351446188083,0.5623351446188083,0.5623351446188083,0.0,0.0,0.5623351446188083,0.5623351446188083,0.08494951839769854,0.0,0.0,0.5623351446188083,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.0,0.5623351446188083,0.5623351446188083,0.0
relator,0.0,1.0397207708399179,0.2157615543388356,0.2157615543388356,0.2157615543388356,0.2157615543388356,0.0,0.0,1.0397207708399179,0.2157615543388356,0.2157615543388356,0.0,0.0,0.6931471805599452,0.2157615543388356,1.0397207708399179,0.6931471805599452,0.0,0.2157615543388356,1.0397207708399179,0.0
role,0.0,1.0397207708399179,0.5623351446188083,0.2157615543388356,0.2157615543388356,0.2157615543388356,0.0,0.0,1.0397207708399179,0.2157615543388356,0.5623351446188083,0.0,0.0,0.6931471805599452,0.2157615543388356,0.6931471805599452,1.0397207708399179,0.0,0.2157615543388356,1.0397207708399179,0.0
roleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
