Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,9.69274013763691e-05,0.008130081300813009,0.008130659067933357,21,Q3
category,0.05670252980517592,0.7073170731707317,0.7095862307606575,5,Q1
collective,0.01298827178443346,0.2926829268292683,0.29297097272817507,11,Q2
datatype,0.00862653872249685,0.21951219512195122,0.2196816355037178,13,Q3
enumeration,0.007172627701851313,0.07317073170731707,0.07352144290432241,17,Q3
event,0.0476882814771736,0.43902439024390244,0.44160682447090477,8,Q1
historicalRole,0.003780168653678395,0.04065040650406504,0.04082579116191119,19,Q3
historicalRoleMixin,0.0008723466123873219,0.024390243902439025,0.024405839183125985,20,Q3
kind,0.15411456818842686,0.8373983739837398,0.8514618822228724,1,Q1
mixin,0.008141901715615005,0.17886178861788618,0.1790470049767271,14,Q3
mode,0.05282543375012116,0.4796747967479675,0.4825747994726749,6,Q1
phase,0.032858389066589125,0.34146341463414637,0.34304072245968453,10,Q1
phaseMixin,0.001938548027527382,0.06504065040650407,0.06506953337589036,18,Q3
quality,0.024328777745468644,0.35772357723577236,0.35854992279590026,9,Q1
quantity,0.00426480566056024,0.0975609756097561,0.09765414752712642,16,Q3
relator,0.12096539691770863,0.7479674796747967,0.75768593619159,3,Q1
role,0.18057574876417562,0.6910569105691057,0.7142599349585973,4,Q1
roleMixin,0.05612096539691771,0.44715447154471544,0.4506624947557937,7,Q1
situation,0.0076572647087331585,0.17073170731707318,0.17090333404068614,15,Q3
subkind,0.19705340699815838,0.7398373983739838,0.7656300812026436,2,Q1
type,0.021227100901424833,0.21951219512195122,0.2205361503698132,12,Q4
