Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2033,1,2033,19.70534069981584
role,1863,2,3896,37.762915576233404
kind,1590,3,5486,53.174372395076084
relator,1248,4,6734,65.27091208684695
category,585,5,7319,70.94116506736454
roleMixin,579,6,7898,76.55326160705631
mode,545,7,8443,81.83580498206842
event,492,8,8935,86.6046331297858
phase,339,9,9274,89.8904720364447
quality,251,10,9525,92.32334981099156
type,219,11,9744,94.44605990113405
collective,134,12,9878,95.7448870795774
datatype,89,13,9967,96.60754095182709
mixin,84,14,10051,97.42173112338858
situation,79,15,10130,98.1874575942619
enumeration,74,16,10204,98.90472036444703
quantity,44,17,10248,99.33120093050304
historicalRole,39,18,10287,99.7092177958709
phaseMixin,20,19,10307,99.90307259862364
historicalRoleMixin,9,20,10316,99.99030725986236
abstract,1,21,10317,100.0
