Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.11236444134498587,positive,very_weak
event,category,0.10655715507207211,positive,very_weak
kind,category,0.03467927774601152,positive,very_weak
mode,category,0.3741924163171777,positive,weak
phase,category,0.052773302781744545,positive,very_weak
quality,category,0.19679457578336815,positive,very_weak
relator,category,0.015809877798136397,positive,very_weak
role,category,0.04547233322440464,positive,very_weak
roleMixin,category,0.30900598088746195,positive,weak
subkind,category,0.3158859174011476,positive,weak
type,category,0.31870015618808156,positive,weak
category,collective,0.11236444134498587,positive,very_weak
event,collective,0.048304960968398224,positive,very_weak
kind,collective,0.1974735222319597,positive,very_weak
mode,collective,0.20837278705499265,positive,weak
phase,collective,0.30322363319494633,positive,weak
quality,collective,0.031443723705675,positive,very_weak
relator,collective,0.27098391008095835,positive,weak
role,collective,0.14000705256130935,positive,very_weak
roleMixin,collective,0.019678270266650297,positive,very_weak
subkind,collective,0.19586905343150313,positive,very_weak
type,collective,0.13249824022307716,positive,very_weak
category,event,0.10655715507207211,positive,very_weak
collective,event,0.048304960968398224,positive,very_weak
kind,event,0.2077402689818566,positive,weak
mode,event,0.18887665142555848,positive,very_weak
phase,event,0.08851150109811685,positive,very_weak
quality,event,0.11511730877901362,positive,very_weak
relator,event,0.041963547603436784,positive,very_weak
role,event,0.0375627388409671,positive,very_weak
roleMixin,event,0.2790303674834982,positive,weak
subkind,event,0.020414723221679424,positive,very_weak
type,event,0.29429678228231104,positive,weak
category,kind,0.03467927774601152,positive,very_weak
collective,kind,0.1974735222319597,positive,very_weak
event,kind,0.2077402689818566,positive,weak
mode,kind,0.10756556137259789,positive,very_weak
phase,kind,0.27928601792077107,positive,weak
quality,kind,0.09913935352098292,positive,very_weak
relator,kind,0.23123416888707396,positive,weak
role,kind,0.445968177833143,positive,moderate
roleMixin,kind,0.13973896968294916,positive,very_weak
subkind,kind,0.4834766428815401,positive,moderate
type,kind,0.1278427839411175,positive,very_weak
category,mode,0.3741924163171777,positive,weak
