Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.09961685823754789,0.1252967599804021,0.1009919581988168,0.007086438431382937,0.16034575370506554,0.36726241108948204,0.1240729167463663,0.1818446338706704,-0.003011319747527712,0.03395561631861862,0.29101318132848775,0.14941367748699375,0.2701989125029876,0.2548051757584648
collective,0.09961685823754789,1.0,0.17688954350174413,-0.028980301048356125,0.13818554941196726,0.11940641233355945,0.2050039586841527,0.3281039353959464,-0.03273203409672067,0.24993953904480012,0.12073108024397733,-0.003506182907572141,-0.24438981356399755,0.17781472550748081,0.13372007157572324
datatype,0.1252967599804021,0.17688954350174413,1.0,0.12452944172853075,0.12723196120682514,0.11125556291722227,0.08055027906610329,0.03232857633125813,0.13692553275976163,-0.09930508899982052,0.014515450885641986,-0.04239558492243069,0.17697373762072413,0.1354034580765811,0.09837962962962964
event,0.1009919581988168,-0.028980301048356125,0.12452944172853075,1.0,-0.23172878929958993,-0.07089844579032242,0.1999511219238379,0.08847528573202863,0.09169647286464216,-0.05245657419573086,-0.08215276283954832,0.2587735596985312,0.5129053474324835,0.0018215208207832258,0.2828459412903838
kind,0.007086438431382937,0.13818554941196726,0.12723196120682514,-0.23172878929958993,1.0,0.033185832072337475,0.07027590844345641,0.2708434834566817,0.053065816426437325,0.15017339977732688,0.4683085242086928,-0.13546229640364804,-0.20994002570204695,0.3915518783162645,-0.1921462271286747
mixin,0.16034575370506554,0.11940641233355945,0.11125556291722227,-0.07089844579032242,0.033185832072337475,1.0,0.18884231084800068,0.20077049779297831,0.13853158982202896,0.026615094639954425,0.2661437313283045,0.13494033156110724,-0.04262861159568004,-0.013366299999913163,0.1625081256094258
mode,0.36726241108948204,0.2050039586841527,0.08055027906610329,0.1999511219238379,0.07027590844345641,0.18884231084800068,1.0,0.16656785138997007,0.20011614580425638,0.1825307629081996,0.1488970487011995,0.3147987148568989,-0.04641391527463421,0.19843314492598035,0.27713131726314105
phase,0.1240729167463663,0.3281039353959464,0.03232857633125813,0.08847528573202863,0.2708434834566817,0.20077049779297831,0.16656785138997007,1.0,0.10643244692407247,0.1415782938067568,0.258832538706698,0.07653493034868403,-0.05334400320106704,0.3488506207896541,0.03232857633125813
quality,0.1818446338706704,-0.03273203409672067,0.13692553275976163,0.09169647286464216,0.053065816426437325,0.13853158982202896,0.20011614580425638,0.10643244692407247,1.0,0.15975458838374662,0.16861930804109967,0.045207648692909615,0.20229700848842236,0.09460866763224231,0.17790324694333995
relator,-0.003011319747527712,0.24993953904480012,-0.09930508899982052,-0.05245657419573086,0.15017339977732688,0.026615094639954425,0.1825307629081996,0.1415782938067568,0.15975458838374662,1.0,0.1792350238369676,0.1454397260809221,-0.08496397077782901,0.08258601507954703,-0.008827119022206268
role,0.03395561631861862,0.12073108024397733,0.014515450885641986,-0.08215276283954832,0.4683085242086928,0.2661437313283045,0.1488970487011995,0.258832538706698,0.16861930804109967,0.1792350238369676,1.0,0.07049024533582766,-0.16423766138741958,0.0847766793432013,-0.027994083850880973
roleMixin,0.29101318132848775,-0.003506182907572141,-0.04239558492243069,0.2587735596985312,-0.13546229640364804,0.13494033156110724,0.3147987148568989,0.07653493034868403,0.045207648692909615,0.1454397260809221,0.07049024533582766,1.0,0.11341212765697035,0.011514686284700034,0.27364422995387083
situation,0.14941367748699375,-0.24438981356399755,0.17697373762072413,0.5129053474324835,-0.20994002570204695,-0.04262861159568004,-0.04641391527463421,-0.05334400320106704,0.20229700848842236,-0.08496397077782901,-0.16423766138741958,0.11341212765697035,1.0,-0.12492494745645803,0.07257196434806673
subkind,0.2701989125029876,0.17781472550748081,0.1354034580765811,0.0018215208207832258,0.3915518783162645,-0.013366299999913163,0.19843314492598035,0.3488506207896541,0.09460866763224231,0.08258601507954703,0.0847766793432013,0.011514686284700034,-0.12492494745645803,1.0,0.04586246160658392
type,0.2548051757584648,0.13372007157572324,0.09837962962962964,0.2828459412903838,-0.1921462271286747,0.1625081256094258,0.27713131726314105,0.03232857633125813,0.17790324694333995,-0.008827119022206268,-0.027994083850880973,0.27364422995387083,0.07257196434806673,0.04586246160658392,1.0
