Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.09249626910607237,positive,very_weak
datatype,category,0.11727213547992209,positive,very_weak
event,category,0.09569580839716726,positive,very_weak
kind,category,0.0047749154549017086,positive,very_weak
mixin,category,0.16322917390445452,positive,very_weak
mode,category,0.3640078084307975,positive,weak
phase,category,0.11788454892243297,positive,very_weak
quality,category,0.18652174235663713,positive,very_weak
relator,category,0.0060907459628938895,negative,very_weak
role,category,0.03053791034205982,positive,very_weak
roleMixin,category,0.28709362240464903,positive,weak
situation,category,0.1521926912333465,positive,very_weak
subkind,category,0.29381994467100137,positive,weak
type,category,0.24893349003713525,positive,weak
category,collective,0.09249626910607237,positive,very_weak
datatype,collective,0.1566995711201481,positive,very_weak
event,collective,0.044051551214231655,negative,very_weak
kind,collective,0.13401016274660965,positive,very_weak
mixin,collective,0.12672691270814576,positive,very_weak
mode,collective,0.19452710164219814,positive,very_weak
phase,collective,0.3160370326702539,positive,weak
quality,collective,0.023509657610859908,negative,very_weak
relator,collective,0.24532041958891698,positive,weak
role,collective,0.11354765569446124,positive,very_weak
roleMixin,collective,0.017943463088456832,negative,very_weak
situation,collective,0.2412106571053161,negative,weak
subkind,collective,0.18224301031533507,positive,very_weak
type,collective,0.11244645149825441,positive,very_weak
category,datatype,0.11727213547992209,positive,very_weak
collective,datatype,0.1566995711201481,positive,very_weak
event,datatype,0.10922678964289191,positive,very_weak
kind,datatype,0.12231274357081115,positive,very_weak
mixin,datatype,0.12034151577730946,positive,very_weak
mode,datatype,0.06570580211424688,positive,very_weak
phase,datatype,0.011114584961785674,positive,very_weak
quality,datatype,0.15101717408522405,positive,very_weak
relator,datatype,0.11004213754208134,negative,very_weak
role,datatype,0.004251356399071473,positive,very_weak
roleMixin,datatype,0.06077769091974091,negative,very_weak
situation,datatype,0.18688559639281307,positive,very_weak
subkind,datatype,0.09159619163724325,positive,very_weak
type,datatype,0.07131410256410256,positive,very_weak
category,event,0.09569580839716726,positive,very_weak
collective,event,0.044051551214231655,negative,very_weak
datatype,event,0.10922678964289191,positive,very_weak
kind,event,0.23724520412289232,negative,weak
mixin,event,0.06698534220485136,negative,very_weak
mode,event,0.1921616830054586,positive,very_weak
phase,event,0.07661509481795394,positive,very_weak
quality,event,0.09935884713424267,positive,very_weak
relator,event,0.05822072152164481,negative,very_weak
role,event,0.08897738995687995,negative,very_weak
roleMixin,event,0.2510579688550579,positive,weak
situation,event,0.5202781305073776,positive,moderate
subkind,event,0.012510348364985997,positive,very_weak
type,event,0.2707500422057139,positive,weak
category,kind,0.0047749154549017086,positive,very_weak
collective,kind,0.13401016274660965,positive,very_weak
datatype,kind,0.12231274357081115,positive,very_weak
event,kind,0.23724520412289232,negative,weak
mixin,kind,0.03493053968228295,positive,very_weak
mode,kind,0.0668649856169513,positive,very_weak
phase,kind,0.2681673504583946,positive,weak
quality,kind,0.055933628307393034,positive,very_weak
relator,kind,0.14839981897893492,positive,very_weak
role,kind,0.46712136395883774,positive,moderate
roleMixin,kind,0.14030230447057504,negative,very_weak
situation,kind,0.2086432367915371,negative,weak
subkind,kind,0.37830661008263705,positive,weak
type,kind,0.2020819241604706,negative,weak
category,mixin,0.16322917390445452,positive,very_weak
collective,mixin,0.12672691270814576,positive,very_weak
datatype,mixin,0.12034151577730946,positive,very_weak
