Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,1,0.00819672131147541,0.0,0,0.09053574604251853,0.00819672131147541,11.045361017187261,121.99999999999996,0.0,0.0,0.0,0,1,1,1.0,0.0
category,582,4.770491803278689,2.0,0,10.734040149820046,115.21961793794878,6.119729563181136,48.0372534413954,0.0,4.75,4.75,0,98,98,1.0,97.0
collective,132,1.0819672131147542,0.0,0,4.5791300987989025,20.96843246172605,9.159216860278331,92.85535302056681,0.0,1.0,1.0,0,48,48,1.0,47.0
datatype,88,0.7213114754098361,0.0,0,1.9253090127933385,3.7068147947432597,3.8022927237385695,17.218251186242227,0.0,0.0,0.0,0,13,13,1.0,12.0
enumeration,74,0.6065573770491803,0.0,0,2.7319879755104264,7.463758298333559,5.354840935135724,30.201201870341748,0.0,0.0,0.0,0,20,20,2.0,18.0
event,474,3.8852459016393444,0.0,0,8.966601686636986,80.39994580680126,5.7497406273508345,45.29506792384541,0.0,4.0,4.0,0,81,81,1.0,80.0
historicalRole,23,0.1885245901639344,0.0,0,1.5710814678841993,2.46829697872917,10.355195555368455,110.89167750075922,0.0,0.0,0.0,0,17,17,1.0,16.0
historicalRoleMixin,9,0.07377049180327869,0.0,0,0.5169528134689618,0.2672402113534752,7.407451541633396,54.80778522170335,0.0,0.0,0.0,0,4,4,1.0,3.0
kind,1588,13.01639344262295,6.0,0,40.99888803300764,1680.9088199430971,8.998890278881307,89.54727171745104,2.0,10.75,8.75,0,429,429,1.0,428.0
mixin,84,0.6885245901639344,0.0,0,3.625169057814744,13.14185069773744,8.84419642371704,85.65151731745259,0.0,0.0,0.0,0,37,37,1.0,36.0
mode,543,4.450819672131147,0.0,0,16.589403398184906,275.20830510770895,8.71628030331717,85.63764790073044,0.0,3.0,3.0,0,171,171,1.0,170.0
phase,332,2.721311475409836,0.0,0,10.367034765836642,107.4754098360656,9.127980619751572,92.95375629795952,0.0,2.0,2.0,0,109,109,1.0,108.0
phaseMixin,20,0.16393442622950818,0.0,0,0.7752435579719067,0.601002574176941,6.630860660446585,52.10586146609084,0.0,0.0,0.0,0,7,7,1.0,6.0
quality,251,2.057377049180328,0.0,0,4.736527968407023,22.43469719550196,3.677848851904462,14.905326771330294,0.0,2.0,2.0,0,27,27,1.0,26.0
quantity,44,0.36065573770491804,0.0,0,1.950060705859449,3.802736756537053,8.854134711490785,86.9735664553385,0.0,0.0,0.0,0,20,20,1.0,19.0
relator,1247,10.221311475409836,2.0,0,68.53599070128276,4697.182021406316,10.912760274074785,119.99962638610239,0.25,5.0,4.75,0,758,758,1.0,757.0
role,1845,15.12295081967213,3.0,0,97.07674206045414,9423.893849071945,10.33398073014566,110.18456910249057,0.0,7.0,7.0,0,1052,1052,1.0,1051.0
roleMixin,576,4.721311475409836,0.0,0,20.758852456015266,430.929955290611,9.357827330398498,95.72648132482736,0.0,2.0,2.0,0,219,219,1.0,218.0
situation,79,0.6475409836065574,0.0,0,1.762427566755164,3.1061509280585287,3.69241099067702,16.720486856699228,0.0,0.0,0.0,0,12,12,1.0,11.0
subkind,2025,16.598360655737704,2.5,0,71.81146802175192,5156.886939439099,10.188478276688013,109.02314891136328,0.0,13.75,13.75,0,782,782,1.0,781.0
type,213,1.7459016393442623,0.0,0,6.568848944301822,43.14977645305515,6.6438472754576425,53.08340922442088,0.0,0.0,0.0,0,60,60,1.0,59.0
none,380,3.1147540983606556,0.0,0,12.25972154060125,150.30077225308227,5.339462102984427,30.787341623211674,0.0,0.0,0.0,0,91,91,1.0,90.0
other,110,0.9016393442622951,0.0,0,2.598187022278565,6.7505758027367575,3.403728594522388,12.011359702877105,0.0,0.0,0.0,0,15,15,1.0,14.0
