Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.008,1,0.008,9.18526683200147e-05,0.001059322033898305
category,591,4.728,89,0.712,0.05428492697712869,0.09427966101694915
collective,134,1.072,36,0.288,0.01230825755488197,0.038135593220338986
datatype,89,0.712,27,0.216,0.008174887480481308,0.028601694915254237
enumeration,74,0.592,9,0.072,0.006797097455681088,0.009533898305084746
event,510,4.08,55,0.44,0.04684486084320749,0.05826271186440678
historicalRole,42,0.336,6,0.048,0.0038578120694406173,0.006355932203389831
historicalRoleMixin,9,0.072,3,0.024,0.0008266740148801323,0.0031779661016949155
kind,1616,12.928,106,0.848,0.14843391200514375,0.11228813559322035
mixin,84,0.672,22,0.176,0.0077156241388812346,0.023305084745762712
mode,549,4.392,60,0.48,0.050427114907688066,0.0635593220338983
phase,347,2.776,44,0.352,0.0318728759070451,0.046610169491525424
phaseMixin,20,0.16,8,0.064,0.001837053366400294,0.00847457627118644
quality,253,2.024,46,0.368,0.02323872508496372,0.048728813559322036
quantity,44,0.352,12,0.096,0.004041517406080646,0.012711864406779662
relator,1259,10.072,95,0.76,0.11564250941489851,0.10063559322033898
role,1869,14.952,88,0.704,0.17167263709010747,0.09322033898305085
roleMixin,582,4.656,57,0.456,0.053458252962248556,0.06038135593220339
situation,79,0.632,21,0.168,0.007256360797281161,0.022245762711864406
subkind,2046,16.368,93,0.744,0.18793055938275008,0.09851694915254237
type,219,1.752,27,0.216,0.020115734362083217,0.028601694915254237
none,373,2.984,22,0.176,0.03426104528336548,0.023305084745762712
other,97,0.776,17,0.136,0.008909708827041425,0.018008474576271187
