Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,2033,1,2033,18.824074074074073
role,1863,2,3896,36.074074074074076
kind,1590,3,5486,50.7962962962963
relator,1248,4,6734,62.35185185185185
other,750,5,7484,69.2962962962963
category,585,6,8069,74.71296296296296
mode,545,7,8614,79.75925925925927
event,492,8,9106,84.31481481481482
none,380,9,9486,87.83333333333333
phase,339,10,9825,90.97222222222221
quality,251,11,10076,93.2962962962963
type,219,12,10295,95.32407407407408
collective,134,13,10429,96.56481481481481
datatype,89,14,10518,97.38888888888889
mixin,84,15,10602,98.16666666666667
situation,79,16,10681,98.89814814814815
enumeration,74,17,10755,99.58333333333333
quantity,44,18,10799,99.99074074074073
abstract,1,19,10800,100.0
historicalRole,0,20,10800,100.0
historicalRoleMixin,0,21,10800,100.0
phaseMixin,0,22,10800,100.0
roleMixin,0,23,10800,100.0
