Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,106,1,106,11.228813559322035
relator,95,2,201,21.29237288135593
subkind,93,3,294,31.14406779661017
category,89,4,383,40.57203389830508
role,88,5,471,49.89406779661017
mode,60,6,531,56.25
roleMixin,57,7,588,62.28813559322034
event,55,8,643,68.11440677966102
quality,46,9,689,72.98728813559322
phase,44,10,733,77.64830508474576
collective,36,11,769,81.46186440677965
type,27,12,796,84.32203389830508
datatype,27,13,823,87.1822033898305
mixin,22,14,845,89.51271186440678
none,22,15,867,91.84322033898306
situation,21,16,888,94.0677966101695
other,17,17,905,95.86864406779661
quantity,12,18,917,97.13983050847457
enumeration,9,19,926,98.09322033898306
phaseMixin,8,20,934,98.9406779661017
historicalRole,6,21,940,99.57627118644068
historicalRoleMixin,3,22,943,99.89406779661016
abstract,1,23,944,100.0
