Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'category')",0.011494252873563218,0.022727272727272728
"('abstract', 'collective')",0.0,0.0
"('abstract', 'datatype')",0.0,0.0
"('abstract', 'enumeration')",0.0,0.0
"('abstract', 'event')",0.018518518518518517,0.03636363636363636
"('abstract', 'historicalRole')",0.0,0.0
"('abstract', 'historicalRoleMixin')",0.3333333333333333,0.5
"('abstract', 'kind')",0.0,0.0
"('abstract', 'mixin')",0.0,0.0
"('abstract', 'mode')",0.01694915254237288,0.03333333333333333
"('abstract', 'phase')",0.0,0.0
"('abstract', 'phaseMixin')",0.125,0.2222222222222222
"('abstract', 'quality')",0.022727272727272728,0.044444444444444446
"('abstract', 'quantity')",0.0,0.0
"('abstract', 'relator')",0.0,0.0
"('abstract', 'role')",0.0,0.0
"('abstract', 'roleMixin')",0.01818181818181818,0.03571428571428571
"('abstract', 'situation')",0.047619047619047616,0.09090909090909091
"('abstract', 'subkind')",0.0,0.0
"('abstract', 'type')",0.037037037037037035,0.07142857142857142
"('abstract', 'none')",0.043478260869565216,0.08333333333333333
"('abstract', 'other')",0.0,0.0
"('category', 'collective')",0.29473684210526313,0.45528455284552843
"('category', 'datatype')",0.2391304347826087,0.38596491228070173
"('category', 'enumeration')",0.054945054945054944,0.10416666666666667
"('category', 'event')",0.41,0.5815602836879432
"('category', 'historicalRole')",0.045454545454545456,0.08695652173913043
"('category', 'historicalRoleMixin')",0.034482758620689655,0.06666666666666667
"('category', 'kind')",0.6239316239316239,0.7684210526315789
"('category', 'mixin')",0.2111111111111111,0.3486238532110092
"('category', 'mode')",0.5531914893617021,0.7123287671232876
"('category', 'phase')",0.34375,0.5116279069767442
"('category', 'phaseMixin')",0.09195402298850575,0.16842105263157894
"('category', 'quality')",0.37894736842105264,0.549618320610687
"('category', 'quantity')",0.11235955056179775,0.20202020202020202
"('category', 'relator')",0.5701754385964912,0.7262569832402235
"('category', 'role')",0.5495495495495496,0.7093023255813954
"('category', 'roleMixin')",0.49473684210526314,0.6619718309859155
"('category', 'situation')",0.2,0.3333333333333333
"('category', 'subkind')",0.6635514018691588,0.797752808988764
"('category', 'type')",0.2808988764044944,0.43859649122807015
