year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.0009775171065493646,0.0009775171065493646,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0009775171065493646,0.0009775171065493646,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.0009775171065493646,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0
2007,0.0,0.0009775171065493646,0.0,0.0009775171065493646,0.0,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0009775171065493646,0.0,0.0,0.0009775171065493646
2011,0.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0
2012,0.0,0.0019550342130987292,0.0,0.0,0.0,0.0,0.0,0.0,0.0019550342130987292,0.0,0.0,0.0,0.0,0.0,0.0,0.0019550342130987292,0.0019550342130987292,0.0,0.0,0.0019550342130987292,0.0,0.0,0.0
2013,0.0,0.0,0.0019550342130987292,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0019550342130987292,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0009775171065493646,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0,0.0009775171065493646,0.0009775171065493646,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.006842619745845552,0.0039100684261974585,0.0019550342130987292,0.002932551319648094,0.002932551319648094,0.0,0.0,0.007820136852394917,0.0039100684261974585,0.004887585532746823,0.0039100684261974585,0.0,0.0009775171065493646,0.0019550342130987292,0.006842619745845552,0.006842619745845552,0.006842619745845552,0.0019550342130987292,0.005865102639296188,0.002932551319648094,0.0019550342130987292,0.0019550342130987292
2016,0.0,0.002932551319648094,0.0019550342130987292,0.0009775171065493646,0.0,0.0019550342130987292,0.0,0.0,0.0009775171065493646,0.0019550342130987292,0.0019550342130987292,0.0,0.0,0.0009775171065493646,0.0009775171065493646,0.0039100684261974585,0.0019550342130987292,0.0019550342130987292,0.0009775171065493646,0.0009775171065493646,0.0009775171065493646,0.0,0.0009775171065493646
2017,0.0,0.004887585532746823,0.0,0.0,0.0,0.005865102639296188,0.0,0.0,0.006842619745845552,0.0009775171065493646,0.002932551319648094,0.0019550342130987292,0.0,0.0,0.0009775171065493646,0.0039100684261974585,0.007820136852394917,0.0039100684261974585,0.0009775171065493646,0.005865102639296188,0.0019550342130987292,0.0039100684261974585,0.0019550342130987292
2018,0.0,0.006842619745845552,0.002932551319648094,0.0,0.0009775171065493646,0.0039100684261974585,0.0,0.0,0.004887585532746823,0.0009775171065493646,0.004887585532746823,0.0009775171065493646,0.0,0.0019550342130987292,0.0,0.007820136852394917,0.0039100684261974585,0.004887585532746823,0.0019550342130987292,0.007820136852394917,0.0019550342130987292,0.0009775171065493646,0.002932551319648094
2019,0.0,0.0039100684261974585,0.002932551319648094,0.0009775171065493646,0.0,0.002932551319648094,0.0009775171065493646,0.0,0.006842619745845552,0.0009775171065493646,0.0019550342130987292,0.0039100684261974585,0.0,0.002932551319648094,0.0009775171065493646,0.006842619745845552,0.0039100684261974585,0.0009775171065493646,0.0009775171065493646,0.006842619745845552,0.0009775171065493646,0.0,0.0009775171065493646
2020,0.0,0.008797653958944282,0.0019550342130987292,0.0039100684261974585,0.0,0.005865102639296188,0.0009775171065493646,0.0,0.01466275659824047,0.0019550342130987292,0.0039100684261974585,0.004887585532746823,0.0019550342130987292,0.004887585532746823,0.0019550342130987292,0.008797653958944282,0.011730205278592375,0.007820136852394917,0.002932551319648094,0.008797653958944282,0.0019550342130987292,0.0039100684261974585,0.002932551319648094
2021,0.0009775171065493646,0.013685239491691105,0.002932551319648094,0.004887585532746823,0.0009775171065493646,0.008797653958944282,0.0,0.0009775171065493646,0.013685239491691105,0.0019550342130987292,0.01270772238514174,0.005865102639296188,0.0009775171065493646,0.010752688172043012,0.0019550342130987292,0.013685239491691105,0.009775171065493646,0.004887585532746823,0.0039100684261974585,0.013685239491691105,0.0039100684261974585,0.002932551319648094,0.002932551319648094
2022,0.0,0.013685239491691105,0.005865102639296188,0.005865102639296188,0.0019550342130987292,0.008797653958944282,0.0009775171065493646,0.0019550342130987292,0.01270772238514174,0.0009775171065493646,0.007820136852394917,0.005865102639296188,0.002932551319648094,0.006842619745845552,0.0019550342130987292,0.01466275659824047,0.010752688172043012,0.009775171065493646,0.0019550342130987292,0.011730205278592375,0.007820136852394917,0.0019550342130987292,0.0009775171065493646
