year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2005,0.0,0.0006172295212062428,8.817564588660612e-05,0.00017635129177321225,0.0,0.0,0.0,0.0,0.000793580812979455,0.00017635129177321225,0.0003527025835464245,0.0003527025835464245,0.0,0.0,8.817564588660612e-05,0.00026452693765981834,0.0006172295212062428,0.0,0.0,0.00026452693765981834,0.0,0.0,0.0
2007,0.0,0.00026452693765981834,0.0,8.817564588660612e-05,0.0,0.00017635129177321225,0.0,0.0,0.0003527025835464245,0.0,8.817564588660612e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.817564588660612e-05,0.0,0.0003527025835464245,0.0,0.0,0.0003527025835464245
2011,0.0,0.0003527025835464245,0.0,0.0,0.0,0.0,0.0,0.0,0.0004408782294330306,0.0,0.0,0.00026452693765981834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026452693765981834,0.0,0.0,0.0
2012,0.0,0.0009699321047526673,0.0,0.0,0.0,0.0,0.0,0.0,0.0033506745436910324,0.0,0.0,0.0,0.0,0.0,0.0,0.001410810334185698,0.000793580812979455,0.0,0.0,0.003703377127237457,0.0,0.0,0.0
2013,0.0,0.0,0.000793580812979455,0.00026452693765981834,0.0,0.0,0.0,0.0,0.0009699321047526673,0.0,0.0,0.0,0.0,0.0,0.0,0.00017635129177321225,0.00026452693765981834,0.0,0.0,0.002380742438938365,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006172295212062428,0.0,0.0,0.0,0.0,0.0,0.0,0.0004408782294330306,0.0004408782294330306,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.017811480469094434,0.004496957940216912,0.00026452693765981834,0.0020280398553919406,0.0016753372718455162,0.0,0.0,0.048320253945860155,0.004849660523763337,0.02089762807512565,0.01066925315227934,0.0,0.00017635129177321225,0.002292566793051759,0.07450842077418217,0.11868441936337183,0.025482761661229168,0.0005290538753196367,0.07697733885900714,0.00934661846398025,0.013931752050083767,0.0013226346882990918
2016,0.0,0.003615201481350851,0.0003527025835464245,8.817564588660612e-05,0.0,0.0006172295212062428,0.0,0.0,0.000793580812979455,0.000793580812979455,0.0019398642095053346,0.0,0.0,0.0006172295212062428,0.00026452693765981834,0.0016753372718455162,0.0012344590424124857,0.000793580812979455,8.817564588660612e-05,0.003615201481350851,0.000793580812979455,0.0,0.000705405167092849
2017,0.0,0.0014989859800723041,0.0,0.0,0.0,0.008817564588660612,0.0,0.0,0.003791552773124063,8.817564588660612e-05,0.0012344590424124857,0.0006172295212062428,0.0,0.0,0.00026452693765981834,0.0013226346882990918,0.004585133586103518,0.0010581077506392734,0.0003527025835464245,0.0020280398553919406,0.0018516885636187285,0.005555065690856185,0.002204391147165153
2018,0.0,0.002380742438938365,0.0004408782294330306,0.0,0.00017635129177321225,0.002292566793051759,0.0,0.0,0.0029979719601446082,8.817564588660612e-05,0.00158716162595891,0.00017635129177321225,0.0,0.0003527025835464245,0.0,0.0026452693765981836,0.000793580812979455,0.00273344502248479,0.0005290538753196367,0.003791552773124063,0.00026452693765981834,0.0014989859800723041,0.0010581077506392734
