Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,2,0.015037593984962405,0.0,0,0.12216248531529496,0.014923672818409657,8.06084471747556,63.938581667735015,0.0,0.0,0.0,0,1,1,1.0,0.0
category,614,4.616541353383458,2.0,0,10.299839513688875,106.08669400774667,6.384768841403412,52.36343944672445,0.0,4.0,4.0,0,98,98,1.0,97.0
collective,134,1.0075187969924813,0.0,0,4.3943769865616655,19.310549100022786,9.537520695004899,100.85219997740691,0.0,1.0,1.0,0,48,48,1.0,47.0
datatype,90,0.6766917293233082,0.0,0,1.8527165647774553,3.432558669400775,3.975342950927519,18.928225442572955,0.0,0.0,0.0,0,13,13,1.0,12.0
enumeration,75,0.5639097744360902,0.0,0,2.6208759334360603,6.868990658464341,5.600732173109349,33.1715488604605,0.0,0.0,0.0,0,20,20,1.0,19.0
event,598,4.496240601503759,0.0,0,9.053397202783568,81.96400091136934,5.060976348454128,38.22462452109689,0.0,6.0,6.0,0,81,81,1.0,80.0
historicalRole,51,0.38345864661654133,0.0,0,2.098779603943315,4.404875825928457,7.092201228246655,52.56494221801397,0.0,0.0,0.0,0,17,17,1.0,16.0
historicalRoleMixin,18,0.13533834586466165,0.0,0,0.6717452945242153,0.4512417407154248,5.163308008136194,26.10330673956806,0.0,0.0,0.0,0,4,4,1.0,3.0
kind,1642,12.345864661654135,6.0,0,39.33462602770134,1547.21280473912,9.37877744090047,97.38684670181416,2.0,10.0,8.0,0,429,429,1.0,428.0
mixin,87,0.6541353383458647,0.0,0,3.4772967399847277,12.091592617908415,9.20342018699821,92.9852887252036,0.0,0.0,0.0,0,37,37,1.0,36.0
mode,580,4.360902255639098,0.0,0,15.913753507419898,253.24755069491908,9.056127597899474,92.78158282888985,0.0,4.0,4.0,0,171,171,1.0,170.0
phase,361,2.7142857142857144,0.0,0,9.972364411113945,99.44805194805198,9.392570104800463,99.34825535624334,0.0,3.0,3.0,0,109,109,1.0,108.0
phaseMixin,20,0.15037593984962405,0.0,0,0.7436217737849172,0.5529733424470267,6.93230352270415,56.955184743332765,0.0,0.0,0.0,0,7,7,1.0,6.0
quality,266,2.0,0.0,0,4.557710749129137,20.772727272727273,3.815159677980104,16.275962235280517,0.0,2.0,2.0,0,27,27,1.0,26.0
quantity,46,0.3458646616541353,0.0,0,1.875056010403644,3.5158350421508304,9.145809157621622,93.40091544626297,0.0,0.0,0.0,0,20,20,1.0,19.0
relator,1286,9.669172932330827,2.0,0,65.64836560135339,4309.707906128959,11.392134308210487,130.79012274721367,1.0,5.0,4.0,0,758,758,1.0,757.0
