Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
abstract,0.04722039230365834,0.0359497064408952,0.00282901957888549,0.00202428109340793,0.0006203955355445628,0.031695656491589876,0.00033880437186162293,0.035949706440895,0.014941490946606108,0.0016093874080644124,0.01855810084395127,0.0034134755999422756,0.04722039230365833,0.021696092607826775,0.0008381800394043556,0.011304279383537612,0.009624365460029892,0.04722039230365842,0.02687883037121165,0.011041973193482074,0.031695656491590486,0.028933070527436933,0.019236393956716343,0.0004082930922835043,0.025241796749204536,0.026878830371212428,0.0031159967286930462,0.0016906895761404708,0.0017728130060299038,0.03594970644089502,0.035949706440895006,0.028933070527436926,0.02524179674920457,0.008232846390968496,0.00246149178894655,0.03169565649159046,0.0002699045530604252,0.0004082930922835043,0.0002699045530604252,0.0002699045530604252,0.000692344096797623
category,0.0359497064408952,2.2739780015084627,0.3562717090959047,0.35134946156961055,0.1547039580907022,0.6835080921378871,0.08703832098845296,0.05525367878717245,1.026186499713434,0.2606692883086413,0.7232075230096662,0.5404430623018118,0.13272650563446142,0.5516169187832489,0.17528291412031688,0.7257163045495166,0.7984148158036196,0.6509673425012211,0.30307081822125215,1.12049629864863,0.5475291296521816,0.24790173824746842,0.8580475100823485,0.13985639451697093,0.567465186101731,0.2306166322491891,0.35400221527411385,0.27131300259515506,0.3671444402317098,0.2431368180197283,0.3146820282116149,0.22378565773574416,0.6362378745357277,0.8383079704435885,0.3644563769470795,0.4317005826698702,0.065847014728136,0.12228986306066592,0.09801843740350555,0.06882994269844098,0.17210633974886147
collective,0.00282901957888549,0.3562717090959047,1.0829659364214776,0.18894116817293286,0.08607736989439749,0.24155219575196282,0.06437605989253598,0.026342986355897345,0.48341588986149625,0.13232235607677167,0.32418263831198996,0.31884555199458414,0.03859651452862702,0.14927302458906314,0.1556375016224265,0.4216165605710016,0.4312846559092642,0.24734599603848817,0.05763552256149004,0.5687220471719522,0.26829886739666076,0.03592215900335484,0.3917076563269215,0.052364505708094033,0.3812190220554453,0.150019242159793,0.23399763069183505,0.13341327619100843,0.2482654987202767,0.09971325641688025,0.1477597995513793,0.060526778554022456,0.38336022592787183,0.5789937659517062,0.5273236377423223,0.22622757279035555,0.055590120409958546,0.21537884367547067,0.10638794382401502,0.029160610378133472,0.02961677525282686
datatype,0.00202428109340793,0.35134946156961055,0.18894116817293286,0.9141879227896943,0.14739179799444846,0.23428983507145015,0.052596425938328126,0.017904781423675527,0.4169707911284684,0.0899384474719224,0.2628381623381179,0.21679500316769515,0.0858886306343575,0.17688633522364602,0.09986129787896691,0.27739060361129103,0.302469672295114,0.1992655494930327,0.10794643938441283,0.43887057510785094,0.17535164146363919,0.08590928299180421,0.2795116277466945,0.12416048990619402,0.3208938171019899,0.11663775127753309,0.1139054102990825,0.09867301024615441,0.11699081645501558,0.14392104319139692,0.1527819800802635,0.07239785734425763,0.27037286543883204,0.381056608150027,0.1496911665181903,0.18797776313143488,0.03939929029348342,0.09077360720284058,0.0311702378835619,0.08450982012007702,0.03970280061620837
enumeration,0.0006203955355445628,0.1547039580907022,0.08607736989439749,0.14739179799444846,0.41126632709524313,0.09199659415955255,0.0031559843078288116,0.0018772016720191784,0.23233658173631247,0.07570836551735188,0.13863513236885674,0.13714343737517215,0.051199537556788154,0.09643552125381841,0.11375390679589287,0.17580265322423835,0.19843126479283138,0.13959907065311686,0.06373256996348516,0.2221550029531705,0.11459646597985568,0.03530036957189425,0.161431009812003,0.05003757223962633,0.18161789905595702,0.037648888994743654,0.0858143376046359,0.03810564521380201,0.07292743824962938,0.03408833509380031,0.07314954306842142,0.024640685951784203,0.18833947279645757,0.18266973328178504,0.088860740437747,0.04523288141925213,0.0025137979734031826,0.05003757223962633,0.04889601023765718,0.03762532437489385,0.006454330000350492
event,0.031695656491589876,0.6835080921378871,0.24155219575196282,0.23428983507145015,0.09199659415955255,1.9064485234566086,0.16780588501739435,0.0878698605280743,0.8126097803251802,0.1774473980647776,0.613122175381966,0.4955159995378664,0.07949405062948045,0.439181361500015,0.18172240926986752,0.591195419008033,0.691841133354626,0.7111271626512947,0.4817847842784124,0.8678909974817193,0.5200589560282687,0.2924226358052028,0.7333255901647436,0.13487064637624355,0.4418865898445384,0.5139954050205149,0.29556290320365847,0.37041255523751954,0.2709838497312822,0.38183769171371496,0.35858264721404676,0.3011271630903583,0.5665907161575083,0.7483400238168878,0.2829039190936435,0.7418559373894992,0.14615935495647575,0.13264716076230285,0.11642699370491486,0.12590802856389902,0.24166905231462882
historicalRole,0.00033880437186162293,0.08703832098845296,0.06437605989253598,0.052596425938328126,0.0031559843078288116,0.16780588501739435,0.23543000019397414,0.047767016734565855,0.13746475920118495,0.008196294339868855,0.043175264712021176,0.0642853104247438,0.0027929715386249693,0.043364045656196476,0.0928399169421165,0.10263690578754384,0.12588256551464594,0.11604855435336162,0.09859779050559034,0.11174573303282799,0.08457458537654503,0.004264891496494734,0.06816655612341083,0.037333892730862225,0.038736619602930226,0.1509509723954675,0.09763294166698243,0.08781741446144697,0.03216229519827622,0.057147564353370615,0.08660964106662294,0.08545886758534169,0.06553833011923524,0.1530157240887662,0.06434514825655274,0.14115659073881054,0.0013724996793438929,0.0020765303867640236,0.0013724996793438929,0.048043813864720036,0.0035222686079687607
historicalRoleMixin,0.035949706440895,0.05525367878717245,0.026342986355897345,0.017904781423675527,0.0018772016720191784,0.0878698605280743,0.047767016734565855,0.1301900180149749,0.05904367617510327,0.004872416956997215,0.017900202472151558,0.010346126262458392,0.06523138205337733,0.017565207244663282,0.028428628264865294,0.05437479514345984,0.04096410918042089,0.07229033543233251,0.01854594912166297,0.05809548598467747,0.09268668664845169,0.019212182558327226,0.021389229844970242,0.0012352790455034054,0.04137333118350192,0.08950689415008081,0.009442577256837205,0.05304806749224698,0.02866991118103833,0.07659917466531102,0.10339459634014293,0.05432370895981788,0.02334196459047049,0.06367040253756541,0.02560372891198647,0.09432372027046029,0.025087256469816945,0.0012352790455034054,0.0008165289839679388,0.03635794233258028,0.0020949861758797553
kind,0.014941490946606108,1.026186499713434,0.48341588986149625,0.4169707911284684,0.23233658173631247,0.8126097803251802,0.13746475920118495,0.05904367617510327,2.9352139130495702,0.27163222707138673,0.8637948944655457,0.746842621374308,0.12516381107279034,0.6930971870234401,0.24866634843013447,1.129942644488473,1.281208985787571,0.707569560782804,0.29683131287058384,1.515995311698727,0.4604563718839269,0.17466314588046664,1.0132040078593663,0.16761757147822975,0.8668068730272152,0.34500693368567054,0.5884355137078529,0.33656424500320914,0.39200397133913545,0.21965473492766246,0.3018908698456177,0.20106970785528158,0.960358965459299,1.1591487239394178,0.43065458973475157,0.5150661246374644,0.10100985344363911,0.183484741455219,0.12588487516034674,0.09606567245440506,0.13663588051716968
mixin,0.0016093874080644124,0.2606692883086413,0.13232235607677167,0.0899384474719224,0.07570836551735188,0.1774473980647776,0.008196294339868855,0.004872416956997215,0.27163222707138673,0.6770692963475359,0.27176709475990973,0.2076329636821156,0.017766365469212418,0.16394459131653252,0.12120527087986384,0.3064629363026156,0.34388324899846306,0.22207006908027177,0.05003323440432264,0.3453257054371969,0.22690391743211624,0.017436747543138065,0.2993324585671874,0.0820713615841916,0.25273264389133027,0.027757295617483607,0.14179900980493404,0.05511504360080829,0.21247392392463016,0.04434542007473535,0.03580650598684126,0.04468043501662033,0.22253833664684003,0.3626144210279946,0.15423044079278286,0.0634903280461594,0.0065266076780177845,0.10035868336041301,0.10230952113531469,0.0065266076780177845,0.014060386485922748
