Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,6.670224119530417e-05,0.00819672131147541,0.008196992707510216,40,Q3
category,0.03882070437566702,0.7049180327868853,0.7059861755277897,4,Q1
collective,0.008804695837780149,0.28688524590163933,0.2870203250378619,16,Q1
datatype,0.005869797225186766,0.21311475409836064,0.21319557437683723,20,Q1
enumeration,0.004935965848452508,0.07377049180327869,0.07393543953852372,31,Q3
event,0.03161686232657417,0.4344262295081967,0.4355752229731232,11,Q1
historicalRole,0.0015341515474919956,0.03278688524590164,0.03282275834080059,35,Q3
historicalRoleMixin,0.0006003201707577375,0.02459016393442623,0.02459749065716613,38,Q3
kind,0.105923159018143,0.8360655737704918,0.8427486928263754,1,Q1
mixin,0.005602988260405549,0.18032786885245902,0.1804148934049401,21,Q3
mode,0.03621931696905016,0.47540983606557374,0.4767875325022669,8,Q1
phase,0.022145144076840984,0.3360655737704918,0.33679441396774074,14,Q1
phaseMixin,0.0013340448239060833,0.06557377049180328,0.06558733911437391,32,Q3
quality,0.016742262540021344,0.36065573770491804,0.36104413095138055,13,Q1
quantity,0.002934898612593383,0.09836065573770492,0.09840443194804543,27,Q3
relator,0.08317769477054429,0.7459016393442623,0.7505250059017353,2,Q1
role,0.12306563500533618,0.6885245901639344,0.6994363886585259,5,Q1
roleMixin,0.0384204909284952,0.4426229508196721,0.44428730649828435,10,Q1
situation,0.005269477054429029,0.1721311475409836,0.17221178630454717,23,Q3
subkind,0.13507203842049093,0.7295081967213115,0.7419074501894736,3,Q1
type,0.014207577374599786,0.21311475409836064,0.2135878125485159,19,Q1
bringsAbout,0.002001067235859125,0.09836065573770492,0.09838100867156085,29,Q3
characterization,0.03721985058697972,0.5573770491803278,0.5586183779922449,7,Q1
comparative,0.002467982924226254,0.04918032786885246,0.049242213486013174,33,Q3
componentOf,0.036752934898612595,0.36885245901639346,0.37067899150896305,12,Q1
creation,0.00400213447171825,0.14754098360655737,0.14759525373100635,24,Q3
derivation,0.014607790821771612,0.319672131147541,0.320005717113153,15,Q1
externalDependence,0.00513607257203842,0.18032786885245902,0.18040099646713403,22,Q3
historicalDependence,0.002934898612593383,0.13114754098360656,0.13118037633698482,26,Q3
instantiation,0.004602454642475987,0.13934426229508196,0.13942024968883338,25,Q3
manifestation,0.0022678762006403414,0.09836065573770492,0.09838679718139387,28,Q3
material,0.041555496264674495,0.4426229508196721,0.4445693825063949,9,Q1
mediation,0.1312033084311633,0.6311475409836066,0.6446406181997348,6,Q1
memberOf,0.013540554962646745,0.2540983606557377,0.254458883744761,17,Q1
participation,0.014074172892209177,0.23770491803278687,0.238121209470248,18,Q1
participational,0.0011339381003201707,0.03278688524590164,0.03280648807390515,36,Q3
subCollectionOf,0.0018009605122732125,0.04918032786885246,0.049213291985545866,34,Q3
subQuantityOf,0.0009338313767342582,0.03278688524590164,0.032800181175842553,37,Q3
termination,0.0003335112059765208,0.02459016393442623,0.024592425501492696,39,Q3
triggers,0.0010672358591248667,0.08196721311475409,0.08197416067382769,30,Q3
