stereotype,total_correlation,rank
category,3.7360540243269877,23
collective,4.654648407047296,13
datatype,2.5177127251648597,28
event,4.933693335495608,11
kind,4.901484404053897,12
mixin,2.9484759194718246,26
mode,5.043674546987465,10
phase,3.7416623099226296,22
quality,3.808812449247844,21
relator,4.057658442638775,16
role,3.5919680892567714,24
roleMixin,3.841513021278999,19
situation,3.971770788446836,18
subkind,3.121652835068236,25
type,5.688375030007014,5
characterization,5.994489175786903,3
componentOf,4.0384828558807095,17
creation,4.542864327834672,14
derivation,3.8233120588755494,20
externalDependence,5.5739311856368055,7
formal,2.9266395989258807,27
historicalDependence,5.341876267720208,8
instantiation,6.194532704368113,1
manifestation,5.7832662687651855,4
material,4.238629988240712,15
mediation,5.090094782910464,9
memberOf,5.5978426199672695,6
participation,6.115925644983988,2
