Stereotype,Total,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,Q1,Q3,IQR,Min,Max,Range,Min Non-Zero,Range Non-Zero
abstract,1,0.008130081300813009,0.0,0,0.09016696346674323,0.008130081300813007,11.090536506409418,123.0,0.0,0.0,0.0,0,1,1,1.0,0.0
category,585,4.7560975609756095,2.0,0,10.69114959806048,114.30067972810878,6.14614640072393,48.45059201530583,0.0,4.5,4.5,0,98,98,1.0,97.0
collective,134,1.089430894308943,0.0,0,4.561075746854674,20.803411968545923,9.186275835698604,93.48367840262698,0.0,1.0,1.0,0,48,48,1.0,47.0
datatype,89,0.7235772357723578,0.0,0,1.9175668197822997,3.677062508330003,3.812894037109591,17.352637239007525,0.0,0.0,0.0,0,13,13,1.0,12.0
enumeration,74,0.6016260162601627,0.0,0,2.7213178985358137,7.4055711048913775,5.378371445198961,30.476413139658977,0.0,0.0,0.0,0,20,20,2.0,18.0
event,492,4.0,0.0,0,9.020014176136582,81.36065573770492,5.594273948969906,43.51032941351607,0.0,4.5,4.5,0,81,81,1.0,80.0
historicalRole,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
historicalRoleMixin,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
kind,1590,12.926829268292684,6.0,0,40.843196903605346,1668.1667333066773,9.032862912570666,90.24143061808758,2.0,10.5,8.5,0,429,429,1.0,428.0
mixin,84,0.6829268292682927,0.0,0,3.610814978100868,13.03798480607757,8.880197213177855,86.35311052238886,0.0,0.0,0.0,0,37,37,1.0,36.0
mode,545,4.430894308943089,0.0,0,16.522751974178313,273.00133280021333,8.752340589622467,86.34673285070524,0.0,3.0,3.0,0,171,171,1.0,170.0
phase,339,2.7560975609756095,0.0,0,10.331665048719321,106.74330267892842,9.135543132747449,93.31199933662386,0.0,2.0,2.0,0,109,109,1.0,108.0
phaseMixin,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
quality,251,2.040650406504065,0.0,0,4.720722322445483,22.285219245635076,3.6940809812133946,15.045602778574168,0.0,2.0,2.0,0,27,27,1.0,26.0
quantity,44,0.35772357723577236,0.0,0,1.9423244537460487,3.772624283619886,8.890255167133143,87.68610320435145,0.0,0.0,0.0,0,20,20,1.0,19.0
relator,1248,10.146341463414634,2.0,0,68.25959164292954,4659.371851259496,10.9571674687157,120.97990647945274,0.5,5.0,4.5,0,758,758,1.0,757.0
role,1863,15.146341463414634,3.0,0,96.67400712982878,9345.863654538185,10.375775436876756,111.08362513073894,0.0,7.0,7.0,0,1052,1052,1.0,1051.0
roleMixin,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
situation,79,0.6422764227642277,0.0,0,1.7561604976356662,3.084099693455951,3.7097146050419196,16.878599406667732,0.0,0.0,0.0,0,12,12,1.0,11.0
subkind,2033,16.528455284552845,3.0,0,71.51938006333302,5115.021724643476,10.230880772435436,109.9277412117424,0.0,13.5,13.5,0,782,782,1.0,781.0
type,219,1.7804878048780488,0.0,0,6.55310786657107,42.94322271091564,6.622273317099162,52.994856823494345,0.0,0.0,0.0,0,60,60,1.0,59.0
none_c,380,3.089430894308943,0.0,0,12.212603091218018,149.14767426362786,5.362687470480604,31.063841364503705,0.0,0.0,0.0,0,91,91,1.0,90.0
other_c,750,6.097560975609756,1.0,0,20.94505483094402,438.69532187125145,8.871718585727567,89.0443285026597,0.0,6.0,6.0,0,219,219,1.0,218.0
bringsAbout,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
characterization,562,4.569105691056911,1.0,0,10.43565868282762,108.90297214447551,6.839451419440588,60.25634902502671,0.0,5.0,5.0,0,101,101,1.0,100.0
comparative,37,0.3008130081300813,0.0,0,1.7411836907906366,3.0317206450753034,6.799679031104316,49.36359798560161,0.0,0.0,0.0,0,15,15,1.0,14.0
componentOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
creation,75,0.6097560975609756,0.0,0,2.0471257192746597,4.190723710515793,4.836644776531016,26.727134425649965,0.0,0.0,0.0,0,15,15,1.0,14.0
derivation,219,1.7804878048780488,0.0,0,7.009988874626767,49.139944022391056,6.990031479263872,55.25545726114866,0.0,1.0,1.0,0,64,64,1.0,63.0
externalDependence,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
formal,383,3.113821138211382,0.0,0,13.172377489346584,173.5115287218446,6.1513059302913256,40.73359391339775,0.0,0.0,0.0,0,107,107,1.0,106.0
historicalDependence,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
instantiation,72,0.5853658536585366,0.0,0,1.7458467308664094,3.047980807676929,3.551774982833356,13.16183432571285,0.0,0.0,0.0,0,10,10,1.0,9.0
manifestation,40,0.3252032520325203,0.0,0,1.2380307933307795,1.532720245235239,5.362924218811983,34.31970630207631,0.0,0.0,0.0,0,10,10,1.0,9.0
material,623,5.065040650406504,0.0,0,17.20071473800824,295.86458749833395,6.698261708930382,51.48010600753985,0.0,3.0,3.0,0,154,154,1.0,153.0
mediation,1972,16.03252032520325,2.0,0,94.91557378467765,9008.966146874587,10.69077428167913,116.790999220127,0.0,10.5,10.5,0,1047,1047,1.0,1046.0
memberOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
participation,214,1.7398373983739837,0.0,0,5.802539577384586,33.669465547114484,6.25435002397692,46.85671315684928,0.0,0.0,0.0,0,51,51,1.0,50.0
participational,17,0.13821138211382114,0.0,0,0.9609183044037811,0.9233639877382378,7.606197494768818,57.901800622785316,0.0,0.0,0.0,0,8,8,1.0,7.0
subCollectionOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
subQuantityOf,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,
termination,20,0.16260162601626016,0.0,0,1.3752733483276283,1.891376782620286,10.503220651394365,113.62849717725373,0.0,0.0,0.0,0,15,15,1.0,14.0
triggers,16,0.13008130081300814,0.0,0,0.4783741178352853,0.2288417966146874,4.021348306091523,16.594761568040738,0.0,0.0,0.0,0,3,3,1.0,2.0
none_r,2282,18.552845528455286,12.0,0,22.57998651498549,509.85579101692656,2.6217067484603493,10.369473053804903,4.0,27.0,23.0,0,153,153,1.0,152.0
other_r,1109,9.016260162601625,2.0,0,29.483527976898348,869.2784219645475,8.651316758870987,84.9105269071161,0.0,9.0,9.0,0,305,305,1.0,304.0
