Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('abstract', 'category')",0.011363636363636364,0.02247191011235955
"('abstract', 'collective')",0.0,0.0
"('abstract', 'datatype')",0.0,0.0
"('abstract', 'enumeration')",0.0,0.0
"('abstract', 'event')",0.01818181818181818,0.03571428571428571
"('abstract', 'historicalRole')",0.0,0.0
"('abstract', 'historicalRoleMixin')",0.3333333333333333,0.5
"('abstract', 'kind')",0.0,0.0
"('abstract', 'mixin')",0.0,0.0
"('abstract', 'mode')",0.016666666666666666,0.03278688524590164
"('abstract', 'phase')",0.0,0.0
"('abstract', 'phaseMixin')",0.125,0.2222222222222222
"('abstract', 'quality')",0.022222222222222223,0.043478260869565216
"('abstract', 'quantity')",0.0,0.0
"('abstract', 'relator')",0.0,0.0
"('abstract', 'role')",0.0,0.0
"('abstract', 'roleMixin')",0.017857142857142856,0.03508771929824561
"('abstract', 'situation')",0.047619047619047616,0.09090909090909091
"('abstract', 'subkind')",0.0,0.0
"('abstract', 'type')",0.037037037037037035,0.07142857142857142
"('abstract', 'none_c')",0.045454545454545456,0.08695652173913043
"('abstract', 'other_c')",0.0,0.0
"('abstract', 'bringsAbout')",0.08333333333333333,0.15384615384615385
"('abstract', 'characterization')",0.014285714285714285,0.028169014084507043
"('abstract', 'comparative')",0.0,0.0
"('abstract', 'componentOf')",0.022222222222222223,0.043478260869565216
"('abstract', 'creation')",0.05,0.09523809523809523
"('abstract', 'derivation')",0.0,0.0
"('abstract', 'externalDependence')",0.0,0.0
"('abstract', 'formal')",0.0,0.0
"('abstract', 'historicalDependence')",0.058823529411764705,0.1111111111111111
"('abstract', 'instantiation')",0.05555555555555555,0.10526315789473684
"('abstract', 'manifestation')",0.07142857142857142,0.13333333333333333
"('abstract', 'material')",0.01818181818181818,0.03571428571428571
"('abstract', 'mediation')",0.0,0.0
"('abstract', 'memberOf')",0.0,0.0
"('abstract', 'participation')",0.03225806451612903,0.0625
"('abstract', 'participational')",0.0,0.0
"('abstract', 'subCollectionOf')",0.0,0.0
"('abstract', 'subQuantityOf')",0.0,0.0
"('abstract', 'termination')",0.0,0.0
"('abstract', 'triggers')",0.0,0.0
"('abstract', 'none_r')",0.009345794392523364,0.018518518518518517
"('abstract', 'other_r')",0.0,0.0
"('category', 'collective')",0.2916666666666667,0.45161290322580644
"('category', 'datatype')",0.23655913978494625,0.3826086956521739
"('category', 'enumeration')",0.05434782608695652,0.10309278350515463
"('category', 'event')",0.4158415841584158,0.5874125874125874
"('category', 'historicalRole')",0.056179775280898875,0.10638297872340426
"('category', 'historicalRoleMixin')",0.03409090909090909,0.06593406593406594
"('category', 'kind')",0.6271186440677966,0.7708333333333334
"('category', 'mixin')",0.2087912087912088,0.34545454545454546
"('category', 'mode')",0.5578947368421052,0.7162162162162162
"('category', 'phase')",0.35051546391752575,0.5190839694656488
"('category', 'phaseMixin')",0.09090909090909091,0.16666666666666666
"('category', 'quality')",0.3854166666666667,0.556390977443609
"('category', 'quantity')",0.1111111111111111,0.2
"('category', 'relator')",0.5739130434782609,0.7292817679558011
"('category', 'role')",0.5535714285714286,0.7126436781609196
"('category', 'roleMixin')",0.5,0.6666666666666666
"('category', 'situation')",0.1978021978021978,0.3302752293577982
"('category', 'subkind')",0.6666666666666666,0.8
"('category', 'type')",0.2777777777777778,0.43478260869565216
"('category', 'none_c')",0.1827956989247312,0.3090909090909091
"('category', 'other_c')",0.17777777777777778,0.3018867924528302
"('category', 'bringsAbout')",0.13636363636363635,0.24
"('category', 'characterization')",0.5959595959595959,0.7468354430379747
"('category', 'comparative')",0.056179775280898875,0.10638297872340426
"('category', 'componentOf')",0.4148936170212766,0.5864661654135338
"('category', 'creation')",0.16129032258064516,0.2777777777777778
"('category', 'derivation')",0.27,0.4251968503937008
"('category', 'externalDependence')",0.21739130434782608,0.35714285714285715
"('category', 'formal')",0.17894736842105263,0.30357142857142855
"('category', 'historicalDependence')",0.16666666666666666,0.2857142857142857
"('category', 'instantiation')",0.17777777777777778,0.3018867924528302
"('category', 'manifestation')",0.13333333333333333,0.23529411764705882
"('category', 'material')",0.4158415841584158,0.5874125874125874
"('category', 'mediation')",0.5321100917431193,0.6946107784431138
"('category', 'memberOf')",0.2631578947368421,0.4166666666666667
"('category', 'participation')",0.26595744680851063,0.42016806722689076
"('category', 'participational')",0.045454545454545456,0.08695652173913043
"('category', 'subCollectionOf')",0.044444444444444446,0.0851063829787234
"('category', 'subQuantityOf')",0.045454545454545456,0.08695652173913043
"('category', 'termination')",0.056818181818181816,0.10752688172043011
"('category', 'triggers')",0.08888888888888889,0.16326530612244897
"('category', 'none_r')",0.6810344827586207,0.8102564102564103
"('category', 'other_r')",0.14130434782608695,0.24761904761904763
"('collective', 'datatype')",0.23529411764705882,0.38095238095238093
"('collective', 'enumeration')",0.07142857142857142,0.13333333333333333
"('collective', 'event')",0.19736842105263158,0.32967032967032966
"('collective', 'historicalRole')",0.07692307692307693,0.14285714285714285
"('collective', 'historicalRoleMixin')",0.02631578947368421,0.05128205128205128
"('collective', 'kind')",0.308411214953271,0.4714285714285714
"('collective', 'mixin')",0.1836734693877551,0.3103448275862069
"('collective', 'mode')",0.3150684931506849,0.4791666666666667
"('collective', 'phase')",0.3620689655172414,0.5316455696202531
"('collective', 'phaseMixin')",0.07317073170731707,0.13636363636363635
"('collective', 'quality')",0.17391304347826086,0.2962962962962963
"('collective', 'quantity')",0.2,0.3333333333333333
"('collective', 'relator')",0.34375,0.5116279069767442
"('collective', 'role')",0.2978723404255319,0.45901639344262296
"('collective', 'roleMixin')",0.21052631578947367,0.34782608695652173
"('collective', 'situation')",0.017857142857142856,0.03508771929824561
"('collective', 'subkind')",0.31958762886597936,0.484375
"('collective', 'type')",0.21153846153846154,0.3492063492063492
