Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
category,1.0,0.09249626910607237,0.11986916327600887,0.09091354631484795,-0.02253064517832704,0.15609046565271611,0.3599599759362633,0.11629998339003998,0.17446640648059195,-0.025526044981911175,0.01518776555503252,0.2833047250221554,0.14519858478280856,0.2541915335100739,0.2508306968850215,0.061818006199095485,0.15055471384569216,0.32154635682224875,0.259526856653859,0.02253064517832704,-0.03153335618529233,0.1203882491579205,-0.005231373504786203,0.13905304712518893,0.16167420496894874,0.10157898798054295,0.09091354631484795,0.05196871682400611,0.08982386624743612,0.10969300411145612,0.1293721387810302,0.031682972762701274
collective,0.09249626910607237,1.0,0.1745906339934004,-0.03381061255591941,0.12919069397660016,0.11724912491728422,0.2010423805461899,0.3255511129327973,-0.03681350178091523,0.2442548493115354,0.1140877977766462,-0.008289699910280132,-0.24741068267164534,0.17121763651246155,0.13129783450723204,-0.11648279076749805,-0.05274752649282619,0.20446806266227044,0.324854982714327,0.06906420747176738,0.13456675302388263,0.05574163768230138,0.26755807511625385,0.12131971906222916,0.08556848092933564,0.009548707598512134,0.18328911017156313,0.29880292278842857,0.717336197978488,0.089628530139527,-0.06807869127233003,0.014837663482430905
datatype,0.11986916327600887,0.1745906339934004,1.0,0.12121264241895217,0.12006410351199737,0.1094506443945897,0.0767553012824675,0.029294435108726143,0.134142299781418,-0.10824161463867814,0.008097926421352465,-0.04651292021699338,0.17535142075352533,0.12974188372121875,0.0962962962962963,0.006735424270436289,0.01355299265462061,0.10872716610645279,0.12444533049480772,0.04329449085748604,-0.026722414164910516,-0.004551635595678862,-0.06514148267207329,0.20232793184362685,0.05658809555849803,-0.05612484670789666,0.001955042619660519,-0.010785310535189389,0.1758684629658586,0.1540939652842293,0.14862952339223773,0.02684920422569456
event,0.09091354631484795,-0.03381061255591941,0.12121264241895217,1.0,-0.25441201961326887,-0.07458872512933233,0.1943465463754683,0.08370017296426792,0.08676123805867003,-0.06596497731715217,-0.0941647412059081,0.2539082392695341,0.5116895373351519,-0.010563942719952348,0.2802227754846744,0.09710607611177227,0.2132662812733918,0.18174413832333539,-0.0998037919565257,0.48196529228789353,-0.009281694981130411,0.2877335306107029,-0.025860897759584667,0.33820356906626065,0.28072012970589033,0.334055564177479,0.0032679738562091504,-0.0523947736328332,0.10639678833224755,0.6024801261633232,0.2484433801197649,0.19154183176975423
kind,-0.02253064517832704,0.12919069397660016,0.12006410351199737,-0.25441201961326887,1.0,0.025060895778803063,0.05376211046232464,0.2636219962869114,0.04012954973761436,0.12219920660101595,0.45427431096596227,-0.15602703802347043,-0.22332927165959782,0.372401221748762,-0.20665308522696943,0.025060895778803063,0.04226808462338784,-0.011587874975279439,0.187785401403492,-0.0025549310168625446,0.294409246296031,-0.2553358744459708,0.041949659291533374,-0.3018939103223699,-0.20375875201820498,-0.21798483795465512,0.3372264893407552,0.19524569391570062,0.1533238538759588,-0.22718725734273387,-0.03293388112607672,0.09989943941576603
mixin,0.15609046565271611,0.11724912491728422,0.1094506443945897,-0.07458872512933233,0.025060895778803063,1.0,0.18603900639018553,0.19861533663856865,0.13610893073432406,0.020291031398236417,0.2630779379676212,0.13205588449619646,-0.04444158692398343,-0.020070450504862735,0.1608082544566664,0.11272727272727273,-0.0656013688703006,0.19602026455735452,0.08330381216573046,-0.14265432981780204,-0.0014989160198960589,-0.11705997731085772,0.14331366449736596,0.007247759457422595,-0.014782809899727066,0.11440766024239918,0.14002977642204842,0.13028608877777545,0.10805909344783379,-0.06980114800993327,-0.007247759457422595,0.19672489955861328
mode,0.3599599759362633,0.2010423805461899,0.0767553012824675,0.1943465463754683,0.05376211046232464,0.18603900639018553,1.0,0.16185648681294895,0.19542742175786904,0.1717164367350207,0.13892711086122686,0.3099191350121557,-0.050217200473731974,0.18806997594367125,0.27431114002637125,0.18603900639018553,-0.05784567292586188,0.5172397966893348,0.17805450163723602,0.12717519923156795,0.0752441736605163,0.28839263489390854,0.016234028277918176,0.06133544440965802,0.1523971517744333,0.14422707241597288,0.16132387415011018,0.2486239978810712,0.28057576568648424,0.09491235775899327,0.08443580658991884,0.012745027409799069
phase,0.11629998339003998,0.3255511129327973,0.029294435108726143,0.08370017296426792,0.2636219962869114,0.19861533663856865,0.16185648681294895,1.0,0.10247925644733182,0.1333220103887812,0.2528668240523786,0.07161634554901886,-0.05618899781496005,0.3436485263814926,0.029294435108726143,-0.025746432527221863,0.05716619504750294,0.07816610000718315,0.19694638556693236,0.06941525937732282,0.16919721511774719,-0.08459889751835592,0.07541323368419388,0.025134409570833238,0.03907540741166322,-0.026581129406054112,0.15316562263529301,0.22086046648131857,0.27388844618271313,0.06698938453032356,-0.025134409570833238,-0.025972223223194344
quality,0.17446640648059195,-0.03681350178091523,0.134142299781418,0.08676123805867003,0.04012954973761436,0.13610893073432406,0.19542742175786904,0.10247925644733182,1.0,0.15141110748159042,0.1613213713309996,0.03992969185709142,0.20014732311484973,0.08548825533110929,0.17526129619682757,0.18050810065300732,-0.15433719862299694,0.48606799649194854,-0.0081195651764495,0.05402054772371164,-0.03900303143340909,0.16169004425890024,-0.15697936226853026,0.16330882657476192,0.2651201344170243,0.18319887415775046,-0.01633815521884046,0.10198135198135198,-0.13740858372430334,0.24498707090368924,-0.0116057034114044,-0.08952971203083394
relator,-0.025526044981911175,0.2442548493115354,-0.10824161463867814,-0.06596497731715217,0.12219920660101595,0.020291031398236417,0.1717164367350207,0.1333220103887812,0.15141110748159042,1.0,0.1615630662109813,0.13483268049510405,-0.0925812719279654,0.060207860900276765,-0.016536913347575826,-0.177749435048551,-0.04505327320203121,0.30594914490268366,0.12093874058383881,0.03528286951156094,0.3506189557214955,0.08057778280997277,0.091057303468942,0.0526911147016152,-0.030795735209164257,-0.049554900622160676,0.27893761836967207,0.7206648849660249,0.25395819834302663,0.06086956521739131,-0.0526911147016152,0.0526911147016152
