Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,formal,material,mediation,memberOf,participation,none_r
category,1.0,0.11016643879261553,0.232136737607579,0.3755872836031669,0.01580767640109833,0.19534953597871108,0.02255925230483715,0.052252706663782005,0.32599781474056977,0.3195800935161009,0.4070883269357969,0.17674077986190923,0.3942321100704928,0.29387143234618596,-0.008700646489286623,0.14848544558445942,0.20977833065225318,0.12118817171568216,0.19427434952296888,0.1322423937036843,0.14056224185927646
event,0.11016643879261553,1.0,-0.21237766085986437,0.1905947424681378,0.13126977111505966,0.1250089598551269,-0.03511190094051985,-0.011332303850216168,0.3229792814277642,0.035075916913834784,0.32640616808163336,0.19968173297030678,0.2254889044847005,-0.07098212299537626,-0.05415974662223927,-0.03536369729049916,0.04583635269998566,0.02327623712994454,0.10060893614095483,0.6484959233398816,0.2521837073008905
kind,0.232136737607579,-0.21237766085986437,1.0,0.15147596754375492,0.2571830477600526,0.1669681533871406,0.3449621118198507,0.3991807513087171,-0.1658020871804411,0.5969383562915425,-0.10110279391001377,0.022443845748164614,0.06081062545259464,0.47431091010009485,0.22518843061797564,0.0026781599430047275,0.3775472170030428,0.2852776993157625,0.2679686561353182,-0.16304925723383312,0.07123553105533514
mode,0.3755872836031669,0.1905947424681378,0.15147596754375492,1.0,0.11844931855779174,0.1966565290878688,0.1381952581662236,0.24793168936818805,0.2973977148427761,0.2458477732487837,0.32334855593994866,0.23966101931792025,0.5724959674584339,0.262237942886028,0.049708721312752994,0.11484548072814169,0.18160853040175648,0.26102499266331136,0.3393889480182824,0.09614775908074923,0.1648442904519171
phase,0.01580767640109833,0.13126977111505966,0.2571830477600526,0.11844931855779174,1.0,0.12787701396953924,0.28526942614121825,0.4090714051009862,0.10647115769861769,0.34693382528827504,0.04455951705910429,-0.03970756514523107,0.1329643757422948,0.19408414410543007,0.18678053671220665,0.05328584640145444,0.22421912667352062,0.3968093837449625,0.2639525233101407,0.07743635583203962,-0.08648022014930999
quality,0.19534953597871108,0.1250089598551269,0.1669681533871406,0.1966565290878688,0.12787701396953924,1.0,0.1166998890866443,0.057631565930159535,0.024349611569875074,0.3089146546254042,0.10791097031719306,0.1576348373430971,0.5676181812352503,0.010641778896385092,-0.10011360195442923,-0.1534389369173699,0.028554206531026336,0.14610505256616818,-0.08757688093307751,0.27812006131285805,-0.03817483582266951
relator,0.02255925230483715,-0.03511190094051985,0.3449621118198507,0.1381952581662236,0.28526942614121825,0.1166998890866443,1.0,0.41105631476436844,0.19526919036234527,0.22883188379056507,0.10833666584290667,-0.15996189528873994,0.26916495193207723,0.39118910919933825,0.3698179669120702,0.17407943364661213,0.37963132226963076,0.7638769663448995,0.3303800537241681,0.04023595623562704,-0.11529195036100182
role,0.052252706663782005,-0.011332303850216168,0.3991807513087171,0.24793168936818805,0.4090714051009862,0.057631565930159535,0.41105631476436844,1.0,0.13087480066748344,0.24132468942238894,0.05616636804994078,0.11018917144521587,0.13017348163636747,0.17519375515379468,0.2778797303198096,0.012277136352846635,0.22028854225883,0.4443165509839792,0.308447117180992,-0.1633373770417781,0.11671934005722091
roleMixin,0.32599781474056977,0.3229792814277642,-0.1658020871804411,0.2973977148427761,0.10647115769861769,0.024349611569875074,0.19526919036234527,0.13087480066748344,1.0,-0.0010698394013430763,0.3916309846507759,0.19925352711124628,0.265832902715443,0.07322664035714191,0.06817533880415809,0.18659884849934016,0.049213084945411906,0.2543341097709408,0.13837530307930004,0.24401993114012369,0.1979188788033462
subkind,0.3195800935161009,0.035075916913834784,0.5969383562915425,0.2458477732487837,0.34693382528827504,0.3089146546254042,0.22883188379056507,0.24132468942238894,-0.0010698394013430763,1.0,0.06918681879435634,-0.004650703327256121,0.19739279150072844,0.3508350308958997,-0.0014725921326688477,-0.03741357833456391,0.2536089080848507,0.28180969737551836,0.2631184100195585,0.05144298583459425,-0.038737823173608944
