Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('bringsAbout', 'characterization')",0.1527777777777778,0.26506024096385544
"('bringsAbout', 'comparative')",0.2,0.3333333333333333
"('bringsAbout', 'componentOf')",0.09615384615384616,0.17543859649122806
"('bringsAbout', 'creation')",0.14285714285714285,0.25
"('bringsAbout', 'derivation')",0.0851063829787234,0.1568627450980392
"('bringsAbout', 'externalDependence')",0.16129032258064516,0.2777777777777778
"('bringsAbout', 'formal')",0.02857142857142857,0.05555555555555555
"('bringsAbout', 'historicalDependence')",0.2608695652173913,0.41379310344827586
"('bringsAbout', 'instantiation')",0.2,0.3333333333333333
"('bringsAbout', 'manifestation')",0.23809523809523808,0.38461538461538464
"('bringsAbout', 'material')",0.11666666666666667,0.208955223880597
"('bringsAbout', 'mediation')",0.06976744186046512,0.13043478260869565
"('bringsAbout', 'memberOf')",0.047619047619047616,0.09090909090909091
"('bringsAbout', 'participation')",0.34375,0.5116279069767442
"('bringsAbout', 'participational')",0.06666666666666667,0.125
"('bringsAbout', 'subCollectionOf')",0.0,0.0
"('bringsAbout', 'subQuantityOf')",0.0,0.0
"('bringsAbout', 'termination')",0.13333333333333333,0.23529411764705882
"('bringsAbout', 'triggers')",0.5714285714285714,0.7272727272727273
"('characterization', 'comparative')",0.0547945205479452,0.1038961038961039
"('characterization', 'componentOf')",0.4146341463414634,0.5862068965517241
"('characterization', 'creation')",0.19736842105263158,0.32967032967032966
"('characterization', 'derivation')",0.29411764705882354,0.45454545454545453
"('characterization', 'externalDependence')",0.3013698630136986,0.4631578947368421
"('characterization', 'formal')",0.1875,0.3157894736842105
"('characterization', 'historicalDependence')",0.1891891891891892,0.3181818181818182
"('characterization', 'instantiation')",0.2191780821917808,0.3595505617977528
"('characterization', 'manifestation')",0.18055555555555555,0.3058823529411765
"('characterization', 'material')",0.4157303370786517,0.5873015873015873
"('characterization', 'mediation')",0.6236559139784946,0.7682119205298014
"('characterization', 'memberOf')",0.3037974683544304,0.46601941747572817
"('characterization', 'participation')",0.34210526315789475,0.5098039215686274
"('characterization', 'participational')",0.041666666666666664,0.08
"('characterization', 'subCollectionOf')",0.0547945205479452,0.1038961038961039
"('characterization', 'subQuantityOf')",0.056338028169014086,0.10666666666666667
"('characterization', 'termination')",0.0410958904109589,0.07894736842105263
"('characterization', 'triggers')",0.14084507042253522,0.24691358024691357
"('comparative', 'componentOf')",0.10869565217391304,0.19607843137254902
"('comparative', 'creation')",0.13043478260869565,0.23076923076923078
"('comparative', 'derivation')",0.07142857142857142,0.13333333333333333
"('comparative', 'externalDependence')",0.0,0.0
"('comparative', 'formal')",0.0,0.0
"('comparative', 'historicalDependence')",0.09523809523809523,0.17391304347826086
"('comparative', 'instantiation')",0.0,0.0
"('comparative', 'manifestation')",0.05263157894736842,0.1
"('comparative', 'material')",0.10909090909090909,0.19672131147540983
"('comparative', 'mediation')",0.075,0.13953488372093023
"('comparative', 'memberOf')",0.11764705882352941,0.21052631578947367
"('comparative', 'participation')",0.12121212121212122,0.21621621621621623
"('comparative', 'participational')",0.0,0.0
"('comparative', 'subCollectionOf')",0.0,0.0
"('comparative', 'subQuantityOf')",0.0,0.0
"('comparative', 'termination')",0.2222222222222222,0.36363636363636365
"('comparative', 'triggers')",0.06666666666666667,0.125
"('componentOf', 'creation')",0.14035087719298245,0.24615384615384617
"('componentOf', 'derivation')",0.2537313432835821,0.40476190476190477
"('componentOf', 'externalDependence')",0.13114754098360656,0.2318840579710145
"('componentOf', 'formal')",0.21052631578947367,0.34782608695652173
"('componentOf', 'historicalDependence')",0.14814814814814814,0.25806451612903225
"('componentOf', 'instantiation')",0.18867924528301888,0.31746031746031744
"('componentOf', 'manifestation')",0.1346153846153846,0.23728813559322035
"('componentOf', 'material')",0.4084507042253521,0.58
"('componentOf', 'mediation')",0.37362637362637363,0.544
"('componentOf', 'memberOf')",0.4,0.5714285714285714
"('componentOf', 'participation')",0.16923076923076924,0.2894736842105263
"('componentOf', 'participational')",0.020833333333333332,0.04081632653061224
"('componentOf', 'subCollectionOf')",0.10869565217391304,0.19607843137254902
"('componentOf', 'subQuantityOf')",0.08888888888888889,0.16326530612244897
"('componentOf', 'termination')",0.041666666666666664,0.08
"('componentOf', 'triggers')",0.03773584905660377,0.07272727272727272
"('creation', 'derivation')",0.1346153846153846,0.23728813559322035
"('creation', 'externalDependence')",0.2571428571428571,0.4090909090909091
"('creation', 'formal')",0.047619047619047616,0.09090909090909091
"('creation', 'historicalDependence')",0.32142857142857145,0.4864864864864865
"('creation', 'instantiation')",0.3103448275862069,0.47368421052631576
"('creation', 'manifestation')",0.3076923076923077,0.47058823529411764
"('creation', 'material')",0.13636363636363635,0.24
"('creation', 'mediation')",0.19047619047619047,0.32
"('creation', 'memberOf')",0.20930232558139536,0.34615384615384615
"('creation', 'participation')",0.59375,0.7450980392156863
"('creation', 'participational')",0.14285714285714285,0.25
"('creation', 'subCollectionOf')",0.08333333333333333,0.15384615384615385
"('creation', 'subQuantityOf')",0.043478260869565216,0.08333333333333333
"('creation', 'termination')",0.25,0.4
"('creation', 'triggers')",0.07142857142857142,0.13333333333333333
"('derivation', 'externalDependence')",0.08620689655172414,0.15873015873015872
"('derivation', 'formal')",0.23529411764705882,0.38095238095238093
"('derivation', 'historicalDependence')",0.05660377358490566,0.10714285714285714
"('derivation', 'instantiation')",0.05555555555555555,0.10526315789473684
"('derivation', 'manifestation')",0.019230769230769232,0.03773584905660377
"('derivation', 'material')",0.5161290322580645,0.6808510638297872
"('derivation', 'mediation')",0.45121951219512196,0.6218487394957983
"('derivation', 'memberOf')",0.3148148148148148,0.4788732394366197
"('derivation', 'participation')",0.14754098360655737,0.2571428571428571
"('derivation', 'participational')",0.0,0.0
"('derivation', 'subCollectionOf')",0.0975609756097561,0.17777777777777778
"('derivation', 'subQuantityOf')",0.075,0.13953488372093023
"('derivation', 'termination')",0.047619047619047616,0.09090909090909091
"('derivation', 'triggers')",0.11363636363636363,0.20408163265306123
"('externalDependence', 'formal')",0.17073170731707318,0.2916666666666667
"('externalDependence', 'historicalDependence')",0.3225806451612903,0.4878048780487805
"('externalDependence', 'instantiation')",0.4482758620689655,0.6190476190476191
"('externalDependence', 'manifestation')",0.35714285714285715,0.5263157894736842
"('externalDependence', 'material')",0.0821917808219178,0.1518987341772152
"('externalDependence', 'mediation')",0.20930232558139536,0.34615384615384615
"('externalDependence', 'memberOf')",0.19148936170212766,0.32142857142857145
"('externalDependence', 'participation')",0.34146341463414637,0.509090909090909
"('externalDependence', 'participational')",0.12,0.21428571428571427
"('externalDependence', 'subCollectionOf')",0.034482758620689655,0.06666666666666667
"('externalDependence', 'subQuantityOf')",0.037037037037037035,0.07142857142857142
"('externalDependence', 'termination')",0.11538461538461539,0.20689655172413793
"('externalDependence', 'triggers')",0.1724137931034483,0.29411764705882354
"('formal', 'historicalDependence')",0.07894736842105263,0.14634146341463414
"('formal', 'instantiation')",0.13513513513513514,0.23809523809523808
"('formal', 'manifestation')",0.15151515151515152,0.2631578947368421
"('formal', 'material')",0.234375,0.379746835443038
"('formal', 'mediation')",0.2235294117647059,0.36538461538461536
