Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.296506308490829,positive,weak
creation,characterization,0.15526764040307,positive,very_weak
derivation,characterization,0.09302670523169455,positive,very_weak
externalDependence,characterization,0.3455624562653313,positive,weak
instantiation,characterization,0.27784627725298644,positive,weak
material,characterization,0.19606529907537532,positive,very_weak
mediation,characterization,0.4003947662708055,positive,moderate
memberOf,characterization,0.22782870538299507,positive,weak
participation,characterization,0.31962390455858636,positive,weak
characterization,componentOf,0.296506308490829,positive,weak
creation,componentOf,0.0647533239432099,positive,very_weak
derivation,componentOf,0.13390967326750441,positive,very_weak
externalDependence,componentOf,0.007059625739049749,positive,very_weak
instantiation,componentOf,0.15485501632964158,positive,very_weak
material,componentOf,0.35042922851722824,positive,weak
mediation,componentOf,0.2737108570154678,positive,weak
memberOf,componentOf,0.43595071194349344,positive,moderate
participation,componentOf,0.009681260341300875,positive,very_weak
characterization,creation,0.15526764040307,positive,very_weak
componentOf,creation,0.0647533239432099,positive,very_weak
derivation,creation,0.06144841328506556,positive,very_weak
externalDependence,creation,0.2212733667562062,positive,weak
instantiation,creation,0.3617937625724285,positive,weak
material,creation,0.005023618077713365,positive,very_weak
mediation,creation,0.16084709756560764,positive,very_weak
memberOf,creation,0.18596380410224028,positive,very_weak
participation,creation,0.6899772265930203,positive,strong
characterization,derivation,0.09302670523169455,positive,very_weak
componentOf,derivation,0.13390967326750441,positive,very_weak
creation,derivation,0.06144841328506556,positive,very_weak
externalDependence,derivation,0.10152309034329506,positive,very_weak
instantiation,derivation,0.13614281782159804,positive,very_weak
material,derivation,0.5171484643992748,positive,moderate
mediation,derivation,0.4485852646820438,positive,moderate
memberOf,derivation,0.27595872166240415,positive,weak
participation,derivation,0.02012018373999817,positive,very_weak
characterization,externalDependence,0.3455624562653313,positive,weak
componentOf,externalDependence,0.007059625739049749,positive,very_weak
creation,externalDependence,0.2212733667562062,positive,weak
derivation,externalDependence,0.10152309034329506,positive,very_weak
instantiation,externalDependence,0.538176513522867,positive,moderate
material,externalDependence,0.22029849674526525,positive,weak
mediation,externalDependence,0.09319874895004289,positive,very_weak
memberOf,externalDependence,0.11682241928020229,positive,very_weak
participation,externalDependence,0.3426228201861927,positive,weak
characterization,instantiation,0.27784627725298644,positive,weak
componentOf,instantiation,0.15485501632964158,positive,very_weak
creation,instantiation,0.3617937625724285,positive,weak
derivation,instantiation,0.13614281782159804,positive,very_weak
externalDependence,instantiation,0.538176513522867,positive,moderate
material,instantiation,0.11386563934418868,positive,very_weak
mediation,instantiation,0.03558824799512914,positive,very_weak
memberOf,instantiation,0.04557500217193387,positive,very_weak
participation,instantiation,0.4596594417650276,positive,moderate
characterization,material,0.19606529907537532,positive,very_weak
componentOf,material,0.35042922851722824,positive,weak
creation,material,0.005023618077713365,positive,very_weak
derivation,material,0.5171484643992748,positive,moderate
externalDependence,material,0.22029849674526525,positive,weak
instantiation,material,0.11386563934418868,positive,very_weak
mediation,material,0.4010213626343553,positive,moderate
memberOf,material,0.317979067482685,positive,weak
participation,material,0.02781970784334467,positive,very_weak
characterization,mediation,0.4003947662708055,positive,moderate
componentOf,mediation,0.2737108570154678,positive,weak
creation,mediation,0.16084709756560764,positive,very_weak
derivation,mediation,0.4485852646820438,positive,moderate
externalDependence,mediation,0.09319874895004289,positive,very_weak
instantiation,mediation,0.03558824799512914,positive,very_weak
material,mediation,0.4010213626343553,positive,moderate
memberOf,mediation,0.4110484956592612,positive,moderate
participation,mediation,0.1102551803296765,positive,very_weak
characterization,memberOf,0.22782870538299507,positive,weak
componentOf,memberOf,0.43595071194349344,positive,moderate
creation,memberOf,0.18596380410224028,positive,very_weak
derivation,memberOf,0.27595872166240415,positive,weak
externalDependence,memberOf,0.11682241928020229,positive,very_weak
instantiation,memberOf,0.04557500217193387,positive,very_weak
material,memberOf,0.317979067482685,positive,weak
mediation,memberOf,0.4110484956592612,positive,moderate
participation,memberOf,0.16261494302423846,positive,very_weak
characterization,participation,0.31962390455858636,positive,weak
componentOf,participation,0.009681260341300875,positive,very_weak
creation,participation,0.6899772265930203,positive,strong
derivation,participation,0.02012018373999817,positive,very_weak
externalDependence,participation,0.3426228201861927,positive,weak
instantiation,participation,0.4596594417650276,positive,moderate
material,participation,0.02781970784334467,positive,very_weak
mediation,participation,0.1102551803296765,positive,very_weak
memberOf,participation,0.16261494302423846,positive,very_weak
