Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5567334118570868,2,0.29411764705882354
20.0,4,0.7118178248920298,4,0.48966613672496023
30.0,6,0.8340531344064913,6,0.6232114467408585
40.0,8,0.8907211098023818,8,0.7217806041335453
50.0,11,0.948697814422196,11,0.8267090620031796
60.0,13,0.9679361340138726,13,0.8807631160572337
70.0,15,0.9789294594948306,15,0.9268680445151033
80.0,17,0.9876979452951185,17,0.9618441971383148
90.0,19,0.9938489726475592,19,0.9809220985691574
100.0,22,1.0,22,1.0
