Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
bringsAbout,0.44941365653609217,0.25994603251296644,0.09128798261285771,0.12316116869651252,0.06461678928134336,0.05174179944507197,0.1054593602223029,0.03734929216504813,0.12301912344777613,0.11129687250927041,0.10002544073912137,0.1743897875430615,0.16874034486983008,0.04289416655144818,0.2709542159392606,0.027013914569448613,0.0051407297588664524,0.0033968534332530637,0.05567708054382517,0.20256938198386662,0.2500316810507448,0.015333243273491885
characterization,0.25994603251296644,2.217403069194824,0.13959899028505765,0.6497046901893057,0.3089926316037153,0.3963218768243667,0.44714590011264976,0.3364859849942469,0.31509913124036165,0.3566008241788567,0.2795929577989491,0.7526424166795725,0.9798660247188175,0.3962869100184974,0.5364010896181776,0.08164925812903792,0.12873782072353224,0.1309375064574494,0.09116291403814401,0.24054349997248264,1.3101482558761535,0.31684995460516263
comparative,0.09128798261285771,0.13959899028505765,0.2710409022630075,0.17315333936185187,0.0820133755528849,0.07381181729629449,0.010887910889417415,0.010887910889417443,0.04721956199831942,0.007929705172798313,0.033615602509924264,0.2170016019634475,0.17310189034573042,0.09257350276912048,0.10417599046528218,0.0016540908430276446,0.0025026610878161742,0.0016540908430276446,0.083933889498976,0.030062294607317963,0.13423041065713787,0.007453658230892814
componentOf,0.12316116869651252,0.6497046901893057,0.17315333936185187,1.5772054723089168,0.20860688886782316,0.37232565186274036,0.17981682747992755,0.28720841437685035,0.16951327629651405,0.1975238891926068,0.14799176202363365,0.6861319262866574,0.7462361339352729,0.37734594422095896,0.28028686263536207,0.03632465699815095,0.17175211091656928,0.12567222338717438,0.07845831862837085,0.0635813878749257,0.8870766183530554,0.22254134347510512
creation,0.06461678928134336,0.3089926316037153,0.0820133755528849,0.20860688886782316,0.7621551184690211,0.12661292549127348,0.21198970224079372,0.06380255934730256,0.20412494709156365,0.23883222452268424,0.21617196746555828,0.22692783433733757,0.39721243319999155,0.165152477888551,0.5145800987104576,0.1110960546265663,0.07291274674095433,0.040135109598147665,0.17220550460355494,0.035003349071013524,0.5142000294882276,0.1022013087614867
derivation,0.05174179944507197,0.3963218768243667,0.07381181729629449,0.37232565186274036,0.12661292549127348,1.1772029672681417,0.08236161926954644,0.25596097642604687,0.06420316554839442,0.057800868340795654,0.03977244994532698,0.6958024547263276,0.6653377618640365,0.23535812643614085,0.13040101976698387,0.012654469118759247,0.1363558588335534,0.09078427351874706,0.04521755114071978,0.05456501326281287,0.6502433176824179,0.23315104303414402
externalDependence,0.1054593602223029,0.44714590011264976,0.010887910889417415,0.17981682747992755,0.21198970224079372,0.08236161926954644,0.8726445678763958,0.1553920103261279,0.21335527023731315,0.3386137642383691,0.2614884622636137,0.1365173822166389,0.40863913966761656,0.14236250745828016,0.34735755259267354,0.08887831362501109,0.02911652718310196,0.02559109253755141,0.10093628804595747,0.10463631860110059,0.5482243238122068,0.08830822425188842
formal,0.03734929216504813,0.3364859849942469,0.010887910889417443,0.28720841437685035,0.06380255934730256,0.25596097642604687,0.1553920103261279,0.9163260828821667,0.09138417827065001,0.1190250432859686,0.12819140881743088,0.30920851859998366,0.47233133775140923,0.2702022861391524,0.16093177973853934,0.007190403002132251,0.1462185898947787,0.08639662943836696,0.009030360926136509,0.03605030744339772,0.46154748573536947,0.19779693136581383
historicalDependence,0.12301912344777613,0.31509913124036165,0.04721956199831942,0.16951327629651405,0.20412494709156365,0.06420316554839442,0.21335527023731315,0.09138417827065001,0.6269879218839076,0.2465509803701854,0.21362088224544415,0.15851872245940787,0.30294068817841024,0.09606259839787976,0.40198395001112364,0.0796664737177501,0.05792747169000998,0.028153927805438198,0.06439650586434556,0.10464185437367744,0.3776161412872592,0.05565986770449653
instantiation,0.11129687250927041,0.3566008241788567,0.007929705172798313,0.1975238891926068,0.23883222452268424,0.057800868340795654,0.3386137642383691,0.1190250432859686,0.2465509803701854,0.706805729141622,0.34258124410312984,0.13965152398796998,0.32601590998327495,0.12932229611079243,0.3659442983321225,0.05438089171348845,0.02666398622548498,0.024134417503956368,0.07108490525455433,0.09331895400827767,0.46445058445843135,0.03076440745094669
