Stereotype,quadrant_before,quadrant_after,quadrant_general
bringsAbout,Q3,Q3,Q3
characterization,Q1,Q1,Q1
comparative,Q1,Q3,Q3
componentOf,Q3,Q3,Q3
creation,Q3,Q1,Q1
derivation,Q1,Q1,Q1
externalDependence,Q3,Q3,Q3
formal,Q1,Q1,Q1
historicalDependence,Q3,Q3,Q3
instantiation,Q1,Q1,Q1
manifestation,Q1,Q1,Q1
material,Q1,Q1,Q1
mediation,Q1,Q1,Q1
memberOf,Q3,Q3,Q3
participation,Q1,Q1,Q1
participational,Q3,Q3,Q3
subCollectionOf,Q3,Q3,Q3
subQuantityOf,Q3,Q3,Q3
termination,Q3,Q3,Q3
triggers,Q1,Q3,Q3
none,Q1,Q1,Q1
other,Q1,Q1,Q1
