Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,2432,1,2432,29.478787878787877
mediation,2035,2,4467,54.14545454545454
material,672,3,5139,62.29090909090908
characterization,632,4,5771,69.95151515151515
componentOf,562,5,6333,76.76363636363637
formal,392,6,6725,81.51515151515152
participation,275,7,7000,84.84848484848484
derivation,220,8,7220,87.51515151515152
memberOf,204,9,7424,89.98787878787878
other,148,10,7572,91.78181818181818
externalDependence,129,11,7701,93.34545454545454
creation,113,12,7814,94.71515151515152
instantiation,99,13,7913,95.91515151515152
manifestation,71,14,7984,96.77575757575757
historicalDependence,67,15,8051,97.5878787878788
termination,42,16,8093,98.0969696969697
bringsAbout,39,17,8132,98.56969696969698
comparative,38,18,8170,99.03030303030303
subCollectionOf,27,19,8197,99.35757575757576
triggers,21,20,8218,99.61212121212121
participational,18,21,8236,99.83030303030303
subQuantityOf,14,22,8250,100.0
