Stereotype,Stereotype2,Absolute Value,Sign,Classification
componentOf,characterization,0.296506308490829,positive,weak
derivation,characterization,0.09302670523169455,positive,very_weak
externalDependence,characterization,0.3455624562653313,positive,weak
material,characterization,0.19606529907537532,positive,very_weak
mediation,characterization,0.4003947662708055,positive,moderate
memberOf,characterization,0.22782870538299507,positive,weak
participation,characterization,0.31962390455858636,positive,weak
none,characterization,0.009978656943779576,positive,very_weak
other,characterization,0.09446291763331181,positive,very_weak
characterization,componentOf,0.296506308490829,positive,weak
derivation,componentOf,0.13390967326750441,positive,very_weak
externalDependence,componentOf,0.007059625739049749,positive,very_weak
material,componentOf,0.35042922851722824,positive,weak
mediation,componentOf,0.2737108570154678,positive,weak
memberOf,componentOf,0.43595071194349344,positive,moderate
participation,componentOf,0.009681260341300875,positive,very_weak
none,componentOf,0.08765493386817519,positive,very_weak
other,componentOf,0.12611960052786847,positive,very_weak
characterization,derivation,0.09302670523169455,positive,very_weak
componentOf,derivation,0.13390967326750441,positive,very_weak
externalDependence,derivation,0.10152309034329506,positive,very_weak
material,derivation,0.5171484643992748,positive,moderate
mediation,derivation,0.4485852646820438,positive,moderate
memberOf,derivation,0.27595872166240415,positive,weak
participation,derivation,0.02012018373999817,positive,very_weak
none,derivation,0.023113087594042903,positive,very_weak
other,derivation,0.30686079357602164,positive,weak
characterization,externalDependence,0.3455624562653313,positive,weak
componentOf,externalDependence,0.007059625739049749,positive,very_weak
derivation,externalDependence,0.10152309034329506,positive,very_weak
material,externalDependence,0.22029849674526525,positive,weak
mediation,externalDependence,0.09319874895004289,positive,very_weak
memberOf,externalDependence,0.11682241928020229,positive,very_weak
participation,externalDependence,0.3426228201861927,positive,weak
none,externalDependence,0.009882818402386197,positive,very_weak
other,externalDependence,0.07299365446727829,positive,very_weak
characterization,material,0.19606529907537532,positive,very_weak
componentOf,material,0.35042922851722824,positive,weak
derivation,material,0.5171484643992748,positive,moderate
externalDependence,material,0.22029849674526525,positive,weak
mediation,material,0.4010213626343553,positive,moderate
memberOf,material,0.317979067482685,positive,weak
participation,material,0.02781970784334467,positive,very_weak
none,material,0.12456606371565888,positive,very_weak
other,material,0.18888265480225122,positive,very_weak
characterization,mediation,0.4003947662708055,positive,moderate
componentOf,mediation,0.2737108570154678,positive,weak
derivation,mediation,0.4485852646820438,positive,moderate
externalDependence,mediation,0.09319874895004289,positive,very_weak
material,mediation,0.4010213626343553,positive,moderate
memberOf,mediation,0.4110484956592612,positive,moderate
participation,mediation,0.1102551803296765,positive,very_weak
none,mediation,0.14650754635633775,positive,very_weak
other,mediation,0.19441277440807062,positive,very_weak
characterization,memberOf,0.22782870538299507,positive,weak
componentOf,memberOf,0.43595071194349344,positive,moderate
derivation,memberOf,0.27595872166240415,positive,weak
externalDependence,memberOf,0.11682241928020229,positive,very_weak
material,memberOf,0.317979067482685,positive,weak
mediation,memberOf,0.4110484956592612,positive,moderate
participation,memberOf,0.16261494302423846,positive,very_weak
none,memberOf,0.14605583022068325,positive,very_weak
other,memberOf,0.25226500958093556,positive,weak
characterization,participation,0.31962390455858636,positive,weak
componentOf,participation,0.009681260341300875,positive,very_weak
derivation,participation,0.02012018373999817,positive,very_weak
externalDependence,participation,0.3426228201861927,positive,weak
material,participation,0.02781970784334467,positive,very_weak
mediation,participation,0.1102551803296765,positive,very_weak
memberOf,participation,0.16261494302423846,positive,very_weak
none,participation,0.01031046934415579,positive,very_weak
other,participation,0.018184346711016274,positive,very_weak
characterization,none,0.009978656943779576,positive,very_weak
componentOf,none,0.08765493386817519,positive,very_weak
derivation,none,0.023113087594042903,positive,very_weak
externalDependence,none,0.009882818402386197,positive,very_weak
material,none,0.12456606371565888,positive,very_weak
mediation,none,0.14650754635633775,positive,very_weak
memberOf,none,0.14605583022068325,positive,very_weak
participation,none,0.01031046934415579,positive,very_weak
other,none,0.04694489555765782,positive,very_weak
characterization,other,0.09446291763331181,positive,very_weak
componentOf,other,0.12611960052786847,positive,very_weak
derivation,other,0.30686079357602164,positive,weak
externalDependence,other,0.07299365446727829,positive,very_weak
material,other,0.18888265480225122,positive,very_weak
mediation,other,0.19441277440807062,positive,very_weak
memberOf,other,0.25226500958093556,positive,weak
participation,other,0.018184346711016274,positive,very_weak
none,other,0.04694489555765782,positive,very_weak
