stereotype,total_correlation,rank
characterization,3.0205653675915505,6
componentOf,2.062929822574317,12
creation,2.990279481158856,7
derivation,2.5455578313682143,11
externalDependence,3.057901181993434,5
formal,1.8595410805089077,13
historicalDependence,3.11520619370606,4
instantiation,3.7763724832914622,1
manifestation,3.563723727499367,2
material,2.6692825398527127,10
mediation,2.6830896848903256,9
memberOf,2.8702191258670324,8
participation,3.400083495059868,3
none,1.1400278875806564,15
other,1.4818056214360045,14
