year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0
2013,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2
2014,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
2015,0,6,0,0,0,4,0,5,0,0,0,5,7,0,0,0,0,0,0,0,7,7
2016,0,3,1,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,3,2
2017,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,8,4
2018,0,4,0,0,0,1,0,1,0,1,1,3,6,0,1,0,0,0,0,1,9,5
2019,0,4,0,0,0,3,0,4,0,1,1,3,6,0,1,0,0,0,0,0,7,5
2020,0,6,0,0,2,5,0,3,0,2,1,4,7,0,3,0,0,0,0,2,15,6
2021,0,14,1,0,3,5,0,3,0,4,4,9,12,0,7,1,0,0,0,2,16,12
2022,0,12,0,0,6,6,0,1,0,6,2,8,13,0,7,2,0,0,1,2,15,11
2023,0,11,2,0,5,8,0,0,0,2,1,7,13,0,5,0,0,0,2,2,14,11
2024,0,7,2,0,3,2,0,1,0,2,3,4,6,0,5,1,0,0,1,1,7,7
