year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0
2011,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031847133757961785,0.0
2013,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0015923566878980893,0.0015923566878980893,0.0031847133757961785,0.0,0.0,0.0031847133757961785,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015923566878980893,0.0
2015,0.0,0.009554140127388535,0.0,0.009554140127388535,0.0,0.006369426751592357,0.0015923566878980893,0.007961783439490446,0.0,0.0,0.0,0.007961783439490446,0.011146496815286623,0.007961783439490446,0.0,0.0,0.0031847133757961785,0.0031847133757961785,0.0,0.0,0.011146496815286623,0.007961783439490446
2016,0.0,0.004777070063694267,0.0015923566878980893,0.0015923566878980893,0.0,0.0,0.0015923566878980893,0.0031847133757961785,0.0,0.0,0.0,0.0015923566878980893,0.004777070063694267,0.0031847133757961785,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.004777070063694267,0.0015923566878980893
2017,0.0,0.0015923566878980893,0.0,0.0031847133757961785,0.0,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.007961783439490446,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012738853503184714,0.0031847133757961785
2018,0.0015923566878980893,0.006369426751592357,0.0,0.004777070063694267,0.0,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.004777070063694267,0.009554140127388535,0.0031847133757961785,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0015923566878980893,0.014331210191082803,0.0015923566878980893
2019,0.0,0.006369426751592357,0.0,0.0031847133757961785,0.0,0.004777070063694267,0.0,0.006369426751592357,0.0015923566878980893,0.0015923566878980893,0.0015923566878980893,0.004777070063694267,0.009554140127388535,0.004777070063694267,0.0015923566878980893,0.0,0.0,0.0,0.0,0.0,0.011146496815286623,0.0015923566878980893
2020,0.0,0.009554140127388535,0.0,0.006369426751592357,0.0031847133757961785,0.007961783439490446,0.0031847133757961785,0.004777070063694267,0.0,0.0031847133757961785,0.0015923566878980893,0.006369426751592357,0.011146496815286623,0.0,0.004777070063694267,0.0,0.0,0.0,0.0,0.0031847133757961785,0.02388535031847134,0.004777070063694267
2021,0.006369426751592357,0.022292993630573247,0.0015923566878980893,0.012738853503184714,0.004777070063694267,0.007961783439490446,0.009554140127388535,0.004777070063694267,0.004777070063694267,0.006369426751592357,0.006369426751592357,0.014331210191082803,0.01910828025477707,0.006369426751592357,0.011146496815286623,0.0015923566878980893,0.0,0.0015923566878980893,0.0,0.0031847133757961785,0.025477707006369428,0.0015923566878980893
2022,0.0031847133757961785,0.01910828025477707,0.0,0.007961783439490446,0.009554140127388535,0.009554140127388535,0.011146496815286623,0.0015923566878980893,0.012738853503184714,0.009554140127388535,0.0031847133757961785,0.012738853503184714,0.020700636942675158,0.006369426751592357,0.011146496815286623,0.0031847133757961785,0.0031847133757961785,0.0015923566878980893,0.0015923566878980893,0.0031847133757961785,0.02388535031847134,0.0015923566878980893
2023,0.004777070063694267,0.01751592356687898,0.0031847133757961785,0.011146496815286623,0.007961783439490446,0.012738853503184714,0.004777070063694267,0.0,0.0,0.0031847133757961785,0.0015923566878980893,0.011146496815286623,0.020700636942675158,0.011146496815286623,0.007961783439490446,0.0,0.0,0.0,0.0031847133757961785,0.0031847133757961785,0.022292993630573247,0.0015923566878980893
2024,0.0031847133757961785,0.011146496815286623,0.0031847133757961785,0.004777070063694267,0.004777070063694267,0.0031847133757961785,0.0031847133757961785,0.0015923566878980893,0.004777070063694267,0.0031847133757961785,0.004777070063694267,0.006369426751592357,0.009554140127388535,0.0031847133757961785,0.007961783439490446,0.0015923566878980893,0.0,0.0,0.0015923566878980893,0.0015923566878980893,0.011146496815286623,0.0
