year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.2
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
2012,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.13333333333333333,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.09090909090909091,0.0,0.0,0.0,0.06060606060606061,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2014,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11538461538461539
2015,0.0,0.05213089802130898,0.0,0.0,0.0,0.03729071537290715,0.0,0.10464231354642313,0.0,0.0,0.0,0.0989345509893455,0.4805936073059361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05517503805175038,0.17123287671232876
2016,0.0,0.11888111888111888,0.1048951048951049,0.0,0.0,0.0,0.0,0.17482517482517482,0.0,0.0,0.0,0.006993006993006993,0.17482517482517482,0.0,0.027972027972027972,0.0,0.0,0.0,0.0,0.0,0.22377622377622378,0.16783216783216784
2017,0.0,0.008,0.0,0.0,0.0,0.010666666666666666,0.0,0.0,0.0,0.0,0.0,0.05333333333333334,0.029333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.058666666666666666
2018,0.0,0.06521739130434782,0.0,0.0,0.0,0.021739130434782608,0.0,0.0036231884057971015,0.0,0.007246376811594203,0.010869565217391304,0.050724637681159424,0.057971014492753624,0.0,0.03985507246376811,0.0,0.0,0.0,0.0,0.007246376811594203,0.644927536231884,0.09057971014492754
2019,0.0,0.06440677966101695,0.0,0.0,0.0,0.020338983050847456,0.0,0.13220338983050847,0.0,0.01694915254237288,0.003389830508474576,0.03728813559322034,0.19322033898305085,0.0,0.02711864406779661,0.0,0.0,0.0,0.0,0.0,0.29491525423728815,0.21016949152542372
2020,0.0,0.059245960502693,0.0,0.0,0.00718132854578097,0.01615798922800718,0.0,0.012567324955116697,0.0,0.00718132854578097,0.005385996409335727,0.010771992818671455,0.07001795332136446,0.0,0.019748653500897665,0.0,0.0,0.0,0.0,0.003590664272890485,0.6157989228007181,0.17235188509874327
2021,0.0,0.11345646437994723,0.0013192612137203166,0.0,0.009234828496042216,0.0079155672823219,0.0,0.009234828496042216,0.0,0.0158311345646438,0.011873350923482849,0.14907651715039577,0.13192612137203166,0.0,0.0395778364116095,0.0013192612137203166,0.0,0.0,0.0,0.00395778364116095,0.3403693931398417,0.16490765171503957
2022,0.0,0.05572441742654509,0.0,0.0,0.02735562310030395,0.029381965552178316,0.0,0.0010131712259371835,0.0,0.03546099290780142,0.005065856129685917,0.0547112462006079,0.1641337386018237,0.0,0.0911854103343465,0.00911854103343465,0.0,0.0,0.0010131712259371835,0.004052684903748734,0.41236068895643363,0.1094224924012158
2023,0.0,0.1288782816229117,0.02028639618138425,0.0,0.014319809069212411,0.017899761336515514,0.0,0.0,0.0,0.008353221957040573,0.002386634844868735,0.07517899761336516,0.1718377088305489,0.0,0.010739856801909307,0.0,0.0,0.0,0.00477326968973747,0.003579952267303103,0.4021479713603819,0.13961813842482101
2024,0.0,0.13866231647634583,0.0065252854812398045,0.0,0.040783034257748776,0.057096247960848286,0.0,0.01631321370309951,0.0,0.011419249592169658,0.02773246329526917,0.10440456769983687,0.20880913539967375,0.0,0.08319738988580751,0.011419249592169658,0.0,0.0,0.024469820554649267,0.0032626427406199023,0.18760195758564438,0.07830342577487764
