year,num_class,ontouml_class,none_class,other_class,num_relation,ontouml_relation,none_relation,other_relation,ratio_class,cumulative_class,cumulative_ratio_class,ratio_ontouml_class,cumulative_ontouml_class,cumulative_ratio_ontouml_class,ratio_none_class,cumulative_none_class,cumulative_ratio_none_class,ratio_other_class,cumulative_other_class,cumulative_ratio_other_class,ratio_relation,cumulative_relation,cumulative_ratio_relation,ratio_ontouml_relation,cumulative_ontouml_relation,cumulative_ratio_ontouml_relation,ratio_none_relation,cumulative_none_relation,cumulative_ratio_none_relation,ratio_other_relation,cumulative_other_relation,cumulative_ratio_other_relation,ratio_ontouml_to_total_class,ratio_none_to_total_class,ratio_other_to_total_class,ratio_ontouml_to_total_relation,ratio_none_to_total_relation,ratio_other_to_total_relation,cumulative_ratio_ontouml_to_total_class,cumulative_ratio_none_to_total_class,cumulative_ratio_other_to_total_class,cumulative_ratio_ontouml_to_total_relation,cumulative_ratio_none_to_total_relation,cumulative_ratio_other_to_total_relation
2005,43,43,0,0,25,21,4,0,0.003963864306784661,43,0.003963864306784661,0.004149778035128354,43,0.004149778035128354,0.0,0,0.0,0.0,0,0.0,0.0032471749577867256,25,0.0032471749577867256,0.004003049942813572,21,0.004003049942813572,0.00175054704595186,4,0.00175054704595186,0.0,0,0.0,0.003963864306784661,0.0,0.0,0.0027276269645408495,0.000519547993245876,0.0,0.003963864306784661,0.0,0.0,0.0027276269645408495,0.000519547993245876,0.0
2007,20,16,0,4,20,0,20,0,0.0018436578171091445,63,0.005807522123893806,0.0015441034549314803,59,0.005693881490059834,0.0,0,0.0,0.035398230088495575,4,0.035398230088495575,0.0025977399662293803,45,0.005844914924016106,0.0,21,0.004003049942813572,0.0087527352297593,24,0.01050328227571116,0.0,0,0.0,0.0014749262536873156,0.0,0.0003687315634218289,0.0,0.0025977399662293803,0.0,0.005438790560471977,0.0,0.0003687315634218289,0.0027276269645408495,0.0031172879594752565,0.0
2011,15,15,0,0,7,7,0,0,0.0013827433628318584,78,0.007190265486725664,0.0014475969889982628,74,0.007141478479058097,0.0,0,0.0,0.0,4,0.035398230088495575,0.0009092089881802832,52,0.0067541239121963895,0.0013343499809378575,28,0.00533739992375143,0.0,24,0.01050328227571116,0.0,0,0.0,0.0013827433628318584,0.0,0.0,0.0009092089881802832,0.0,0.0,0.006821533923303835,0.0,0.0003687315634218289,0.0036368359527211326,0.0031172879594752565,0.0
2012,116,116,0,0,60,32,28,0,0.010693215339233038,194,0.0178834808259587,0.011194750048253233,190,0.01833622852731133,0.0,0,0.0,0.0,4,0.035398230088495575,0.007793219898688141,112,0.01454734381088453,0.006099885627144491,60,0.011437285550895921,0.01225382932166302,52,0.022757111597374178,0.0,0,0.0,0.010693215339233038,0.0,0.0,0.004156383945967008,0.0036368359527211326,0.0,0.017514749262536874,0.0,0.0003687315634218289,0.007793219898688141,0.0067541239121963895,0.0
2013,55,55,0,0,33,33,0,0,0.005070058997050148,249,0.02295353982300885,0.005307855626326964,245,0.023644084153638292,0.0,0,0.0,0.0,4,0.035398230088495575,0.0042862709442784775,145,0.018833614755163007,0.006290507052992757,93,0.017727792603888678,0.0,52,0.022757111597374178,0.0,0,0.0,0.005070058997050148,0.0,0.0,0.0042862709442784775,0.0,0.0,0.02258480825958702,0.0,0.0003687315634218289,0.012079490842966618,0.0067541239121963895,0.0
2014,17,17,0,0,23,13,10,0,0.0015671091445427728,266,0.02452064896755162,0.001640609920864698,262,0.02528469407450299,0.0,0,0.0,0.0,4,0.035398230088495575,0.0029874009611637873,168,0.021821015716326796,0.0024780785360274493,106,0.020205871139916128,0.00437636761487965,62,0.027133479212253828,0.0,0,0.0,0.0015671091445427728,0.0,0.0,0.0016885309780490974,0.0012988699831146902,0.0,0.024151917404129794,0.0,0.0003687315634218289,0.013768021821015716,0.00805299389531108,0.0
2015,4925,4752,158,15,2628,2462,145,21,0.45400073746312686,5191,0.4785213864306785,0.4585987261146497,5014,0.48388342018915265,0.42359249329758714,158,0.42359249329758714,0.13274336283185842,19,0.168141592920354,0.3413430315625406,2796,0.36316404727886736,0.46930995043842927,2568,0.4895158215783454,0.06345733041575492,207,0.09059080962800875,0.125,21,0.125,0.43805309734513276,0.014564896755162243,0.0013827433628318584,0.31978178984283673,0.018833614755163007,0.0027276269645408495,0.4622050147492625,0.014564896755162243,0.0017514749262536873,0.33354981166385245,0.026886608650474087,0.0027276269645408495
2016,204,196,0,8,143,102,32,9,0.018805309734513276,5395,0.49732669616519176,0.018915267322910635,5210,0.5027986875120634,0.0,158,0.42359249329758714,0.07079646017699115,27,0.23893805309734514,0.01857384075854007,2939,0.38173788803740744,0.019443385436523065,2670,0.5089592070148685,0.01400437636761488,239,0.10459518599562363,0.05357142857142857,30,0.17857142857142858,0.018067846607669618,0.0,0.0007374631268436578,0.01324847382776984,0.004156383945967008,0.0011689829848032212,0.48027286135693215,0.014564896755162243,0.002488938053097345,0.3467982854916223,0.031042992596441096,0.0038966099493440705
2017,400,312,63,25,375,40,315,20,0.03687315634218289,5795,0.5341998525073747,0.030110017371163866,5522,0.5329087048832272,0.16890080428954424,221,0.5924932975871313,0.22123893805309736,52,0.46017699115044247,0.048707624366800886,3314,0.43044551240420836,0.007624857033930614,2710,0.5165840640487991,0.13785557986870897,554,0.2424507658643326,0.11904761904761904,50,0.2976190476190476,0.028761061946902654,0.005807522123893806,0.0023045722713864306,0.005195479932458761,0.040914404468112744,0.0025977399662293803,0.5090339233038348,0.020372418879056046,0.004793510324483776,0.35199376542408106,0.07195739706455384,0.006494349915573451
2018,270,241,17,12,276,97,178,1,0.024889380530973452,6065,0.5590892330383481,0.023258058289905424,5763,0.5561667631731326,0.045576407506702415,238,0.6380697050938338,0.10619469026548672,64,0.5663716814159292,0.03584881153396545,3590,0.46629432393817377,0.018490278307281737,2807,0.5350743423560809,0.07789934354485777,732,0.3203501094091904,0.005952380952380952,51,0.30357142857142855,0.022216076696165193,0.0015671091445427728,0.0011061946902654867,0.012599038836212495,0.023119885699441487,0.000129886998311469,0.53125,0.02193952802359882,0.0058997050147492625,0.36459280426029356,0.09507728276399532,0.00662423691388492
