Stereotype,average_quantity,rank,proportion
abstract,0,10,0.0
category,3,5,0.058823529411764705
collective,0,10,0.0
datatype,0,10,0.0
enumeration,0,10,0.0
event,4,4,0.0784313725490196
historicalRole,0,10,0.0
historicalRoleMixin,0,10,0.0
kind,10,2,0.19607843137254902
mixin,0,10,0.0
mode,2,7,0.0392156862745098
phase,2,7,0.0392156862745098
phaseMixin,0,10,0.0
quality,2,7,0.0392156862745098
quantity,0,10,0.0
relator,3,5,0.058823529411764705
role,5,3,0.09803921568627451
roleMixin,0,10,0.0
situation,0,10,0.0
subkind,20,1,0.39215686274509803
type,0,10,0.0
