Stereotype,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index,Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.012048192771084338,1,0.012048192771084338,0.00022386389075442132,0.0016207455429497568
category,270,3.253012048192771,59,0.7108433734939759,0.06044325050369376,0.09562398703403566
collective,62,0.7469879518072289,23,0.27710843373493976,0.01387956122677412,0.03727714748784441
datatype,78,0.9397590361445783,20,0.24096385542168675,0.017461383478844864,0.03241491085899514
enumeration,49,0.5903614457831325,5,0.060240963855421686,0.010969330646966645,0.008103727714748784
event,320,3.855421686746988,37,0.4457831325301205,0.07163644504141482,0.059967585089141004
historicalRole,23,0.27710843373493976,4,0.04819277108433735,0.00514886948735169,0.006482982171799027
historicalRoleMixin,9,0.10843373493975904,3,0.03614457831325301,0.0020147750167897917,0.004862236628849271
kind,880,10.602409638554217,73,0.8795180722891566,0.19700022386389077,0.11831442463533225
mixin,16,0.1927710843373494,13,0.1566265060240964,0.003581822252070741,0.02106969205834684
mode,247,2.9759036144578315,41,0.4939759036144578,0.05529438101634206,0.06645056726094004
phase,195,2.3493975903614457,32,0.3855421686746988,0.04365345869711216,0.05186385737439222
phaseMixin,20,0.24096385542168675,8,0.0963855421686747,0.0044772778150884264,0.012965964343598054
quality,238,2.8674698795180724,40,0.4819277108433735,0.053279605999552275,0.06482982171799027
quantity,11,0.13253012048192772,7,0.08433734939759036,0.0024625027982986343,0.011345218800648298
relator,312,3.7590361445783134,63,0.7590361445783133,0.06984553391537945,0.10210696920583469
role,400,4.819277108433735,58,0.6987951807228916,0.08954555630176853,0.0940032414910859
roleMixin,234,2.819277108433735,35,0.42168674698795183,0.052384150436534584,0.05672609400324149
situation,62,0.7469879518072289,15,0.18072289156626506,0.01387956122677412,0.024311183144246355
subkind,966,11.63855421686747,62,0.7469879518072289,0.216252518468771,0.10048622366288493
type,74,0.891566265060241,18,0.21686746987951808,0.016565927915827176,0.029173419773095625
