Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.39305379076662433,2,0.21100917431192662
20.0,4,0.5531554426090639,4,0.40061162079510704
30.0,6,0.6772554002541296,6,0.555045871559633
40.0,9,0.8305802626005929,9,0.7293577981651376
50.0,11,0.9019483269800932,11,0.8165137614678899
60.0,13,0.9356204997882254,13,0.8776758409785933
70.0,16,0.9726810673443456,16,0.9434250764525994
80.0,18,0.9879288437102922,18,0.9678899082568807
90.0,20,0.9955527318932655,20,0.9862385321100917
100.0,23,1.0,23,1.0
