Stereotype,Stereotype2,Absolute Value,Sign,Classification
collective,category,0.05,positive,very_weak
datatype,category,0.18257418583505539,positive,very_weak
event,category,0.09832696588260838,positive,very_weak
kind,category,0.06974858324629157,negative,very_weak
mixin,category,0.12490516445824953,positive,very_weak
mode,category,0.31622776601683794,positive,weak
phase,category,0.023124864503144014,positive,very_weak
quality,category,0.2336712920477668,positive,weak
relator,category,0.044194173824159216,negative,very_weak
role,category,0.008233869695926183,negative,very_weak
situation,category,0.22607766610417562,positive,weak
subkind,category,0.1414213562373095,positive,very_weak
type,category,0.21596220991960682,positive,weak
none,category,0.08846517369293828,positive,very_weak
other,category,0.24120907566221086,positive,weak
category,collective,0.05,positive,very_weak
datatype,collective,0.12171612389003691,positive,very_weak
event,collective,0.11345419140300968,positive,very_weak
kind,collective,0.15112193036696506,positive,very_weak
mixin,collective,0.020817527409708256,positive,very_weak
mode,collective,0.10540925533894599,positive,very_weak
phase,collective,0.4085392728888776,positive,moderate
quality,collective,0.02261335084333227,negative,very_weak
relator,collective,0.29168154723945083,positive,weak
role,collective,0.12350804543889274,positive,very_weak
situation,collective,0.29488391230979427,negative,weak
subkind,collective,0.22980970388562794,positive,weak
type,collective,0.09898267954648646,positive,very_weak
none,collective,0.08846517369293828,negative,very_weak
other,collective,0.030151134457776358,negative,very_weak
category,datatype,0.18257418583505539,positive,very_weak
collective,datatype,0.12171612389003691,positive,very_weak
event,datatype,0.13809204416652687,positive,very_weak
kind,datatype,0.04244763599780089,positive,very_weak
mixin,datatype,0.01900371558963217,negative,very_weak
mode,datatype,0.02749286996141075,positive,very_weak
phase,datatype,0.04222003309207491,positive,very_weak
quality,datatype,0.11009637651263605,positive,very_weak
relator,datatype,0.06454972243679027,negative,very_weak
role,datatype,0.015032920560056577,positive,very_weak
situation,datatype,0.16151457061744967,positive,very_weak
subkind,datatype,0.12909944487358055,positive,very_weak
type,datatype,0.08214400968169071,positive,very_weak
none,datatype,0.08973031700969425,positive,very_weak
other,datatype,0.11009637651263605,positive,very_weak
category,event,0.09832696588260838,positive,very_weak
collective,event,0.11345419140300968,positive,very_weak
datatype,event,0.13809204416652687,positive,very_weak
kind,event,0.18288444173915686,negative,very_weak
mixin,event,0.12439001560199787,negative,very_weak
mode,event,0.19134594929397597,positive,very_weak
phase,event,0.15042046740114626,positive,very_weak
quality,event,0.09122060212774506,positive,very_weak
relator,event,0.05883110060307674,positive,very_weak
role,event,0.03612112510080327,negative,very_weak
situation,event,0.512989176042577,positive,moderate
subkind,event,0.05348281873006976,negative,very_weak
type,event,0.30899514796156546,positive,weak
none,event,0.049068529882333456,negative,very_weak
other,event,0.2919059268087842,positive,weak
category,kind,0.06974858324629157,negative,very_weak
collective,kind,0.15112193036696506,positive,very_weak
datatype,kind,0.04244763599780089,positive,very_weak
event,kind,0.18288444173915686,negative,very_weak
mixin,kind,0.05565973333485638,positive,very_weak
mode,kind,0.07352146220938077,positive,very_weak
phase,kind,0.2957031984237381,positive,weak
quality,kind,0.1296849328880646,positive,very_weak
relator,kind,0.22604860754486628,positive,weak
role,kind,0.48432696239710826,positive,moderate
situation,kind,0.21253326275922887,negative,weak
subkind,kind,0.484977012550804,positive,moderate
type,kind,0.32845835190708805,negative,weak
none,kind,0.0754150287210167,positive,very_weak
other,kind,0.1296849328880646,negative,very_weak
category,mixin,0.12490516445824953,positive,very_weak
collective,mixin,0.020817527409708256,positive,very_weak
datatype,mixin,0.01900371558963217,negative,very_weak
event,mixin,0.12439001560199787,negative,very_weak
