Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,974,1,974,15.724895059735228
kind,882,2,1856,29.964481756538586
mediation,630,3,2486,40.135615111398124
role,418,4,2904,46.88408136906684
characterization,386,5,3290,53.11591863093316
event,338,6,3628,58.572812399095895
relator,313,7,3941,63.62608976428802
material,311,8,4252,68.64707781724249
category,273,9,4525,73.05456893768164
mode,249,10,4774,77.07458831126897
quality,238,11,5012,80.91701646754925
phase,202,12,5214,84.17823700355183
participation,199,13,5413,87.39102357119793
derivation,100,14,5513,89.0054891830804
type,80,15,5593,90.29706167258638
datatype,79,16,5672,91.57248950597352
creation,75,17,5747,92.78333871488537
instantiation,70,18,5817,93.9134646432031
collective,64,19,5881,94.94672263480788
formal,64,20,5945,95.97998062641265
situation,62,21,6007,96.98094930577979
enumeration,49,22,6056,97.7720374556022
manifestation,37,23,6093,98.36938973199871
comparative,22,24,6115,98.72457216661286
termination,20,25,6135,99.04746528898934
participational,17,26,6152,99.32192444300937
mixin,16,27,6168,99.58023894091056
triggers,14,28,6182,99.8062641265741
quantity,11,29,6193,99.98385534388117
abstract,1,30,6194,100.0
historicalRole,0,31,6194,100.0
historicalRoleMixin,0,32,6194,100.0
phaseMixin,0,33,6194,100.0
componentOf,0,34,6194,100.0
bringsAbout,0,35,6194,100.0
roleMixin,0,36,6194,100.0
externalDependence,0,37,6194,100.0
historicalDependence,0,38,6194,100.0
memberOf,0,39,6194,100.0
subQuantityOf,0,40,6194,100.0
subCollectionOf,0,41,6194,100.0
