Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,73,1,73,7.448979591836736
relator,63,2,136,13.877551020408163
subkind,62,3,198,20.20408163265306
category,59,4,257,26.224489795918366
role,58,5,315,32.142857142857146
mediation,56,6,371,37.857142857142854
characterization,53,7,424,43.26530612244898
mode,41,8,465,47.44897959183674
quality,40,9,505,51.53061224489795
event,37,10,542,55.306122448979586
material,35,11,577,58.877551020408156
roleMixin,35,12,612,62.44897959183674
phase,32,13,644,65.71428571428571
derivation,29,14,673,68.6734693877551
componentOf,29,15,702,71.63265306122449
participation,27,16,729,74.38775510204081
collective,23,17,752,76.73469387755102
datatype,20,18,772,78.77551020408163
memberOf,19,19,791,80.71428571428572
externalDependence,19,20,810,82.6530612244898
type,18,21,828,84.48979591836735
creation,18,22,846,86.3265306122449
instantiation,16,23,862,87.95918367346938
historicalDependence,15,24,877,89.48979591836735
situation,15,25,892,91.02040816326532
mixin,13,26,905,92.3469387755102
manifestation,11,27,916,93.46938775510203
bringsAbout,11,28,927,94.59183673469389
triggers,9,29,936,95.51020408163265
phaseMixin,8,30,944,96.3265306122449
quantity,7,31,951,97.0408163265306
enumeration,5,32,956,97.55102040816327
comparative,5,33,961,98.06122448979592
participational,4,34,965,98.46938775510205
historicalRole,4,35,969,98.87755102040816
historicalRoleMixin,3,36,972,99.18367346938776
termination,3,37,975,99.48979591836735
subQuantityOf,2,38,977,99.6938775510204
subCollectionOf,2,39,979,99.89795918367346
abstract,1,40,980,100.0
