Stereotype,Stereotype2,Absolute Value,Sign,Classification
datatype,category,0.16468223588800593,positive,very_weak
event,category,0.11219386069984918,positive,very_weak
kind,category,0.11044902909942393,positive,very_weak
mode,category,0.31832284869079397,positive,weak
phase,category,0.042713395134430475,positive,very_weak
quality,category,0.28518894292567576,positive,weak
relator,category,0.07741792848429008,positive,very_weak
role,category,0.032978596642848336,positive,very_weak
roleMixin,category,0.23331523917160268,positive,weak
subkind,category,0.20360035704135238,positive,weak
type,category,0.2633759358468439,positive,weak
characterization,category,0.3447827661149981,positive,weak
componentOf,category,0.3129249799081448,positive,weak
derivation,category,0.10564300221184982,positive,very_weak
material,category,0.023914541368602313,positive,very_weak
mediation,category,0.0946006101994237,positive,very_weak
memberOf,category,0.051806215858329084,positive,very_weak
participation,category,0.1334917976330068,positive,very_weak
category,datatype,0.16468223588800593,positive,very_weak
event,datatype,0.11931566889663717,positive,very_weak
kind,datatype,0.059568674468592334,positive,very_weak
mode,datatype,0.012590643476475202,positive,very_weak
phase,datatype,0.02007419616806386,positive,very_weak
quality,datatype,0.11610501176403427,positive,very_weak
relator,datatype,0.06179149926583299,positive,very_weak
role,datatype,0.014039890569934826,positive,very_weak
roleMixin,datatype,0.018601319372230717,positive,very_weak
subkind,datatype,0.06348115804238175,positive,very_weak
type,datatype,0.04980747613243447,positive,very_weak
characterization,datatype,0.0027772790957504533,positive,very_weak
componentOf,datatype,0.13913164312731421,positive,very_weak
derivation,datatype,0.003008457473366767,positive,very_weak
material,datatype,0.05046246969346183,positive,very_weak
mediation,datatype,0.011324614060932955,positive,very_weak
memberOf,datatype,0.10064463618052281,positive,very_weak
participation,datatype,0.13528203376965112,positive,very_weak
category,event,0.11219386069984918,positive,very_weak
datatype,event,0.11931566889663717,positive,very_weak
kind,event,0.1548514182955247,positive,very_weak
mode,event,0.1898597465163787,positive,very_weak
phase,event,0.14366943746506386,positive,very_weak
quality,event,0.135163401811906,positive,very_weak
relator,event,0.0888093400199014,positive,very_weak
role,event,0.044161073001178296,positive,very_weak
roleMixin,event,0.2593167415722762,positive,weak
subkind,event,0.04701469540829408,positive,very_weak
type,event,0.3145484998497077,positive,weak
characterization,event,0.2619590902275667,positive,weak
componentOf,event,0.015922453786072727,positive,very_weak
derivation,event,0.0786398793713158,positive,very_weak
material,event,0.060754883398002384,positive,very_weak
mediation,event,0.014012849846660897,positive,very_weak
memberOf,event,0.21162943320831862,positive,weak
participation,event,0.7551927304783856,positive,strong
category,kind,0.11044902909942393,positive,very_weak
datatype,kind,0.059568674468592334,positive,very_weak
event,kind,0.1548514182955247,positive,very_weak
mode,kind,0.10800791172443006,positive,very_weak
phase,kind,0.29102493592727674,positive,weak
quality,kind,0.1938046034350663,positive,very_weak
relator,kind,0.28967659761383135,positive,weak
role,kind,0.4146574259753413,positive,moderate
roleMixin,kind,0.15214833941231445,positive,very_weak
subkind,kind,0.5384825117675932,positive,moderate
type,kind,0.2920875131580543,positive,weak
characterization,kind,0.05972686646870213,positive,very_weak
componentOf,kind,0.23374114892464612,positive,weak
derivation,kind,0.19778259780725077,positive,very_weak
material,kind,0.2638597496120332,positive,weak
mediation,kind,0.28771653181864276,positive,weak
memberOf,kind,0.2506526795407392,positive,weak
participation,kind,0.21152588629581598,positive,weak
category,mode,0.31832284869079397,positive,weak
datatype,mode,0.012590643476475202,positive,very_weak
event,mode,0.1898597465163787,positive,very_weak
kind,mode,0.10800791172443006,positive,very_weak
phase,mode,0.09060227363354335,positive,very_weak
quality,mode,0.3276243533126178,positive,weak
relator,mode,0.1241967898188466,positive,very_weak
role,mode,0.20975606578593395,positive,weak
roleMixin,mode,0.20132262380064259,positive,weak
subkind,mode,0.1985945118743517,positive,very_weak
type,mode,0.23830276600692485,positive,weak
characterization,mode,0.5731525512013838,positive,moderate
componentOf,mode,0.2447075654487442,positive,weak
derivation,mode,0.053429566433551116,positive,very_weak
material,mode,0.18428664057242505,positive,very_weak
mediation,mode,0.19826749965780838,positive,very_weak
memberOf,mode,0.283047424958703,positive,weak
