Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
category,1.0,0.05,0.18257418583505539,0.09832696588260838,-0.06974858324629157,0.12490516445824953,0.31622776601683794,0.023124864503144014,0.2336712920477668,-0.044194173824159216,-0.008233869695926183,0.2282177322938192,0.22607766610417562,0.1414213562373095,0.21596220991960682,0.24550758155857372,0.29855619650098675,0.34839533628455416,0.026995276239950853,-0.0950169098957875,0.10606601717798213,-0.11834115780078218,0.15727141989855695,0.18739937305644616,0.1075828707279838,0.0,-0.09673016668133488,0.044194173824159216,0.11180339887498948,0.04868644955601477
collective,0.05,1.0,0.12171612389003691,0.11345419140300968,0.15112193036696506,0.020817527409708256,0.10540925533894599,0.4085392728888776,-0.02261335084333227,0.29168154723945083,0.12350804543889274,-0.015214515486254613,-0.29488391230979427,0.22980970388562794,0.09898267954648646,-0.24550758155857372,0.19641855032959654,0.31672303298595833,0.09898267954648646,0.0950169098957875,0.017677669529663688,0.19364916731037082,0.18675981112953638,0.14054952979233462,0.04303314829119352,0.16035674514745463,0.32243388893778296,0.6982679464217156,0.11180339887498948,-0.21908902300206645
datatype,0.18257418583505539,0.12171612389003691,1.0,0.13809204416652687,0.04244763599780089,-0.01900371558963217,0.02749286996141075,0.04222003309207491,0.11009637651263605,-0.06454972243679027,0.015032920560056577,0.0,0.16151457061744967,0.12909944487358055,0.08214400968169071,0.10187124277134102,0.028688765527462346,0.10119453729458627,0.01642880193633814,-0.014456362470655182,0.0,-0.07856742013183861,0.23329882422520506,0.051321431942670706,-0.07856742013183861,0.013941429613550474,-0.014717026189611598,0.12909944487358055,0.1749635530559413,0.06666666666666667
event,0.09832696588260838,0.11345419140300968,0.13809204416652687,1.0,-0.18288444173915686,-0.12439001560199787,0.19134594929397597,0.15042046740114626,0.09122060212774506,0.05883110060307674,-0.03612112510080327,0.22785187287476932,0.512989176042577,-0.05348281873006976,0.30899514796156546,0.4270925836185587,0.22819335991496434,-0.005988925934355111,0.5948496901286524,0.09462502976281074,0.334267617062936,0.10741040294386972,0.38808746361481916,0.31608383251464417,0.3808187013464472,0.05660089510980476,0.010974442845109199,0.2219536977297895,0.7272483483536187,0.3811340418996142
kind,-0.06974858324629157,0.15112193036696506,0.04244763599780089,-0.18288444173915686,1.0,0.05565973333485638,0.07352146220938077,0.2957031984237381,0.1296849328880646,0.22604860754486628,0.48432696239710826,-0.12734290799340267,-0.21253326275922887,0.484977012550804,-0.32845835190708805,-0.2931803146761409,-0.04383972994809528,0.11229582939721525,-0.06485483381604924,0.2669327092228887,-0.31235807588017883,0.04502251688907481,-0.40449879041272596,-0.27230918274854965,-0.27013510133444885,0.236120511080456,0.29798331700803293,0.20549873413169661,-0.28593138470052,-0.22921723438812477
mixin,0.12490516445824953,0.020817527409708256,-0.01900371558963217,-0.12439001560199787,0.05565973333485638,1.0,0.09874620280149499,0.12757166266959735,0.11925769292162611,0.007360107399470766,0.2065476137399059,0.09501857794816085,-0.11356694765303622,-0.06992102029497227,0.004683124192148524,-0.06853199720336836,0.1128549801252184,0.035439473510032266,-0.15266984866404187,-0.03379112590491449,-0.0846412350939138,0.013437656161169416,0.0583181623083159,0.030234234785026504,0.20156484241754125,0.1057106463522267,0.1535433208378682,-0.007360107399470766,-0.023274703205786385,-0.04180817429719077
mode,0.31622776601683794,0.10540925533894599,0.02749286996141075,0.19134594929397597,0.07352146220938077,0.09874620280149499,1.0,0.12187873735452177,0.2860387767736777,0.16770509831248423,0.18226447537315343,0.24056261216234406,-0.03108349360801046,0.11180339887498948,0.2560996769510125,0.10586770098608783,0.5465943944999486,0.22535238862626047,0.14227759830611805,0.07511746287542015,0.33541019662496846,0.0,0.09325048082403138,0.2074130978310859,0.2041241452319315,0.1690308509457033,0.22941573387056174,0.2795084971874737,0.10101525445522108,0.03849001794597505
phase,0.023124864503144014,0.4085392728888776,0.04222003309207491,0.15042046740114626,0.2957031984237381,0.12757166266959735,0.12187873735452177,1.0,0.06275168090569394,0.16351748504193214,0.2570496134240294,-0.007036672182012484,-0.05682625430267495,0.3352108443359609,-0.02705135789519828,-0.0232254391010588,0.039970940788027855,0.23620471543610944,0.031213105263690324,0.08239699375678236,-0.10628636527725589,0.019902714467551073,0.006819150516320993,0.019501132994570045,-0.04975678616887768,0.16068988016033703,0.24046373977128352,0.3515625928401541,0.05170876899950192,-0.19984148996915457
quality,0.2336712920477668,-0.02261335084333227,0.11009637651263605,0.09122060212774506,0.1296849328880646,0.11925769292162611,0.2860387767736777,0.06275168090569394,1.0,0.19721066262893963,0.203573620093938,0.04128614119223852,0.17782168978975482,0.14124547458559192,0.16821389541801857,0.19515239177936866,0.5116817192534651,0.10981992566449524,-0.059688801599942075,-0.04058562470209607,0.08261527758779905,-0.11677484162422844,0.05334650693692645,0.17233426267700097,0.08758113121817133,0.11281521496355325,0.09478703850629154,-0.08528028654224418,0.13483997249264842,0.13211565181516327
relator,-0.044194173824159216,0.29168154723945083,-0.06454972243679027,0.05883110060307674,0.22604860754486628,0.007360107399470766,0.16770509831248423,0.16351748504193214,0.19721066262893963,1.0,0.18631120311666624,0.08875586835058664,-0.10425720702853737,0.146875,-0.09862413826124557,-0.11441823174614837,0.2833333333333333,0.17076721584153556,0.03499566196366778,0.3471333567926297,0.05,-0.01141088661469096,0.04170288281141495,-0.06625568373916034,-0.09128709291752768,0.35906624935876585,0.7523841248624463,0.3125,0.03952847075210474,0.012909944487358056
role,-0.008233869695926183,0.12350804543889274,0.015032920560056577,-0.03612112510080327,0.48432696239710826,0.2065476137399059,0.18226447537315343,0.2570496134240294,0.203573620093938,0.18631120311666624,1.0,0.09019752336033945,-0.17239053536624757,0.06404447607135402,-0.14596096877387207,-0.28760110792794463,0.058222250973958195,0.03455409442879007,-0.021486640073311115,0.19884903397699946,-0.00291111254869791,-0.03188964020716403,-0.2403755352289931,-0.19056321932736214,-0.10629880069054677,0.07482020418306246,0.22101864570311458,0.1804889780192704,-0.20252641593763113,-0.19542796728073553
roleMixin,0.2282177322938192,-0.015214515486254613,0.0,0.22785187287476932,-0.12734290799340267,0.09501857794816085,0.24056261216234406,-0.007036672182012484,0.04128614119223852,0.08875586835058664,0.09019752336033945,1.0,0.16151457061744964,-0.08068715304598785,0.2792896329177484,0.16299398843414564,0.14344382763731173,0.0795099935886035,0.3367904396949319,0.02891272494131036,0.3630921887069453,-0.009820927516479826,0.22432579252423562,0.28226787568468886,0.19641855032959654,0.0,0.13245323570650439,0.13716816017817934,0.20412414523193148,0.16666666666666666
