stereotype,total_correlation,rank
category,3.189916568547119,17
collective,3.6517062934819475,11
datatype,1.5570628601906142,21
event,4.770178419810835,4
kind,4.624634017004509,5
mode,3.7347815198486987,10
phase,3.144821533832013,18
quality,3.5913657398190124,13
relator,4.139798407718932,8
role,3.6075816142783186,12
situation,3.9384255105098114,9
subkind,3.1965110328663564,16
type,4.803053515261196,2
characterization,4.539035868371374,7
creation,3.509923747365214,14
derivation,3.087305500044212,19
formal,1.8293332945637428,20
instantiation,4.778050735026001,3
material,3.498674346471582,15
mediation,4.563509878824945,6
participation,4.813799774712965,1
